# event_ticker=KXATPCHALLENGERMATCH-26MAR03HENGAD
# final_score=6-3 3-6 6-2
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Philip Henning
# kalshi_date=2026-03-03
timestamp,Buvaysar Gadamauri,Philip Henning
2026-03-03T02:30:00Z,54.00,
2026-03-03T02:59:00Z,54.00,48.00
2026-03-03T04:14:00Z,53.00,48.00
2026-03-03T04:22:00Z,53.00,48.00
2026-03-03T04:24:00Z,53.00,48.00
2026-03-03T04:26:00Z,53.96,48.00
2026-03-03T04:38:00Z,55.00,48.00
2026-03-03T04:42:00Z,55.00,48.00
2026-03-03T05:07:00Z,54.00,48.00
2026-03-03T05:09:00Z,54.00,48.00
2026-03-03T05:28:00Z,54.00,48.00
2026-03-03T05:29:00Z,54.00,48.00
2026-03-03T05:37:00Z,54.24,48.00
2026-03-03T05:39:00Z,55.00,48.00
2026-03-03T05:45:00Z,55.00,48.00
2026-03-03T05:46:00Z,55.00,45.00
2026-03-03T05:50:00Z,55.00,45.00
2026-03-03T05:54:00Z,55.00,48.00
2026-03-03T05:55:00Z,55.00,48.00
2026-03-03T05:57:00Z,52.00,48.00
2026-03-03T06:11:00Z,55.00,48.00
2026-03-03T06:14:00Z,55.00,48.00
2026-03-03T06:21:00Z,55.00,47.00
2026-03-03T06:22:00Z,55.00,47.00
2026-03-03T06:23:00Z,55.00,47.00
2026-03-03T06:24:00Z,56.00,47.00
2026-03-03T06:28:00Z,56.00,47.00
2026-03-03T06:29:00Z,56.00,47.00
2026-03-03T06:35:00Z,56.00,47.00
2026-03-03T06:41:00Z,56.00,47.00
2026-03-03T06:42:00Z,56.00,47.00
2026-03-03T06:46:00Z,56.00,47.00
2026-03-03T06:50:00Z,56.00,47.00
2026-03-03T06:55:00Z,56.00,47.00
2026-03-03T07:03:00Z,56.00,47.00
2026-03-03T07:04:00Z,56.00,47.50
2026-03-03T07:08:00Z,56.00,49.00
2026-03-03T07:10:00Z,55.00,49.00
2026-03-03T07:21:00Z,52.00,49.00
2026-03-03T07:23:00Z,52.00,47.00
2026-03-03T07:32:00Z,54.67,47.00
2026-03-03T07:33:00Z,55.00,47.00
2026-03-03T07:35:00Z,55.00,47.00
2026-03-03T07:38:00Z,55.00,47.00
2026-03-03T07:47:00Z,55.00,47.00
2026-03-03T07:50:00Z,55.00,47.00
2026-03-03T07:52:00Z,55.00,47.00
2026-03-03T07:54:00Z,55.00,47.00
2026-03-03T07:57:00Z,55.00,48.00
2026-03-03T08:03:00Z,51.00,48.00
2026-03-03T08:04:00Z,54.00,48.56
2026-03-03T08:07:00Z,53.86,48.00
2026-03-03T08:08:00Z,51.00,49.00
2026-03-03T08:13:00Z,51.00,45.06
2026-03-03T08:14:00Z,59.23,45.06
2026-03-03T08:15:00Z,59.23,42.42
2026-03-03T08:16:00Z,66.00,38.00
2026-03-03T08:17:00Z,67.00,38.00
2026-03-03T08:18:00Z,71.00,26.32
2026-03-03T08:19:00Z,75.00,27.66
2026-03-03T08:20:00Z,70.00,27.66
2026-03-03T08:22:00Z,71.00,32.00
2026-03-03T08:23:00Z,69.00,32.00
2026-03-03T08:24:00Z,63.03,35.85
2026-03-03T08:25:00Z,61.50,41.00
2026-03-03T08:26:00Z,65.28,41.00
2026-03-03T08:27:00Z,66.00,41.00
2026-03-03T08:28:00Z,57.00,44.00
2026-03-03T08:29:00Z,57.00,43.00
2026-03-03T08:30:00Z,57.00,45.00
2026-03-03T08:31:00Z,59.00,45.00
2026-03-03T08:32:00Z,63.00,37.24
2026-03-03T08:33:00Z,64.00,37.24
2026-03-03T08:34:00Z,66.00,38.00
2026-03-03T08:35:00Z,66.00,34.00
2026-03-03T08:36:00Z,71.56,29.00
2026-03-03T08:37:00Z,71.56,23.00
2026-03-03T08:38:00Z,71.56,24.00
2026-03-03T08:39:00Z,69.69,36.00
2026-03-03T08:40:00Z,66.50,38.50
2026-03-03T08:41:00Z,60.03,38.50
2026-03-03T08:42:00Z,54.44,47.80
2026-03-03T08:43:00Z,50.04,48.82
2026-03-03T08:44:00Z,54.14,52.00
2026-03-03T08:45:00Z,63.00,52.00
2026-03-03T08:46:00Z,63.73,38.00
2026-03-03T08:47:00Z,62.00,34.00
2026-03-03T08:48:00Z,70.60,34.00
2026-03-03T08:49:00Z,76.97,26.00
2026-03-03T08:50:00Z,78.92,19.33
2026-03-03T08:51:00Z,81.67,21.00
2026-03-03T08:52:00Z,81.03,18.06
2026-03-03T08:53:00Z,80.00,21.00
2026-03-03T08:55:00Z,79.85,19.00
2026-03-03T08:56:00Z,74.81,25.32
2026-03-03T08:57:00Z,81.00,23.79
2026-03-03T08:58:00Z,82.95,19.00
2026-03-03T08:59:00Z,82.95,19.00
2026-03-03T09:00:00Z,85.73,15.50
2026-03-03T09:01:00Z,81.02,18.91
2026-03-03T09:02:00Z,83.15,16.52
2026-03-03T09:03:00Z,80.00,20.84
2026-03-03T09:04:00Z,79.00,21.67
2026-03-03T09:05:00Z,82.00,21.67
2026-03-03T09:06:00Z,81.00,15.00
2026-03-03T09:07:00Z,79.54,20.06
2026-03-03T09:08:00Z,77.00,22.00
2026-03-03T09:09:00Z,81.96,20.00
2026-03-03T09:10:00Z,83.00,20.00
2026-03-03T09:11:00Z,78.00,19.40
2026-03-03T09:12:00Z,77.00,24.46
2026-03-03T09:13:00Z,75.25,25.00
2026-03-03T09:14:00Z,75.00,25.00
2026-03-03T09:15:00Z,78.00,23.53
2026-03-03T09:16:00Z,81.00,22.00
2026-03-03T09:17:00Z,78.00,22.00
2026-03-03T09:18:00Z,78.00,21.00
2026-03-03T09:19:00Z,78.00,20.62
2026-03-03T09:20:00Z,79.00,22.29
2026-03-03T09:21:00Z,79.00,23.00
2026-03-03T09:22:00Z,79.00,25.50
2026-03-03T09:23:00Z,76.00,26.00
2026-03-03T09:24:00Z,74.85,26.00
2026-03-03T09:25:00Z,74.76,22.00
2026-03-03T09:27:00Z,74.00,28.00
2026-03-03T09:28:00Z,76.00,28.00
2026-03-03T09:29:00Z,74.36,24.88
2026-03-03T09:30:00Z,76.20,23.18
2026-03-03T09:31:00Z,74.00,26.26
2026-03-03T09:32:00Z,78.95,25.20
2026-03-03T09:33:00Z,80.00,25.20
2026-03-03T09:34:00Z,80.96,24.82
2026-03-03T09:35:00Z,78.29,22.61
2026-03-03T09:36:00Z,78.29,28.00
2026-03-03T09:37:00Z,74.00,28.00
2026-03-03T09:38:00Z,72.67,31.15
2026-03-03T09:39:00Z,56.52,38.83
2026-03-03T09:40:00Z,54.24,45.50
2026-03-03T09:41:00Z,52.17,46.32
2026-03-03T09:42:00Z,64.12,41.21
2026-03-03T09:43:00Z,64.10,40.63
2026-03-03T09:44:00Z,55.00,46.59
