# event_ticker=KXATPCHALLENGERMATCH-26APR15FOMBOU
# final_score=1-6 7-6(9) 6-4
# score_resolution=6-1 6-7 4-6
# match_winner=Sergey Fomin
# fav_player=Moerani Bouzige
# dog_player=Sergey Fomin
# kalshi_date=2026-04-15
timestamp,Moerani Bouzige,Sergey Fomin
2026-04-15T17:08:00Z,,58.00
2026-04-15T17:13:00Z,,58.15
2026-04-15T17:17:00Z,,62.26
2026-04-15T17:22:00Z,,63.00
2026-04-15T17:28:00Z,,63.00
2026-04-15T17:51:00Z,,63.00
2026-04-15T18:22:00Z,,63.48
2026-04-15T19:04:00Z,,60.00
2026-04-15T19:06:00Z,,64.00
2026-04-15T19:15:00Z,,63.67
2026-04-15T20:17:00Z,39.00,63.67
2026-04-15T20:35:00Z,39.00,64.00
2026-04-15T20:43:00Z,39.00,63.00
2026-04-15T20:45:00Z,39.00,63.00
2026-04-15T20:53:00Z,39.00,63.00
2026-04-15T20:55:00Z,39.00,62.00
2026-04-15T21:00:00Z,39.00,62.00
2026-04-15T22:00:00Z,39.00,63.00
2026-04-15T22:09:00Z,39.00,63.00
2026-04-15T22:20:00Z,39.00,63.00
2026-04-15T22:43:00Z,39.00,63.00
2026-04-15T23:14:00Z,39.00,63.00
2026-04-15T23:24:00Z,39.00,63.00
2026-04-15T23:46:00Z,39.00,63.00
2026-04-16T00:12:00Z,39.00,62.00
2026-04-16T00:14:00Z,39.00,63.00
2026-04-16T00:26:00Z,39.00,62.00
2026-04-16T00:38:00Z,37.00,62.00
2026-04-16T00:59:00Z,37.00,63.00
2026-04-16T01:06:00Z,37.00,63.00
2026-04-16T01:28:00Z,37.00,63.00
2026-04-16T01:41:00Z,37.00,62.13
2026-04-16T01:56:00Z,37.00,63.00
2026-04-16T02:01:00Z,37.00,63.00
2026-04-16T02:13:00Z,37.00,63.00
2026-04-16T02:20:00Z,37.00,63.00
2026-04-16T02:34:00Z,37.00,63.00
2026-04-16T02:58:00Z,37.00,63.15
2026-04-16T03:00:00Z,37.00,63.00
2026-04-16T03:06:00Z,37.00,63.00
2026-04-16T03:08:00Z,37.00,63.00
2026-04-16T03:11:00Z,37.00,63.00
2026-04-16T03:13:00Z,37.00,63.00
2026-04-16T03:17:00Z,37.00,63.00
2026-04-16T03:23:00Z,37.00,63.00
2026-04-16T03:32:00Z,37.00,61.47
2026-04-16T03:34:00Z,37.00,62.00
2026-04-16T03:38:00Z,39.00,62.00
2026-04-16T03:48:00Z,39.00,62.00
2026-04-16T03:49:00Z,39.00,62.00
2026-04-16T03:56:00Z,39.00,62.44
2026-04-16T04:04:00Z,39.00,63.93
2026-04-16T04:06:00Z,39.00,63.00
2026-04-16T04:07:00Z,39.31,63.79
2026-04-16T04:08:00Z,41.09,64.57
2026-04-16T04:09:00Z,39.11,64.75
2026-04-16T04:10:00Z,39.01,62.47
