# event_ticker=KXATPMATCH-25JUL27FEAFIC
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Juan Pablo Ficovich
# fav_player=Jacob Fearnley
# dog_player=Juan Pablo Ficovich
# kalshi_date=2025-07-27
timestamp,Jacob Fearnley,Juan Pablo Ficovich
2025-07-27T17:07:00Z,,28.00
2025-07-27T17:11:00Z,,28.00
2025-07-27T17:17:00Z,85.00,28.00
2025-07-27T17:21:00Z,85.00,28.00
2025-07-27T17:24:00Z,85.00,27.00
2025-07-27T18:03:00Z,85.00,27.00
2025-07-27T18:21:00Z,85.00,27.00
2025-07-27T18:34:00Z,82.00,27.00
2025-07-27T18:58:00Z,82.00,27.00
2025-07-27T19:45:00Z,93.00,27.00
2025-07-27T21:00:00Z,93.00,30.00
2025-07-27T21:06:00Z,93.00,25.00
2025-07-27T21:07:00Z,93.00,25.00
2025-07-27T21:08:00Z,93.00,25.00
2025-07-27T21:09:00Z,93.00,27.00
2025-07-27T21:10:00Z,93.00,21.84
2025-07-27T21:11:00Z,93.00,24.00
2025-07-27T21:12:00Z,93.00,24.00
2025-07-27T21:13:00Z,79.00,29.90
2025-07-27T21:17:00Z,79.00,34.99
2025-07-27T21:18:00Z,73.00,52.00
2025-07-27T21:19:00Z,73.00,51.00
2025-07-27T21:22:00Z,73.00,50.71
2025-07-27T21:23:00Z,51.95,57.12
2025-07-27T21:24:00Z,50.00,57.14
2025-07-27T21:25:00Z,50.00,65.00
2025-07-27T21:26:00Z,50.00,60.00
2025-07-27T21:27:00Z,50.00,65.01
2025-07-27T21:29:00Z,50.00,48.00
2025-07-27T21:30:00Z,57.00,48.00
2025-07-27T21:32:00Z,51.00,51.07
2025-07-27T21:34:00Z,51.00,51.07
2025-07-27T21:36:00Z,52.99,65.00
2025-07-27T21:37:00Z,52.99,61.25
2025-07-27T21:38:00Z,52.99,70.65
2025-07-27T21:40:00Z,55.84,67.73
2025-07-27T21:41:00Z,55.84,73.00
2025-07-27T21:42:00Z,55.84,66.69
2025-07-27T21:43:00Z,55.84,70.00
2025-07-27T21:44:00Z,55.84,73.00
2025-07-27T21:45:00Z,55.84,73.99
2025-07-27T21:46:00Z,55.84,73.33
2025-07-27T21:47:00Z,55.84,76.00
2025-07-27T21:48:00Z,55.84,70.54
2025-07-27T21:50:00Z,55.84,68.00
2025-07-27T21:51:00Z,55.84,68.00
2025-07-27T21:52:00Z,47.72,68.35
2025-07-27T21:53:00Z,47.72,63.38
2025-07-27T21:54:00Z,52.00,67.35
2025-07-27T21:55:00Z,52.00,67.02
2025-07-27T21:56:00Z,52.00,70.00
2025-07-27T21:59:00Z,52.00,66.00
2025-07-27T22:02:00Z,52.00,70.00
2025-07-27T22:04:00Z,52.00,67.00
2025-07-27T22:05:00Z,52.00,71.33
2025-07-27T22:06:00Z,52.00,71.00
2025-07-27T22:08:00Z,52.00,74.00
2025-07-27T22:09:00Z,52.00,74.00
2025-07-27T22:10:00Z,52.00,76.00
2025-07-27T22:11:00Z,52.00,77.00
2025-07-27T22:12:00Z,52.00,83.74
2025-07-27T22:13:00Z,52.00,88.00
2025-07-27T22:14:00Z,3.00,87.80
2025-07-27T22:15:00Z,3.00,90.48
2025-07-27T22:16:00Z,3.00,96.77
2025-07-27T22:17:00Z,2.00,98.00
2025-07-27T22:18:00Z,2.00,97.55
2025-07-27T22:19:00Z,1.00,99.00
2025-07-27T22:20:00Z,1.00,99.00
2025-07-27T22:23:00Z,1.00,99.00
2025-07-27T22:25:00Z,1.00,99.00
