# event_ticker=KXATPCHALLENGERMATCH-26MAY12MATPAP
# final_score=7-6(5) 3-6 6-2
# score_resolution=7-6 3-6 6-2
# match_winner=Christopher Papa
# fav_player=Christopher Papa
# dog_player=Ryuki Matsuda
# kalshi_date=2026-05-12
timestamp,Ryuki Matsuda,Christopher Papa
2026-05-12T03:45:00Z,64.00,
2026-05-12T05:14:00Z,64.00,39.00
2026-05-12T05:27:00Z,64.00,39.00
2026-05-12T05:37:00Z,65.16,39.00
2026-05-12T05:48:00Z,65.16,37.00
2026-05-12T05:58:00Z,65.00,37.00
2026-05-12T06:00:00Z,63.00,37.00
2026-05-12T06:10:00Z,65.00,37.00
2026-05-12T06:11:00Z,65.00,37.00
2026-05-12T06:37:00Z,64.00,37.00
2026-05-12T06:38:00Z,64.00,37.00
2026-05-12T06:44:00Z,64.91,37.00
2026-05-12T06:49:00Z,65.00,37.00
2026-05-12T07:56:00Z,64.00,37.00
2026-05-12T08:14:00Z,64.00,37.00
2026-05-12T09:52:00Z,64.00,37.00
2026-05-12T10:08:00Z,63.00,37.00
2026-05-12T10:31:00Z,63.00,37.00
2026-05-12T11:34:00Z,62.00,37.00
2026-05-12T11:56:00Z,63.00,37.00
2026-05-12T12:09:00Z,63.00,37.00
2026-05-12T12:15:00Z,63.00,37.90
2026-05-12T12:16:00Z,63.00,38.00
2026-05-12T12:17:00Z,63.00,44.00
2026-05-12T12:19:00Z,63.00,41.95
2026-05-12T12:21:00Z,62.00,41.95
2026-05-12T12:22:00Z,59.00,40.00
2026-05-12T12:23:00Z,59.00,42.87
2026-05-12T12:24:00Z,59.00,45.00
2026-05-12T12:25:00Z,56.00,45.00
2026-05-12T12:26:00Z,56.00,45.00
2026-05-12T12:27:00Z,60.00,45.00
2026-05-12T12:28:00Z,60.00,42.00
2026-05-12T12:29:00Z,59.99,42.00
2026-05-12T12:30:00Z,59.99,43.31
2026-05-12T12:31:00Z,53.00,48.00
2026-05-12T12:32:00Z,48.37,49.00
2026-05-12T12:33:00Z,43.00,57.00
2026-05-12T12:35:00Z,48.00,52.00
2026-05-12T12:36:00Z,51.26,53.71
2026-05-12T12:37:00Z,52.00,47.00
2026-05-12T12:38:00Z,52.00,45.52
2026-05-12T12:39:00Z,54.00,50.16
2026-05-12T12:40:00Z,50.00,52.00
