# event_ticker=KXATPCHALLENGERMATCH-26MAR08REIDUT
# final_score=3-6 6-4 7-5
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Daniel Dutra Da Silva
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-03-08
timestamp,Daniel Dutra Da Silva,Joao Lucas Reis Da Silva
2026-03-09T13:45:00Z,,70.00
2026-03-09T14:16:00Z,,70.00
2026-03-09T14:17:00Z,,70.00
2026-03-09T15:11:00Z,,70.00
2026-03-09T15:35:00Z,29.00,73.00
2026-03-09T15:40:00Z,29.00,73.00
2026-03-09T15:44:00Z,29.00,74.00
2026-03-09T16:05:00Z,32.00,66.00
2026-03-09T16:06:00Z,32.00,69.86
2026-03-09T16:11:00Z,32.00,70.00
2026-03-09T16:25:00Z,32.00,70.00
2026-03-09T16:29:00Z,32.00,69.00
2026-03-09T16:31:00Z,31.00,69.00
2026-03-09T16:32:00Z,30.30,69.00
2026-03-09T16:33:00Z,30.00,69.83
2026-03-09T16:34:00Z,30.00,69.83
2026-03-09T16:35:00Z,30.00,70.00
2026-03-09T16:43:00Z,30.00,70.00
2026-03-09T17:13:00Z,30.00,70.00
2026-03-09T17:18:00Z,36.03,72.00
2026-03-09T17:19:00Z,35.91,70.00
2026-03-09T17:20:00Z,34.00,69.00
2026-03-09T17:21:00Z,34.00,69.83
2026-03-09T17:23:00Z,34.00,69.00
2026-03-09T17:24:00Z,35.97,65.06
2026-03-09T17:25:00Z,38.91,60.58
2026-03-09T17:26:00Z,44.36,59.99
2026-03-09T17:27:00Z,45.98,57.55
2026-03-09T17:28:00Z,42.13,56.90
2026-03-09T17:29:00Z,37.95,65.66
2026-03-09T17:30:00Z,36.18,64.98
2026-03-09T17:31:00Z,40.00,64.98
2026-03-09T17:32:00Z,41.70,61.00
2026-03-09T17:33:00Z,39.64,61.00
2026-03-09T17:34:00Z,37.60,63.79
2026-03-09T17:35:00Z,36.34,67.56
2026-03-09T17:36:00Z,39.89,63.20
2026-03-09T17:37:00Z,39.00,63.00
2026-03-09T17:38:00Z,40.30,62.98
2026-03-09T17:39:00Z,39.90,63.93
2026-03-09T17:40:00Z,39.17,63.23
2026-03-09T17:41:00Z,41.04,61.35
2026-03-09T17:42:00Z,36.93,65.37
2026-03-09T17:43:00Z,39.18,59.34
2026-03-09T17:44:00Z,39.01,62.31
2026-03-09T17:45:00Z,34.13,69.79
2026-03-09T17:46:00Z,31.86,67.31
2026-03-09T17:47:00Z,31.80,71.23
2026-03-09T17:48:00Z,35.15,64.37
2026-03-09T17:49:00Z,37.17,63.93
2026-03-09T17:50:00Z,40.29,59.64
2026-03-09T17:51:00Z,40.00,60.74
2026-03-09T17:52:00Z,38.01,64.90
2026-03-09T17:53:00Z,37.14,65.00
2026-03-09T17:54:00Z,37.22,65.61
2026-03-09T17:55:00Z,35.01,69.01
2026-03-09T17:56:00Z,37.08,64.47
2026-03-09T17:57:00Z,40.32,62.64
2026-03-09T17:58:00Z,40.80,58.56
2026-03-09T17:59:00Z,49.53,49.64
2026-03-09T18:00:00Z,53.20,48.14
2026-03-09T18:01:00Z,59.15,42.69
2026-03-09T18:02:00Z,56.49,43.57
2026-03-09T18:03:00Z,61.43,41.43
2026-03-09T18:04:00Z,65.85,34.74
2026-03-09T18:05:00Z,66.07,35.04
2026-03-09T18:06:00Z,65.86,35.23
2026-03-09T18:07:00Z,64.16,36.00
2026-03-09T18:08:00Z,65.65,35.67
2026-03-09T18:09:00Z,65.09,36.00
2026-03-09T18:10:00Z,66.06,37.46
2026-03-09T18:11:00Z,65.80,37.26
2026-03-09T18:12:00Z,69.20,34.06
2026-03-09T18:13:00Z,71.34,33.40
2026-03-09T18:14:00Z,63.95,37.54
2026-03-09T18:15:00Z,60.98,39.49
2026-03-09T18:16:00Z,53.43,46.56
2026-03-09T18:17:00Z,48.24,51.57
2026-03-09T18:18:00Z,46.66,53.18
2026-03-09T18:19:00Z,47.62,54.27
2026-03-09T18:20:00Z,46.46,55.62
2026-03-09T18:21:00Z,40.64,58.20
2026-03-09T18:22:00Z,41.02,57.79
2026-03-09T18:23:00Z,40.93,61.65
2026-03-09T18:24:00Z,41.36,61.55
2026-03-09T18:25:00Z,40.18,60.75
2026-03-09T18:26:00Z,41.46,60.32
2026-03-09T18:27:00Z,43.62,56.49
2026-03-09T18:28:00Z,53.96,48.29
2026-03-09T18:29:00Z,60.16,41.48
2026-03-09T18:30:00Z,54.87,45.35
2026-03-09T18:31:00Z,60.15,40.61
2026-03-09T18:32:00Z,61.00,40.91
2026-03-09T18:33:00Z,63.27,36.27
2026-03-09T18:34:00Z,67.58,32.64
2026-03-09T18:35:00Z,63.09,36.26
2026-03-09T18:36:00Z,63.62,36.56
2026-03-09T18:37:00Z,62.00,40.21
2026-03-09T18:38:00Z,60.65,41.66
2026-03-09T18:39:00Z,61.79,40.33
2026-03-09T18:40:00Z,63.85,39.15
2026-03-09T18:41:00Z,65.66,37.45
2026-03-09T18:42:00Z,67.14,32.86
2026-03-09T18:43:00Z,74.52,27.78
2026-03-09T18:44:00Z,75.07,28.91
2026-03-09T18:45:00Z,77.28,21.91
2026-03-09T18:46:00Z,65.67,37.72
2026-03-09T18:47:00Z,62.18,37.19
2026-03-09T18:48:00Z,58.15,41.87
2026-03-09T18:49:00Z,58.15,40.67
2026-03-09T18:50:00Z,49.87,50.18
2026-03-09T18:51:00Z,65.00,39.61
2026-03-09T18:52:00Z,62.75,40.96
2026-03-09T18:53:00Z,57.43,47.62
2026-03-09T18:54:00Z,40.70,61.60
2026-03-09T18:55:00Z,38.47,62.38
2026-03-09T18:56:00Z,37.49,61.60
2026-03-09T18:57:00Z,39.90,61.98
2026-03-09T18:58:00Z,40.00,60.53
2026-03-09T18:59:00Z,40.00,61.92
2026-03-09T19:00:00Z,40.38,59.11
2026-03-09T19:01:00Z,39.25,61.76
2026-03-09T19:02:00Z,37.94,61.30
2026-03-09T19:03:00Z,38.45,62.00
2026-03-09T19:04:00Z,39.06,61.34
2026-03-09T19:05:00Z,40.57,61.30
2026-03-09T19:06:00Z,37.77,66.14
2026-03-09T19:07:00Z,32.36,67.91
2026-03-09T19:08:00Z,32.96,68.10
2026-03-09T19:09:00Z,34.32,68.99
2026-03-09T19:10:00Z,37.63,61.59
2026-03-09T19:11:00Z,40.65,54.93
2026-03-09T19:12:00Z,43.17,56.95
2026-03-09T19:13:00Z,49.23,55.23
2026-03-09T19:14:00Z,42.99,57.05
2026-03-09T19:15:00Z,37.22,60.66
2026-03-09T19:16:00Z,34.19,69.18
2026-03-09T19:17:00Z,30.34,66.92
2026-03-09T19:18:00Z,29.95,68.84
2026-03-09T19:19:00Z,27.99,75.23
2026-03-09T19:20:00Z,19.98,81.98
2026-03-09T19:21:00Z,17.81,82.71
2026-03-09T19:22:00Z,11.21,87.04
2026-03-09T19:23:00Z,9.65,88.37
2026-03-09T19:24:00Z,11.04,85.12
2026-03-09T19:25:00Z,21.21,79.49
2026-03-09T19:26:00Z,33.19,64.45
2026-03-09T19:27:00Z,34.92,64.84
2026-03-09T19:28:00Z,33.03,68.59
2026-03-09T19:29:00Z,27.30,68.54
2026-03-09T19:30:00Z,43.51,61.25
2026-03-09T19:31:00Z,40.94,60.90
2026-03-09T19:32:00Z,39.24,63.20
2026-03-09T19:33:00Z,36.47,67.21
2026-03-09T19:34:00Z,39.17,66.36
2026-03-09T19:35:00Z,54.83,47.02
2026-03-09T19:36:00Z,51.10,48.05
2026-03-09T19:37:00Z,54.25,49.09
2026-03-09T19:38:00Z,52.28,43.60
2026-03-09T19:39:00Z,46.28,58.89
2026-03-09T19:40:00Z,44.88,56.92
2026-03-09T19:41:00Z,34.45,64.09
2026-03-09T19:42:00Z,33.73,67.26
2026-03-09T19:43:00Z,36.76,62.35
2026-03-09T19:44:00Z,33.73,68.00
2026-03-09T19:45:00Z,37.64,63.25
2026-03-09T19:46:00Z,44.57,55.46
2026-03-09T19:47:00Z,46.14,55.76
2026-03-09T19:48:00Z,41.35,60.37
2026-03-09T19:49:00Z,37.69,59.09
2026-03-09T19:50:00Z,42.09,62.01
2026-03-09T19:51:00Z,36.55,64.28
2026-03-09T19:52:00Z,31.19,63.46
2026-03-09T19:53:00Z,36.65,67.36
2026-03-09T19:54:00Z,48.76,53.90
2026-03-09T19:55:00Z,45.12,57.26
2026-03-09T19:56:00Z,31.61,66.84
2026-03-09T19:57:00Z,34.37,69.10
2026-03-09T19:58:00Z,41.72,62.59
2026-03-09T19:59:00Z,36.77,67.12
2026-03-09T20:00:00Z,34.96,69.73
2026-03-09T20:01:00Z,12.24,84.81
2026-03-09T20:02:00Z,20.18,81.87
2026-03-09T20:03:00Z,1.61,98.52
2026-03-09T20:04:00Z,1.61,99.00
2026-03-09T20:05:00Z,1.61,99.00
2026-03-09T20:06:00Z,1.61,99.00
2026-03-09T20:07:00Z,1.61,99.00
2026-03-09T20:08:00Z,1.61,99.00
2026-03-09T20:09:00Z,1.00,99.00
2026-03-09T20:10:00Z,1.00,99.00
2026-03-09T20:11:00Z,1.00,99.00
2026-03-09T20:12:00Z,1.00,99.00
