# event_ticker=KXATPCHALLENGERMATCH-26MAY26CECHSU
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Yu Hsiou Hsu
# fav_player=Yu Hsiou Hsu
# dog_player=Marco Cecchinato
# kalshi_date=2026-05-26
timestamp,Marco Cecchinato,Yu Hsiou Hsu
2026-05-26T02:25:00Z,81.00,
2026-05-26T02:37:00Z,81.00,21.00
2026-05-26T03:07:00Z,81.00,21.00
2026-05-26T03:28:00Z,81.00,21.00
2026-05-26T04:46:00Z,81.00,19.00
2026-05-26T05:08:00Z,81.00,19.00
2026-05-26T08:03:00Z,81.00,19.00
2026-05-26T11:55:00Z,82.00,19.00
2026-05-26T12:29:00Z,82.00,20.00
2026-05-26T13:11:00Z,83.00,19.00
2026-05-26T13:30:00Z,81.38,19.00
2026-05-26T13:31:00Z,81.00,19.00
2026-05-26T13:36:00Z,80.86,19.00
2026-05-26T13:37:00Z,80.00,21.00
2026-05-26T13:38:00Z,80.00,18.67
2026-05-26T13:39:00Z,78.62,23.50
2026-05-26T13:40:00Z,76.94,24.63
2026-05-26T13:41:00Z,79.82,21.35
2026-05-26T13:42:00Z,82.00,18.00
2026-05-26T13:43:00Z,82.96,18.00
2026-05-26T13:44:00Z,79.00,20.57
2026-05-26T13:45:00Z,79.00,22.00
2026-05-26T13:46:00Z,75.04,24.84
2026-05-26T13:47:00Z,72.00,27.67
2026-05-26T13:48:00Z,73.06,27.56
2026-05-26T13:49:00Z,66.97,34.37
2026-05-26T13:51:00Z,67.56,35.00
2026-05-26T13:52:00Z,64.07,35.05
2026-05-26T13:53:00Z,65.00,34.12
2026-05-26T13:54:00Z,60.00,40.62
2026-05-26T13:55:00Z,59.96,42.00
2026-05-26T13:56:00Z,59.92,42.00
2026-05-26T13:57:00Z,60.97,40.04
2026-05-26T13:59:00Z,60.97,41.00
2026-05-26T14:00:00Z,56.00,43.04
2026-05-26T14:01:00Z,56.00,44.32
2026-05-26T14:02:00Z,54.35,44.32
2026-05-26T14:03:00Z,56.11,44.32
2026-05-26T14:04:00Z,56.00,44.00
2026-05-26T14:05:00Z,53.00,47.94
2026-05-26T14:06:00Z,50.00,47.94
2026-05-26T14:07:00Z,49.56,50.37
2026-05-26T14:08:00Z,46.90,54.00
2026-05-26T14:09:00Z,49.42,50.00
