# event_ticker=KXATPCHALLENGERMATCH-26APR28YUNMAS
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Yunchaokete Bu
# fav_player=Daniel Masur
# dog_player=Yunchaokete Bu
# kalshi_date=2026-04-28
timestamp,Yunchaokete Bu,Daniel Masur
2026-04-29T03:10:00Z,,24.00
2026-04-29T03:15:00Z,,24.00
2026-04-29T04:23:00Z,77.00,24.00
2026-04-29T04:28:00Z,78.99,24.00
2026-04-29T04:29:00Z,78.99,25.00
2026-04-29T04:58:00Z,79.00,25.00
2026-04-29T04:59:00Z,79.00,25.00
2026-04-29T05:09:00Z,79.28,25.00
2026-04-29T05:48:00Z,79.19,25.00
2026-04-29T10:27:00Z,81.00,25.00
2026-04-29T10:55:00Z,81.00,22.00
2026-04-29T11:37:00Z,81.00,22.00
2026-04-29T12:14:00Z,81.00,22.00
2026-04-29T12:19:00Z,81.00,21.00
2026-04-29T12:21:00Z,81.64,21.00
2026-04-29T12:22:00Z,81.64,21.00
2026-04-29T12:24:00Z,81.64,21.00
2026-04-29T12:25:00Z,81.00,21.00
2026-04-29T12:26:00Z,82.00,22.00
2026-04-29T12:27:00Z,80.00,22.60
2026-04-29T12:28:00Z,80.00,22.00
2026-04-29T12:29:00Z,80.00,21.00
2026-04-29T12:30:00Z,80.00,21.30
2026-04-29T12:31:00Z,81.93,18.13
2026-04-29T12:32:00Z,84.00,18.00
2026-04-29T12:35:00Z,84.00,22.60
2026-04-29T12:36:00Z,79.01,26.28
2026-04-29T12:37:00Z,79.01,22.00
2026-04-29T12:38:00Z,81.00,22.00
2026-04-29T12:39:00Z,81.00,20.84
2026-04-29T12:40:00Z,81.00,20.84
2026-04-29T12:41:00Z,80.00,21.57
2026-04-29T12:44:00Z,80.00,22.00
2026-04-29T12:45:00Z,80.00,23.65
2026-04-29T12:46:00Z,80.00,23.06
2026-04-29T12:47:00Z,80.00,25.00
2026-04-29T12:48:00Z,77.00,25.03
2026-04-29T12:49:00Z,76.00,25.55
2026-04-29T12:50:00Z,77.00,24.13
2026-04-29T12:51:00Z,77.00,23.00
2026-04-29T12:52:00Z,76.00,25.00
2026-04-29T12:53:00Z,75.00,25.30
2026-04-29T12:54:00Z,73.62,27.06
2026-04-29T12:55:00Z,73.62,26.17
2026-04-29T12:56:00Z,75.20,30.66
2026-04-29T12:57:00Z,75.20,25.91
2026-04-29T12:58:00Z,78.00,25.91
2026-04-29T12:59:00Z,75.46,27.03
2026-04-29T13:00:00Z,73.00,28.40
2026-04-29T13:01:00Z,73.00,28.29
2026-04-29T13:02:00Z,73.00,26.67
2026-04-29T13:03:00Z,74.00,27.99
2026-04-29T13:04:00Z,76.92,25.21
2026-04-29T13:05:00Z,71.31,30.99
2026-04-29T13:06:00Z,76.56,34.96
