# event_ticker=KXATPMATCH-25NOV05GASALT
# final_score=4-6 6-0 RET
# match_winner=Daniel Altmaier
# fav_player=Daniel Altmaier
# dog_player=Hugo Gaston
# kalshi_date=2025-11-05
timestamp,Daniel Altmaier,Hugo Gaston
2025-11-05T03:58:00Z,,52.00
2025-11-05T04:01:00Z,50.00,52.00
2025-11-05T04:04:00Z,50.00,52.00
2025-11-05T04:06:00Z,50.00,52.00
2025-11-05T04:07:00Z,50.00,52.00
2025-11-05T04:35:00Z,50.00,52.00
2025-11-05T04:40:00Z,50.00,52.00
2025-11-05T04:42:00Z,50.00,52.00
2025-11-05T04:43:00Z,50.00,52.00
2025-11-05T04:45:00Z,50.00,51.00
2025-11-05T04:49:00Z,50.00,51.00
2025-11-05T04:51:00Z,50.00,51.00
2025-11-05T04:54:00Z,50.00,51.00
2025-11-05T04:55:00Z,50.00,51.00
2025-11-05T05:22:00Z,50.00,51.00
2025-11-05T05:34:00Z,50.00,51.00
2025-11-05T05:49:00Z,50.00,51.00
2025-11-05T06:05:00Z,50.00,51.00
2025-11-05T06:09:00Z,50.00,52.00
2025-11-05T06:18:00Z,50.00,52.00
2025-11-05T06:25:00Z,50.00,52.00
2025-11-05T06:27:00Z,50.00,51.00
2025-11-05T06:31:00Z,50.00,51.00
2025-11-05T06:33:00Z,50.00,52.00
2025-11-05T06:34:00Z,50.00,52.00
2025-11-05T06:35:00Z,50.00,52.00
2025-11-05T06:37:00Z,50.00,52.00
2025-11-05T06:38:00Z,50.00,52.00
2025-11-05T06:39:00Z,50.00,52.00
2025-11-05T06:44:00Z,50.00,52.00
2025-11-05T06:45:00Z,50.00,52.00
2025-11-05T06:47:00Z,50.00,52.00
2025-11-05T06:50:00Z,50.00,52.00
2025-11-05T06:51:00Z,50.00,52.00
2025-11-05T06:52:00Z,50.00,52.00
2025-11-05T06:53:00Z,50.00,51.03
2025-11-05T06:54:00Z,50.00,52.00
2025-11-05T06:56:00Z,50.00,52.00
2025-11-05T06:59:00Z,50.00,52.00
2025-11-05T07:05:00Z,50.00,51.00
2025-11-05T07:10:00Z,50.00,52.00
2025-11-05T07:13:00Z,50.00,52.00
2025-11-05T07:19:00Z,50.00,52.00
2025-11-05T07:38:00Z,50.00,52.00
