# event_ticker=KXATPCHALLENGERMATCH-26FEB25SAIDIA
# final_score=6-4 6-2
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-02-25
timestamp,Facundo Diaz Acosta,Nikolas Sanchez Izquierdo
2026-02-25T14:04:00Z,87.00,14.00
2026-02-25T14:05:00Z,87.18,14.35
2026-02-25T14:06:00Z,86.16,16.94
2026-02-25T14:07:00Z,86.88,14.84
2026-02-25T14:08:00Z,87.64,14.00
2026-02-25T14:10:00Z,92.95,15.99
2026-02-25T14:11:00Z,90.15,11.00
2026-02-25T14:12:00Z,90.60,11.00
2026-02-25T14:13:00Z,91.11,12.94
2026-02-25T14:14:00Z,90.00,12.97
2026-02-25T14:15:00Z,89.19,12.00
2026-02-25T14:16:00Z,89.16,13.95
2026-02-25T14:17:00Z,86.78,14.91
2026-02-25T14:18:00Z,81.83,19.11
2026-02-25T14:19:00Z,79.49,21.30
2026-02-25T14:20:00Z,79.36,23.69
2026-02-25T14:21:00Z,82.93,21.07
2026-02-25T14:22:00Z,81.40,20.35
2026-02-25T14:23:00Z,78.00,24.00
2026-02-25T14:24:00Z,77.06,24.96
2026-02-25T14:25:00Z,73.01,28.73
2026-02-25T14:26:00Z,70.77,29.74
2026-02-25T14:27:00Z,72.76,29.05
2026-02-25T14:28:00Z,73.56,28.17
2026-02-25T14:29:00Z,73.00,29.19
2026-02-25T14:30:00Z,74.87,27.94
2026-02-25T14:31:00Z,88.35,14.50
2026-02-25T14:32:00Z,88.05,11.79
2026-02-25T14:33:00Z,89.00,12.03
2026-02-25T14:34:00Z,89.00,12.16
2026-02-25T14:35:00Z,89.00,13.00
2026-02-25T14:36:00Z,89.00,13.00
2026-02-25T14:37:00Z,89.00,12.04
2026-02-25T14:38:00Z,88.73,13.96
2026-02-25T14:39:00Z,87.90,12.85
2026-02-25T14:40:00Z,88.19,12.02
2026-02-25T14:41:00Z,87.15,12.85
2026-02-25T14:42:00Z,88.59,12.10
2026-02-25T14:43:00Z,88.14,12.99
2026-02-25T14:44:00Z,88.00,12.66
2026-02-25T14:45:00Z,87.96,13.79
2026-02-25T14:46:00Z,88.00,14.13
2026-02-25T14:47:00Z,87.82,15.09
2026-02-25T14:48:00Z,88.23,12.36
2026-02-25T14:49:00Z,88.00,13.59
2026-02-25T14:50:00Z,88.00,12.98
2026-02-25T14:51:00Z,88.00,13.28
2026-02-25T14:52:00Z,87.13,14.00
2026-02-25T14:53:00Z,86.00,16.00
2026-02-25T14:54:00Z,85.31,15.96
2026-02-25T14:55:00Z,85.52,18.03
2026-02-25T14:56:00Z,85.24,17.31
2026-02-25T14:57:00Z,85.69,16.35
2026-02-25T14:58:00Z,84.00,17.71
2026-02-25T14:59:00Z,86.42,12.63
2026-02-25T15:00:00Z,86.74,12.50
2026-02-25T15:01:00Z,87.36,12.68
2026-02-25T15:02:00Z,87.73,13.36
2026-02-25T15:03:00Z,87.98,12.95
2026-02-25T15:04:00Z,89.33,10.43
2026-02-25T15:05:00Z,94.12,5.76
2026-02-25T15:06:00Z,97.14,2.60
2026-02-25T15:07:00Z,97.99,2.62
2026-02-25T15:08:00Z,98.06,1.39
2026-02-25T15:09:00Z,97.41,3.02
2026-02-25T15:10:00Z,97.20,4.92
2026-02-25T15:11:00Z,98.08,1.04
2026-02-25T15:12:00Z,98.99,1.26
2026-02-25T15:13:00Z,98.78,1.06
2026-02-25T15:14:00Z,99.00,1.00
2026-02-25T15:15:00Z,99.00,1.00
2026-02-25T15:16:00Z,99.00,1.00
