# event_ticker=KXATPCHALLENGERMATCH-26JUN02PELKAS
# final_score=4-6 7-6(5) 6-1
# score_resolution=4-6 7-6 6-1
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Maks Kasnikowski
# kalshi_date=2026-06-02
timestamp,Andrea Pellegrino,Maks Kasnikowski
2026-06-02T08:33:00Z,72.00,
2026-06-02T09:51:00Z,72.00,30.00
2026-06-02T10:41:00Z,72.00,30.00
2026-06-02T12:29:00Z,72.00,30.00
2026-06-02T13:20:00Z,72.00,30.00
2026-06-02T13:32:00Z,72.00,30.00
2026-06-02T13:39:00Z,71.00,30.00
2026-06-02T13:53:00Z,70.00,30.00
2026-06-02T14:26:00Z,72.00,30.00
2026-06-02T14:43:00Z,72.00,30.00
2026-06-02T14:44:00Z,72.00,30.00
2026-06-02T15:00:00Z,72.00,30.00
2026-06-02T15:07:00Z,72.00,30.00
2026-06-02T15:21:00Z,72.00,30.00
2026-06-02T15:23:00Z,72.00,30.00
2026-06-02T15:35:00Z,72.00,30.00
2026-06-02T15:43:00Z,72.00,30.00
2026-06-02T15:45:00Z,72.00,29.00
2026-06-02T15:54:00Z,72.00,29.00
2026-06-02T16:00:00Z,72.00,29.00
2026-06-02T16:07:00Z,73.00,29.00
2026-06-02T16:08:00Z,73.00,29.00
2026-06-02T16:11:00Z,73.00,29.00
2026-06-02T16:12:00Z,73.00,29.00
2026-06-02T16:23:00Z,73.00,29.00
2026-06-02T16:41:00Z,73.00,29.00
2026-06-02T16:46:00Z,73.00,29.00
2026-06-02T16:53:00Z,73.00,29.00
2026-06-02T16:54:00Z,73.00,29.00
2026-06-02T17:09:00Z,73.00,29.00
2026-06-02T17:27:00Z,73.00,29.00
2026-06-02T17:47:00Z,73.00,29.00
2026-06-02T17:52:00Z,73.00,29.00
2026-06-02T18:00:00Z,73.00,29.00
2026-06-02T18:01:00Z,73.00,29.00
2026-06-02T18:07:00Z,73.00,29.00
2026-06-02T18:12:00Z,74.00,26.02
2026-06-02T18:21:00Z,75.00,26.02
2026-06-02T18:23:00Z,75.00,26.50
2026-06-02T18:24:00Z,75.00,26.50
2026-06-02T18:26:00Z,75.00,26.50
2026-06-02T18:29:00Z,75.00,26.00
2026-06-02T18:31:00Z,75.00,26.00
2026-06-02T18:34:00Z,74.00,26.00
2026-06-02T18:35:00Z,74.00,26.00
2026-06-02T18:36:00Z,75.00,26.00
2026-06-02T18:37:00Z,75.00,27.87
2026-06-02T18:41:00Z,75.00,25.00
2026-06-02T18:42:00Z,76.90,22.24
2026-06-02T18:43:00Z,75.94,25.00
2026-06-02T18:44:00Z,73.23,27.35
2026-06-02T18:45:00Z,69.60,30.80
2026-06-02T18:46:00Z,69.01,32.00
2026-06-02T18:47:00Z,71.60,29.00
2026-06-02T18:48:00Z,72.00,27.93
2026-06-02T18:49:00Z,72.87,29.97
2026-06-02T18:50:00Z,74.00,28.75
2026-06-02T18:51:00Z,70.00,30.05
2026-06-02T18:52:00Z,68.99,32.00
2026-06-02T18:53:00Z,67.76,34.08
2026-06-02T18:54:00Z,65.83,34.94
2026-06-02T18:55:00Z,66.87,34.14
2026-06-02T18:56:00Z,65.46,38.23
2026-06-02T18:57:00Z,68.74,32.27
2026-06-02T18:58:00Z,66.39,32.72
2026-06-02T18:59:00Z,51.37,47.96
2026-06-02T19:00:00Z,51.17,49.18
2026-06-02T19:01:00Z,49.63,52.18
2026-06-02T19:02:00Z,48.65,51.87
2026-06-02T19:03:00Z,46.14,54.24
2026-06-02T19:04:00Z,44.49,56.00
2026-06-02T19:05:00Z,46.92,54.99
2026-06-02T19:06:00Z,47.00,53.64
2026-06-02T19:07:00Z,47.00,54.00
2026-06-02T19:08:00Z,43.67,56.56
2026-06-02T19:09:00Z,44.97,55.82
2026-06-02T19:10:00Z,45.36,55.94
2026-06-02T19:11:00Z,45.72,54.07
2026-06-02T19:12:00Z,44.39,55.81
2026-06-02T19:13:00Z,40.73,59.91
2026-06-02T19:14:00Z,41.00,60.00
2026-06-02T19:15:00Z,40.98,60.00
2026-06-02T19:16:00Z,40.47,60.73
