# event_ticker=KXATPCHALLENGERMATCH-26MAY11HARBRU
# final_score=7-5 5-7 6-3
# score_resolution=5-7 7-5 3-6
# match_winner=Petr Brunclik
# fav_player=Billy Harris
# dog_player=Petr Brunclik
# kalshi_date=2026-05-11
timestamp,Billy Harris,Petr Brunclik
2026-05-11T05:57:00Z,,50.00
2026-05-11T06:42:00Z,52.00,50.00
2026-05-11T07:13:00Z,52.00,50.00
2026-05-11T07:24:00Z,53.45,49.00
2026-05-11T08:02:00Z,54.00,49.00
2026-05-11T08:30:00Z,54.00,49.00
2026-05-11T09:13:00Z,53.00,49.00
2026-05-11T11:16:00Z,53.00,48.00
2026-05-11T11:42:00Z,53.00,48.00
2026-05-11T13:14:00Z,53.00,49.00
2026-05-11T13:21:00Z,54.61,49.00
2026-05-11T13:35:00Z,54.61,49.00
2026-05-11T13:51:00Z,54.00,48.00
2026-05-11T14:05:00Z,54.00,49.80
2026-05-11T14:23:00Z,54.00,50.00
2026-05-11T14:30:00Z,54.00,50.00
2026-05-11T14:31:00Z,52.00,50.00
2026-05-11T14:50:00Z,54.00,50.00
2026-05-11T14:54:00Z,54.00,50.00
2026-05-11T15:01:00Z,54.00,50.00
2026-05-11T15:40:00Z,53.00,50.00
2026-05-11T15:53:00Z,53.00,50.00
2026-05-11T16:28:00Z,53.00,50.00
2026-05-11T16:44:00Z,53.00,50.00
2026-05-11T17:10:00Z,53.00,50.00
2026-05-11T17:11:00Z,53.00,50.00
2026-05-11T17:12:00Z,53.00,50.00
2026-05-11T17:14:00Z,52.00,50.00
2026-05-11T17:21:00Z,53.00,50.00
2026-05-11T17:27:00Z,53.00,50.00
2026-05-11T17:28:00Z,53.00,50.00
2026-05-11T17:32:00Z,52.00,49.98
2026-05-11T17:33:00Z,52.00,49.98
2026-05-11T17:34:00Z,52.00,50.00
2026-05-11T17:35:00Z,51.96,50.00
2026-05-11T17:36:00Z,51.00,50.71
2026-05-11T17:37:00Z,50.00,52.00
2026-05-11T17:38:00Z,47.00,52.00
2026-05-11T17:39:00Z,46.98,55.00
2026-05-11T17:40:00Z,41.02,60.14
2026-05-11T17:41:00Z,42.78,56.00
2026-05-11T17:42:00Z,46.46,57.95
2026-05-11T17:43:00Z,45.66,55.00
2026-05-11T17:44:00Z,45.89,56.19
2026-05-11T17:45:00Z,47.95,53.00
2026-05-11T17:46:00Z,51.35,50.25
2026-05-11T17:47:00Z,53.13,50.00
2026-05-11T17:48:00Z,47.50,50.00
2026-05-11T17:49:00Z,42.00,57.00
2026-05-11T17:50:00Z,42.78,58.88
2026-05-11T17:51:00Z,43.72,56.82
2026-05-11T17:52:00Z,44.16,55.52
2026-05-11T17:53:00Z,42.96,57.65
2026-05-11T17:54:00Z,41.02,59.61
2026-05-11T17:55:00Z,41.00,59.83
2026-05-11T17:56:00Z,43.35,56.08
2026-05-11T17:57:00Z,45.85,54.11
2026-05-11T17:58:00Z,48.43,50.84
2026-05-11T17:59:00Z,52.48,49.24
2026-05-11T18:00:00Z,55.24,47.28
2026-05-11T18:01:00Z,50.76,52.07
2026-05-11T18:02:00Z,48.08,50.98
2026-05-11T18:03:00Z,46.03,54.19
2026-05-11T18:04:00Z,46.61,55.00
2026-05-11T18:05:00Z,46.55,55.37
2026-05-11T18:06:00Z,46.91,54.41
2026-05-11T18:07:00Z,47.54,53.23
2026-05-11T18:08:00Z,47.63,52.71
2026-05-11T18:09:00Z,47.72,53.39
2026-05-11T18:10:00Z,51.88,50.74
2026-05-11T18:11:00Z,58.70,46.73
2026-05-11T18:12:00Z,61.15,40.71
2026-05-11T18:13:00Z,60.14,40.72
2026-05-11T18:14:00Z,57.34,42.77
2026-05-11T18:15:00Z,55.86,46.26
2026-05-11T18:16:00Z,58.64,44.10
2026-05-11T18:17:00Z,55.57,46.05
2026-05-11T18:18:00Z,59.02,48.35
2026-05-11T18:19:00Z,51.61,50.45
2026-05-11T18:20:00Z,50.79,51.07
2026-05-11T18:21:00Z,52.17,50.48
2026-05-11T18:22:00Z,53.04,50.43
2026-05-11T18:23:00Z,52.72,48.73
