# event_ticker=KXATPCHALLENGERMATCH-26APR14JUSAMB
# final_score=6-4 3-6 7-5
# score_resolution=4-6 6-3 5-7
# match_winner=Guido Ivan Justo
# fav_player=Luciano Emanuel Ambrogi
# dog_player=Guido Ivan Justo
# kalshi_date=2026-04-14
timestamp,Luciano Emanuel Ambrogi,Guido Ivan Justo
2026-04-14T07:58:00Z,,60.00
2026-04-14T09:59:00Z,,60.00
2026-04-14T14:23:00Z,,60.00
2026-04-14T15:39:00Z,40.00,60.00
2026-04-14T16:01:00Z,40.00,60.00
2026-04-14T16:12:00Z,40.00,60.00
2026-04-14T16:59:00Z,40.00,60.00
2026-04-14T17:14:00Z,40.00,60.00
2026-04-14T17:15:00Z,40.00,60.00
2026-04-14T17:18:00Z,40.00,60.80
2026-04-14T17:41:00Z,40.00,60.65
2026-04-14T17:54:00Z,40.00,61.04
2026-04-14T17:59:00Z,40.00,62.47
2026-04-14T18:02:00Z,41.70,62.47
2026-04-14T18:06:00Z,41.00,62.47
2026-04-14T18:10:00Z,43.26,59.23
2026-04-14T18:11:00Z,47.70,59.23
2026-04-14T18:12:00Z,47.70,56.00
2026-04-14T18:13:00Z,47.00,56.00
2026-04-14T18:14:00Z,50.24,55.00
2026-04-14T18:15:00Z,47.00,54.27
2026-04-14T18:17:00Z,41.82,62.00
2026-04-14T18:18:00Z,39.00,60.38
2026-04-14T18:19:00Z,37.93,61.03
2026-04-14T18:20:00Z,33.00,67.32
2026-04-14T18:21:00Z,33.00,71.00
2026-04-14T18:22:00Z,33.00,71.10
2026-04-14T18:28:00Z,26.00,71.10
2026-04-14T18:31:00Z,24.57,74.27
2026-04-14T18:32:00Z,30.43,70.14
2026-04-14T18:33:00Z,25.98,77.00
2026-04-14T18:34:00Z,25.00,77.00
2026-04-14T18:35:00Z,25.00,74.00
2026-04-14T18:36:00Z,25.00,76.00
2026-04-14T18:38:00Z,25.00,75.00
2026-04-14T18:39:00Z,23.00,80.00
2026-04-14T18:40:00Z,23.00,80.97
2026-04-14T18:41:00Z,19.50,80.53
2026-04-14T18:42:00Z,19.00,81.00
2026-04-14T18:43:00Z,22.00,82.99
2026-04-14T18:44:00Z,22.00,83.00
2026-04-14T18:45:00Z,18.87,81.34
2026-04-14T18:46:00Z,20.01,81.34
2026-04-14T18:48:00Z,17.00,81.34
2026-04-14T18:49:00Z,15.00,86.00
2026-04-14T18:50:00Z,15.00,86.00
2026-04-14T18:51:00Z,15.00,86.00
2026-04-14T18:52:00Z,15.00,86.00
2026-04-14T18:53:00Z,13.00,87.81
2026-04-14T18:54:00Z,18.96,82.00
2026-04-14T18:55:00Z,17.65,84.00
2026-04-14T18:56:00Z,18.00,82.00
2026-04-14T18:57:00Z,19.00,83.00
2026-04-14T18:58:00Z,19.00,84.00
2026-04-14T18:59:00Z,14.00,84.67
2026-04-14T19:00:00Z,14.00,87.00
2026-04-14T19:01:00Z,15.17,86.69
2026-04-14T19:02:00Z,16.20,84.00
2026-04-14T19:03:00Z,19.00,82.00
2026-04-14T19:04:00Z,18.00,83.00
2026-04-14T19:05:00Z,18.00,83.64
2026-04-14T19:06:00Z,20.33,80.18
2026-04-14T19:07:00Z,24.00,71.99
2026-04-14T19:08:00Z,23.71,76.84
2026-04-14T19:09:00Z,19.00,80.07
2026-04-14T19:10:00Z,20.55,79.31
2026-04-14T19:11:00Z,21.88,79.00
2026-04-14T19:12:00Z,17.18,82.46
2026-04-14T19:13:00Z,20.60,79.79
2026-04-14T19:14:00Z,22.45,77.64
2026-04-14T19:15:00Z,22.00,78.02
2026-04-14T19:16:00Z,23.00,78.00
2026-04-14T19:17:00Z,23.08,78.00
2026-04-14T19:18:00Z,27.01,73.70
2026-04-14T19:19:00Z,31.81,70.06
2026-04-14T19:20:00Z,36.33,61.75
2026-04-14T19:21:00Z,38.10,63.40
2026-04-14T19:22:00Z,42.11,59.80
2026-04-14T19:23:00Z,38.12,61.89
2026-04-14T19:24:00Z,37.46,63.82
2026-04-14T19:25:00Z,43.49,57.27
2026-04-14T19:26:00Z,44.00,58.00
2026-04-14T19:27:00Z,45.00,57.22
2026-04-14T19:28:00Z,44.34,57.14
2026-04-14T19:29:00Z,41.00,57.14
2026-04-14T19:30:00Z,43.00,60.00
2026-04-14T19:31:00Z,44.12,57.62
2026-04-14T19:32:00Z,42.00,58.30
2026-04-14T19:33:00Z,42.00,63.29
2026-04-14T19:34:00Z,34.01,66.63
2026-04-14T19:35:00Z,40.59,57.00
2026-04-14T19:36:00Z,44.03,56.00
2026-04-14T19:37:00Z,46.00,55.34
2026-04-14T19:38:00Z,44.00,56.00
2026-04-14T19:39:00Z,44.78,56.00
2026-04-14T19:40:00Z,44.00,56.00
2026-04-14T19:41:00Z,47.93,53.81
2026-04-14T19:42:00Z,48.73,60.89
2026-04-14T19:43:00Z,37.79,63.93
2026-04-14T19:44:00Z,40.07,61.06
2026-04-14T19:45:00Z,45.24,57.63
2026-04-14T19:46:00Z,44.25,56.68
2026-04-14T19:47:00Z,47.00,57.63
2026-04-14T19:48:00Z,47.00,58.48
2026-04-14T19:49:00Z,38.03,64.10
2026-04-14T19:50:00Z,37.96,64.00
2026-04-14T19:51:00Z,31.26,68.39
2026-04-14T19:52:00Z,36.18,63.35
2026-04-14T19:53:00Z,38.12,66.00
2026-04-14T19:54:00Z,42.99,56.47
2026-04-14T19:55:00Z,43.60,55.14
2026-04-14T19:56:00Z,37.05,65.26
2026-04-14T19:57:00Z,36.00,65.00
2026-04-14T19:58:00Z,36.00,70.38
2026-04-14T19:59:00Z,32.24,72.35
2026-04-14T20:00:00Z,31.54,72.11
2026-04-14T20:01:00Z,32.66,68.46
2026-04-14T20:02:00Z,39.04,69.06
2026-04-14T20:03:00Z,42.64,57.04
2026-04-14T20:04:00Z,45.91,53.14
2026-04-14T20:05:00Z,41.16,61.85
2026-04-14T20:06:00Z,35.40,67.17
2026-04-14T20:07:00Z,34.00,68.00
2026-04-14T20:08:00Z,36.17,64.42
2026-04-14T20:09:00Z,38.60,61.98
2026-04-14T20:10:00Z,36.34,69.82
2026-04-14T20:11:00Z,36.53,65.39
2026-04-14T20:12:00Z,39.90,60.25
2026-04-14T20:13:00Z,41.16,65.59
2026-04-14T20:14:00Z,31.16,71.41
2026-04-14T20:15:00Z,29.41,71.84
2026-04-14T20:16:00Z,30.52,74.21
2026-04-14T20:17:00Z,35.37,68.42
2026-04-14T20:18:00Z,39.11,60.98
2026-04-14T20:19:00Z,43.10,58.00
2026-04-14T20:20:00Z,39.73,60.26
2026-04-14T20:21:00Z,34.80,67.19
2026-04-14T20:22:00Z,31.84,69.21
2026-04-14T20:23:00Z,32.90,69.27
2026-04-14T20:24:00Z,34.38,66.48
2026-04-14T20:25:00Z,24.87,79.09
2026-04-14T20:26:00Z,9.52,91.37
2026-04-14T20:27:00Z,13.54,87.79
2026-04-14T20:28:00Z,1.64,98.83
2026-04-14T20:29:00Z,1.64,99.00
2026-04-14T20:30:00Z,1.64,99.00
2026-04-14T20:31:00Z,1.64,99.00
2026-04-14T20:32:00Z,1.64,99.00
2026-04-14T20:33:00Z,1.64,99.00
