# event_ticker=KXATPMATCH-26JAN12TSIVUK
# final_score=7-6(3) 7-6(5)
# score_resolution=7-6 7-6
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-01-12
timestamp,Aleksandar Vukic,Stefanos Tsitsipas
2026-01-12T21:24:00Z,,74.00
2026-01-12T22:15:00Z,,74.00
2026-01-12T22:37:00Z,28.00,74.00
2026-01-13T00:43:00Z,27.00,74.00
2026-01-13T00:51:00Z,27.00,74.00
2026-01-13T01:09:00Z,27.00,75.00
2026-01-13T01:55:00Z,28.00,75.00
2026-01-13T02:13:00Z,27.00,75.00
2026-01-13T02:23:00Z,27.00,75.00
2026-01-13T02:38:00Z,26.00,75.00
2026-01-13T03:19:00Z,26.00,74.00
2026-01-13T03:31:00Z,26.00,74.00
2026-01-13T03:48:00Z,28.00,74.00
2026-01-13T04:01:00Z,28.00,74.00
2026-01-13T04:08:00Z,28.00,74.00
2026-01-13T04:23:00Z,28.00,74.00
2026-01-13T04:26:00Z,28.00,74.00
2026-01-13T04:32:00Z,28.00,74.00
2026-01-13T04:33:00Z,28.00,74.00
2026-01-13T04:43:00Z,28.00,74.00
2026-01-13T04:52:00Z,28.00,74.00
2026-01-13T04:53:00Z,28.00,73.95
2026-01-13T05:01:00Z,28.00,73.95
2026-01-13T05:05:00Z,28.00,74.00
2026-01-13T05:06:00Z,28.00,74.00
2026-01-13T05:18:00Z,28.00,74.00
2026-01-13T05:20:00Z,28.00,74.00
2026-01-13T05:29:00Z,26.00,74.00
2026-01-13T05:37:00Z,26.00,75.00
2026-01-13T05:46:00Z,27.00,75.00
2026-01-13T05:50:00Z,27.00,75.00
2026-01-13T05:51:00Z,27.00,75.00
2026-01-13T05:52:00Z,27.00,75.00
2026-01-13T06:06:00Z,27.00,74.00
2026-01-13T06:11:00Z,27.00,74.00
2026-01-13T06:14:00Z,27.00,74.00
2026-01-13T06:15:00Z,27.00,74.00
2026-01-13T06:18:00Z,27.00,74.00
2026-01-13T06:20:00Z,27.00,74.00
2026-01-13T06:21:00Z,27.00,74.00
2026-01-13T06:24:00Z,27.00,74.00
2026-01-13T06:29:00Z,27.00,74.00
2026-01-13T06:35:00Z,27.00,74.00
2026-01-13T06:50:00Z,27.00,74.00
2026-01-13T06:54:00Z,27.00,74.00
2026-01-13T06:55:00Z,27.00,74.00
2026-01-13T06:56:00Z,27.00,74.00
2026-01-13T06:59:00Z,27.00,74.00
2026-01-13T07:00:00Z,27.00,74.00
2026-01-13T07:02:00Z,27.00,74.00
2026-01-13T07:10:00Z,27.00,75.00
2026-01-13T07:11:00Z,27.00,73.00
2026-01-13T07:12:00Z,27.00,74.00
2026-01-13T07:13:00Z,27.00,74.00
2026-01-13T07:14:00Z,27.00,74.00
2026-01-13T07:17:00Z,27.00,74.00
2026-01-13T07:19:00Z,27.00,74.00
