# event_ticker=KXATPMATCH-25JUL30MANSHE
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Ben Shelton
# fav_player=Adrian Mannarino
# dog_player=Ben Shelton
# kalshi_date=2025-07-30
timestamp,Adrian Mannarino,Ben Shelton
2025-07-30T12:01:00Z,,83.00
2025-07-30T12:03:00Z,19.00,83.00
2025-07-30T12:05:00Z,19.00,83.00
2025-07-30T12:08:00Z,19.00,83.00
2025-07-30T12:14:00Z,19.00,83.00
2025-07-30T12:23:00Z,19.00,83.00
2025-07-30T12:35:00Z,19.00,83.00
2025-07-30T12:37:00Z,19.00,83.00
2025-07-30T12:39:00Z,19.00,83.00
2025-07-30T12:41:00Z,19.00,83.00
2025-07-30T12:42:00Z,19.00,83.00
2025-07-30T12:47:00Z,19.00,83.00
2025-07-30T12:53:00Z,19.00,83.00
2025-07-30T12:56:00Z,19.00,83.00
2025-07-30T12:57:00Z,19.00,83.00
2025-07-30T13:00:00Z,19.00,81.00
2025-07-30T13:14:00Z,19.00,81.00
2025-07-30T13:31:00Z,19.00,83.00
2025-07-30T13:38:00Z,19.00,83.00
2025-07-30T13:39:00Z,19.00,83.00
2025-07-30T13:52:00Z,19.00,83.00
2025-07-30T14:01:00Z,19.00,83.00
2025-07-30T14:10:00Z,19.00,83.00
2025-07-30T14:18:00Z,19.00,83.00
2025-07-30T14:20:00Z,19.00,83.00
2025-07-30T14:43:00Z,19.00,83.00
2025-07-30T14:47:00Z,19.00,83.00
2025-07-30T14:54:00Z,18.00,83.00
2025-07-30T15:06:00Z,18.00,81.00
2025-07-30T15:09:00Z,18.00,81.00
2025-07-30T15:17:00Z,18.00,81.00
2025-07-30T15:25:00Z,18.00,82.00
2025-07-30T15:27:00Z,18.00,82.00
2025-07-30T15:33:00Z,18.00,82.00
2025-07-30T15:48:00Z,18.00,82.00
2025-07-30T15:58:00Z,18.00,82.00
2025-07-30T16:02:00Z,18.00,82.00
2025-07-30T16:12:00Z,18.00,82.00
2025-07-30T16:14:00Z,18.00,82.00
2025-07-30T18:16:00Z,15.00,89.97
