# event_ticker=KXATPMATCH-25JUL13YMEBOY
# final_score=6-3 3-6 6-2
# match_winner=Elias Ymer
# fav_player=Elias Ymer
# dog_player=Tristan Boyer
# kalshi_date=2025-07-13
timestamp,Elias Ymer,Tristan Boyer
2025-07-15T01:49:00Z,,46.00
2025-07-15T05:15:00Z,,45.00
2025-07-15T06:07:00Z,,45.00
2025-07-15T12:01:00Z,58.00,39.00
2025-07-15T12:02:00Z,58.00,38.77
2025-07-15T12:03:00Z,58.00,40.00
2025-07-15T12:06:00Z,58.00,36.00
2025-07-15T12:07:00Z,58.00,37.00
2025-07-15T12:11:00Z,58.00,79.00
2025-07-15T12:15:00Z,78.17,79.00
2025-07-15T12:19:00Z,78.17,39.00
2025-07-15T12:20:00Z,63.00,39.00
2025-07-15T12:21:00Z,63.00,40.00
2025-07-15T12:23:00Z,63.00,36.00
2025-07-15T12:24:00Z,79.99,36.00
2025-07-15T12:26:00Z,62.04,38.00
2025-07-15T12:27:00Z,62.04,47.08
2025-07-15T12:31:00Z,59.00,40.78
2025-07-15T12:32:00Z,56.00,48.59
2025-07-15T12:33:00Z,50.00,50.60
2025-07-15T12:35:00Z,50.00,49.00
2025-07-15T12:36:00Z,50.00,35.00
2025-07-15T12:37:00Z,79.02,35.00
2025-07-15T12:38:00Z,74.20,35.00
2025-07-15T12:39:00Z,77.59,23.00
2025-07-15T12:40:00Z,77.59,16.22
2025-07-15T12:41:00Z,77.59,15.74
2025-07-15T12:42:00Z,77.59,22.28
2025-07-15T12:44:00Z,79.88,22.64
2025-07-15T12:45:00Z,79.88,14.63
2025-07-15T12:48:00Z,86.02,24.00
2025-07-15T12:49:00Z,86.02,11.00
2025-07-15T12:51:00Z,86.02,14.00
2025-07-15T12:52:00Z,88.00,13.48
2025-07-15T12:53:00Z,88.00,20.83
2025-07-15T12:55:00Z,88.00,7.82
2025-07-15T12:56:00Z,94.00,8.00
2025-07-15T12:57:00Z,94.00,8.74
2025-07-15T12:59:00Z,93.00,9.34
2025-07-15T13:00:00Z,93.00,8.00
2025-07-15T13:01:00Z,97.00,8.00
2025-07-15T13:03:00Z,97.00,4.68
2025-07-15T13:05:00Z,97.00,3.00
2025-07-15T13:06:00Z,97.00,5.00
2025-07-15T13:07:00Z,97.00,5.00
2025-07-15T13:09:00Z,98.00,5.00
2025-07-15T13:11:00Z,98.00,18.90
