# event_ticker=KXATPCHALLENGERMATCH-26FEB17FERSAK
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Rei Sakamoto
# fav_player=Frederico Ferreira Silva
# dog_player=Rei Sakamoto
# kalshi_date=2026-02-17
timestamp,Frederico Ferreira Silva,Rei Sakamoto
2026-02-16T23:03:00Z,,68.00
2026-02-17T00:03:00Z,,68.00
2026-02-17T02:09:00Z,,67.00
2026-02-17T02:20:00Z,35.00,67.00
2026-02-17T02:41:00Z,35.00,67.00
2026-02-17T02:49:00Z,35.00,67.00
2026-02-17T02:54:00Z,35.00,67.00
2026-02-17T02:56:00Z,35.00,67.00
2026-02-17T02:57:00Z,35.00,67.00
2026-02-17T03:03:00Z,35.00,67.00
2026-02-17T03:13:00Z,35.00,67.29
2026-02-17T03:16:00Z,35.00,68.00
2026-02-17T03:43:00Z,35.00,68.00
2026-02-17T03:44:00Z,36.00,68.00
2026-02-17T03:45:00Z,36.00,68.00
2026-02-17T03:47:00Z,36.00,68.00
2026-02-17T03:48:00Z,36.00,68.00
2026-02-17T03:53:00Z,36.00,67.00
2026-02-17T04:04:00Z,35.00,67.00
2026-02-17T04:22:00Z,35.00,67.00
2026-02-17T04:23:00Z,36.00,67.00
2026-02-17T04:25:00Z,36.00,67.00
2026-02-17T04:29:00Z,36.00,67.00
2026-02-17T04:35:00Z,36.00,65.00
2026-02-17T04:37:00Z,36.00,65.00
2026-02-17T04:39:00Z,36.00,65.00
2026-02-17T04:40:00Z,36.00,65.00
2026-02-17T04:43:00Z,36.00,65.00
2026-02-17T04:48:00Z,36.00,65.00
2026-02-17T04:51:00Z,36.00,65.00
2026-02-17T04:52:00Z,36.00,65.00
2026-02-17T05:11:00Z,36.00,65.00
2026-02-17T05:24:00Z,36.00,65.00
2026-02-17T05:25:00Z,36.00,65.00
2026-02-17T05:26:00Z,36.00,65.00
2026-02-17T05:29:00Z,36.00,65.00
2026-02-17T05:39:00Z,36.00,65.00
2026-02-17T05:42:00Z,36.00,65.00
2026-02-17T05:44:00Z,34.43,65.00
2026-02-17T05:49:00Z,34.43,65.00
2026-02-17T05:51:00Z,36.00,65.00
2026-02-17T05:59:00Z,36.00,65.00
2026-02-17T06:08:00Z,35.00,65.00
