# event_ticker=KXATPCHALLENGERMATCH-26MAR13JIAKOL
# final_score=7-6(8) 7-6(1)
# score_resolution=7-6 7-6
# match_winner=Zdenek Kolar
# fav_player=Zdenek Kolar
# dog_player=Filip Cristian Jianu
# kalshi_date=2026-03-13
timestamp,Zdenek Kolar,Filip Cristian Jianu
2026-03-13T01:41:00Z,62.00,
2026-03-13T02:31:00Z,61.00,
2026-03-13T02:37:00Z,61.00,
2026-03-13T02:53:00Z,61.00,
2026-03-13T02:54:00Z,61.00,41.00
2026-03-13T03:24:00Z,61.00,41.00
2026-03-13T03:40:00Z,61.00,41.00
2026-03-13T03:58:00Z,61.00,40.00
2026-03-13T04:04:00Z,62.75,40.00
2026-03-13T04:05:00Z,63.00,40.00
2026-03-13T04:10:00Z,63.00,40.00
2026-03-13T04:18:00Z,63.00,39.00
2026-03-13T04:20:00Z,63.00,41.00
2026-03-13T04:21:00Z,63.00,41.00
2026-03-13T04:22:00Z,63.00,41.84
2026-03-13T04:25:00Z,60.00,41.84
2026-03-13T04:27:00Z,60.00,41.84
2026-03-13T04:34:00Z,58.00,41.84
2026-03-13T04:43:00Z,58.00,42.00
2026-03-13T04:48:00Z,58.00,42.00
2026-03-13T04:52:00Z,58.00,42.00
2026-03-13T04:57:00Z,59.74,42.00
2026-03-13T05:01:00Z,60.00,42.00
2026-03-13T05:03:00Z,60.00,42.00
2026-03-13T05:05:00Z,61.00,42.00
2026-03-13T05:09:00Z,61.00,42.00
2026-03-13T05:14:00Z,61.00,42.00
2026-03-13T05:16:00Z,61.00,41.00
2026-03-13T05:18:00Z,61.00,41.00
2026-03-13T05:22:00Z,61.00,41.00
2026-03-13T05:25:00Z,61.00,41.00
2026-03-13T05:30:00Z,61.00,41.00
2026-03-13T05:40:00Z,61.00,41.00
2026-03-13T05:42:00Z,61.96,41.00
2026-03-13T05:44:00Z,62.00,41.00
2026-03-13T05:46:00Z,62.00,41.00
2026-03-13T05:59:00Z,62.00,39.98
2026-03-13T06:01:00Z,62.00,40.84
