# event_ticker=KXATPCHALLENGERMATCH-26APR21ANTKRU
# final_score=6-7(3) 7-6(4) 6-4
# score_resolution=7-6 6-7 4-6
# match_winner=Mitchell Krueger
# fav_player=Michael Antonius
# dog_player=Mitchell Krueger
# kalshi_date=2026-04-21
timestamp,Michael Antonius,Mitchell Krueger
2026-04-21T04:48:00Z,54.00,68.00
2026-04-21T06:21:00Z,30.23,68.00
2026-04-21T06:22:00Z,24.00,68.00
2026-04-21T06:54:00Z,31.09,68.00
2026-04-21T10:26:00Z,23.00,68.00
2026-04-21T10:51:00Z,23.00,68.00
2026-04-21T10:55:00Z,23.00,80.00
2026-04-21T11:27:00Z,23.00,80.00
2026-04-21T11:32:00Z,23.00,80.00
2026-04-21T12:18:00Z,22.00,80.00
2026-04-21T12:28:00Z,22.00,81.36
2026-04-21T12:32:00Z,22.00,81.36
2026-04-21T13:24:00Z,22.00,80.80
2026-04-21T13:46:00Z,22.00,80.80
2026-04-21T14:08:00Z,21.00,80.80
2026-04-21T14:25:00Z,21.00,80.80
2026-04-21T14:44:00Z,21.00,80.00
2026-04-21T14:49:00Z,23.00,80.00
2026-04-21T14:52:00Z,23.00,80.00
2026-04-21T15:03:00Z,23.00,80.00
2026-04-21T15:04:00Z,22.93,80.00
2026-04-21T15:05:00Z,23.00,80.00
2026-04-21T15:10:00Z,22.00,80.00
2026-04-21T15:11:00Z,22.95,80.00
2026-04-21T15:18:00Z,20.00,80.00
2026-04-21T15:27:00Z,20.00,80.00
2026-04-21T15:29:00Z,22.00,80.00
2026-04-21T15:32:00Z,22.00,79.00
2026-04-21T15:33:00Z,22.00,79.00
2026-04-21T15:39:00Z,22.00,79.00
2026-04-21T15:59:00Z,22.94,79.00
2026-04-21T16:01:00Z,22.94,79.31
2026-04-21T16:11:00Z,22.94,79.00
2026-04-21T16:17:00Z,24.00,79.00
2026-04-21T16:18:00Z,23.00,79.00
2026-04-21T16:21:00Z,23.00,79.90
2026-04-21T16:22:00Z,23.75,79.90
2026-04-21T16:27:00Z,23.75,79.87
2026-04-21T16:31:00Z,23.00,79.87
2026-04-21T16:33:00Z,22.00,79.87
2026-04-21T16:34:00Z,25.88,79.87
2026-04-21T16:35:00Z,25.16,75.00
2026-04-21T16:36:00Z,25.16,76.00
2026-04-21T16:37:00Z,22.03,78.00
2026-04-21T16:39:00Z,23.00,77.00
2026-04-21T16:40:00Z,22.55,78.00
2026-04-21T16:41:00Z,23.00,78.15
2026-04-21T16:42:00Z,22.00,78.15
2026-04-21T16:43:00Z,24.11,75.00
2026-04-21T16:44:00Z,25.27,74.00
2026-04-21T16:45:00Z,28.37,70.31
2026-04-21T16:46:00Z,31.02,68.83
2026-04-21T16:47:00Z,27.12,68.83
2026-04-21T16:48:00Z,26.00,73.58
2026-04-21T16:49:00Z,24.57,75.26
2026-04-21T16:50:00Z,19.65,81.00
2026-04-21T16:51:00Z,15.98,82.97
2026-04-21T16:52:00Z,19.94,79.02
2026-04-21T16:53:00Z,22.72,79.85
2026-04-21T16:54:00Z,22.74,78.47
2026-04-21T16:55:00Z,23.94,77.00
2026-04-21T16:56:00Z,23.00,78.85
2026-04-21T16:57:00Z,25.97,74.89
2026-04-21T16:58:00Z,25.97,74.00
2026-04-21T16:59:00Z,26.79,75.00
2026-04-21T17:00:00Z,28.62,72.34
2026-04-21T17:01:00Z,30.32,68.42
2026-04-21T17:02:00Z,41.69,57.73
2026-04-21T17:03:00Z,44.35,55.92
2026-04-21T17:04:00Z,49.60,53.11
2026-04-21T17:05:00Z,50.17,48.88
2026-04-21T17:06:00Z,50.33,50.68
2026-04-21T17:07:00Z,52.23,49.00
2026-04-21T17:08:00Z,53.00,48.45
2026-04-21T17:09:00Z,48.53,50.60
2026-04-21T17:10:00Z,47.00,53.28
2026-04-21T17:11:00Z,42.42,55.72
2026-04-21T17:12:00Z,34.32,63.81
2026-04-21T17:13:00Z,31.42,68.72
2026-04-21T17:14:00Z,33.73,66.90
2026-04-21T17:15:00Z,33.01,66.88
2026-04-21T17:16:00Z,30.00,71.61
2026-04-21T17:17:00Z,28.37,70.79
2026-04-21T17:18:00Z,24.02,75.79
2026-04-21T17:19:00Z,25.87,74.34
2026-04-21T17:20:00Z,26.44,74.08
2026-04-21T17:21:00Z,31.43,70.30
2026-04-21T17:22:00Z,32.43,69.00
2026-04-21T17:23:00Z,36.80,66.59
2026-04-21T17:24:00Z,31.60,69.55
2026-04-21T17:25:00Z,27.23,72.74
2026-04-21T17:26:00Z,30.54,72.41
2026-04-21T17:27:00Z,30.68,71.80
2026-04-21T17:28:00Z,36.27,63.65
2026-04-21T17:29:00Z,35.01,65.83
2026-04-21T17:30:00Z,43.20,58.41
2026-04-21T17:31:00Z,41.90,60.00
2026-04-21T17:32:00Z,47.72,52.20
2026-04-21T17:33:00Z,49.99,50.70
2026-04-21T17:34:00Z,51.00,50.36
2026-04-21T17:35:00Z,51.42,47.98
2026-04-21T17:36:00Z,51.03,48.05
2026-04-21T17:37:00Z,53.00,48.71
2026-04-21T17:38:00Z,51.03,49.00
2026-04-21T17:39:00Z,51.25,49.95
2026-04-21T17:40:00Z,50.05,50.00
2026-04-21T17:41:00Z,52.01,48.36
2026-04-21T17:42:00Z,50.73,50.32
2026-04-21T17:43:00Z,48.93,52.42
2026-04-21T17:44:00Z,47.22,53.34
2026-04-21T17:45:00Z,46.47,55.34
2026-04-21T17:46:00Z,43.26,57.21
2026-04-21T17:47:00Z,49.18,50.63
2026-04-21T17:48:00Z,51.92,50.27
2026-04-21T17:49:00Z,48.00,54.55
2026-04-21T17:50:00Z,47.94,52.30
2026-04-21T17:51:00Z,52.58,49.83
2026-04-21T17:52:00Z,48.98,52.66
2026-04-21T17:53:00Z,46.19,53.96
2026-04-21T17:54:00Z,45.19,56.89
2026-04-21T17:55:00Z,39.60,61.21
2026-04-21T17:56:00Z,39.46,59.63
2026-04-21T17:57:00Z,36.14,63.41
2026-04-21T17:58:00Z,32.89,67.61
2026-04-21T17:59:00Z,31.97,69.37
2026-04-21T18:00:00Z,32.37,68.91
2026-04-21T18:01:00Z,31.94,68.89
2026-04-21T18:02:00Z,30.48,69.58
2026-04-21T18:03:00Z,29.89,70.00
2026-04-21T18:04:00Z,30.93,70.79
2026-04-21T18:05:00Z,27.27,73.25
2026-04-21T18:06:00Z,28.79,71.36
2026-04-21T18:07:00Z,30.90,71.55
2026-04-21T18:08:00Z,30.04,72.09
2026-04-21T18:09:00Z,26.82,73.07
2026-04-21T18:10:00Z,28.24,69.55
2026-04-21T18:11:00Z,32.19,68.30
2026-04-21T18:12:00Z,37.81,63.35
2026-04-21T18:13:00Z,44.92,55.54
2026-04-21T18:14:00Z,43.90,56.79
2026-04-21T18:15:00Z,42.85,60.68
2026-04-21T18:16:00Z,48.94,52.86
2026-04-21T18:17:00Z,49.99,53.18
2026-04-21T18:18:00Z,49.64,53.63
2026-04-21T18:19:00Z,45.40,57.83
2026-04-21T18:20:00Z,46.46,57.62
2026-04-21T18:21:00Z,42.68,59.14
2026-04-21T18:22:00Z,39.29,61.45
2026-04-21T18:23:00Z,48.65,51.62
2026-04-21T18:24:00Z,52.44,46.86
2026-04-21T18:25:00Z,57.21,43.19
2026-04-21T18:26:00Z,65.00,36.77
2026-04-21T18:27:00Z,63.47,32.79
2026-04-21T18:28:00Z,85.03,14.31
2026-04-21T18:29:00Z,86.76,14.29
2026-04-21T18:30:00Z,93.45,6.08
2026-04-21T18:31:00Z,89.90,11.43
2026-04-21T18:32:00Z,76.69,28.17
2026-04-21T18:33:00Z,82.31,21.87
2026-04-21T18:34:00Z,91.18,14.81
2026-04-21T18:35:00Z,81.64,18.85
2026-04-21T18:36:00Z,58.82,40.65
2026-04-21T18:37:00Z,53.68,46.77
2026-04-21T18:38:00Z,59.86,42.02
2026-04-21T18:39:00Z,61.98,42.76
2026-04-21T18:40:00Z,53.36,50.73
2026-04-21T18:41:00Z,47.68,52.60
2026-04-21T18:42:00Z,49.66,52.47
2026-04-21T18:43:00Z,59.85,41.98
2026-04-21T18:44:00Z,55.57,42.38
2026-04-21T18:45:00Z,59.30,38.86
2026-04-21T18:46:00Z,64.16,36.61
2026-04-21T18:47:00Z,72.40,31.17
2026-04-21T18:48:00Z,61.56,39.35
2026-04-21T18:49:00Z,52.92,49.43
2026-04-21T18:50:00Z,44.33,57.75
2026-04-21T18:51:00Z,33.47,66.85
2026-04-21T18:52:00Z,29.86,69.80
2026-04-21T18:53:00Z,29.95,70.59
2026-04-21T18:54:00Z,29.99,69.90
2026-04-21T18:55:00Z,30.52,69.97
2026-04-21T18:56:00Z,31.01,68.94
2026-04-21T18:57:00Z,30.98,70.01
2026-04-21T18:58:00Z,28.39,69.92
2026-04-21T18:59:00Z,21.29,77.55
2026-04-21T19:00:00Z,24.95,75.84
2026-04-21T19:01:00Z,32.25,72.06
2026-04-21T19:02:00Z,36.49,64.21
2026-04-21T19:03:00Z,37.10,65.10
2026-04-21T19:04:00Z,35.50,66.45
2026-04-21T19:05:00Z,28.70,71.02
2026-04-21T19:06:00Z,20.99,81.67
2026-04-21T19:07:00Z,12.26,87.75
2026-04-21T19:08:00Z,12.32,87.60
2026-04-21T19:09:00Z,12.67,87.48
2026-04-21T19:10:00Z,12.74,87.62
2026-04-21T19:11:00Z,9.00,91.68
2026-04-21T19:12:00Z,7.21,92.70
2026-04-21T19:13:00Z,6.80,94.21
2026-04-21T19:14:00Z,11.11,90.29
2026-04-21T19:15:00Z,13.19,86.96
2026-04-21T19:16:00Z,13.61,86.75
2026-04-21T19:17:00Z,11.91,88.58
2026-04-21T19:18:00Z,13.58,87.38
2026-04-21T19:19:00Z,18.10,80.49
2026-04-21T19:20:00Z,18.08,84.31
2026-04-21T19:21:00Z,23.66,76.15
2026-04-21T19:22:00Z,13.09,87.49
2026-04-21T19:23:00Z,10.17,89.98
2026-04-21T19:24:00Z,12.29,87.61
2026-04-21T19:25:00Z,13.94,86.87
2026-04-21T19:26:00Z,14.26,85.42
2026-04-21T19:27:00Z,14.86,86.15
2026-04-21T19:28:00Z,9.63,91.26
2026-04-21T19:29:00Z,11.61,89.80
2026-04-21T19:30:00Z,7.25,91.08
2026-04-21T19:31:00Z,7.15,92.68
2026-04-21T19:32:00Z,9.17,91.15
2026-04-21T19:33:00Z,10.66,89.88
2026-04-21T19:34:00Z,10.84,89.93
2026-04-21T19:35:00Z,17.27,85.04
2026-04-21T19:36:00Z,13.08,89.63
2026-04-21T19:37:00Z,2.87,96.63
2026-04-21T19:38:00Z,1.41,99.00
2026-04-21T19:39:00Z,1.41,99.00
2026-04-21T19:40:00Z,1.41,99.00
2026-04-21T19:41:00Z,1.41,99.00
2026-04-21T19:42:00Z,1.00,99.00
