# event_ticker=KXATPCHALLENGERMATCH-26MAY19POUPOL
# final_score=7-6(2) 6-1
# score_resolution=7-6 6-1
# match_winner=Mili Poljicak
# fav_player=Mili Poljicak
# dog_player=Lucas Poullain
# kalshi_date=2026-05-19
timestamp,Lucas Poullain,Mili Poljicak
2026-05-19T07:54:00Z,,77.00
2026-05-19T08:58:00Z,26.00,77.00
2026-05-19T10:44:00Z,23.00,77.00
2026-05-19T13:34:00Z,26.00,73.00
2026-05-19T13:42:00Z,24.00,73.00
2026-05-19T13:43:00Z,22.00,73.00
2026-05-19T13:44:00Z,22.00,80.48
2026-05-19T13:45:00Z,22.66,78.00
2026-05-19T13:46:00Z,23.00,78.00
2026-05-19T13:48:00Z,28.63,74.00
2026-05-19T13:49:00Z,28.63,73.00
2026-05-19T13:50:00Z,24.00,74.03
2026-05-19T13:51:00Z,24.00,78.00
2026-05-19T13:52:00Z,24.00,78.75
2026-05-19T13:53:00Z,22.05,76.37
2026-05-19T13:54:00Z,26.23,76.37
2026-05-19T13:56:00Z,26.23,74.00
2026-05-19T13:57:00Z,27.00,73.00
2026-05-19T13:58:00Z,27.00,74.08
2026-05-19T13:59:00Z,25.00,75.00
2026-05-19T14:00:00Z,25.00,76.00
2026-05-19T14:02:00Z,25.01,75.80
2026-05-19T14:03:00Z,26.00,77.00
2026-05-19T14:04:00Z,27.58,76.56
2026-05-19T14:05:00Z,20.50,76.56
2026-05-19T14:06:00Z,21.00,79.79
2026-05-19T14:07:00Z,15.60,85.07
2026-05-19T14:08:00Z,15.30,83.00
2026-05-19T14:09:00Z,19.49,79.90
2026-05-19T14:10:00Z,23.20,78.00
2026-05-19T14:11:00Z,23.20,75.00
2026-05-19T14:12:00Z,26.00,75.09
2026-05-19T14:13:00Z,28.31,71.00
2026-05-19T14:14:00Z,32.94,71.00
2026-05-19T14:15:00Z,32.00,67.00
2026-05-19T14:16:00Z,31.00,69.95
2026-05-19T14:17:00Z,27.33,73.00
2026-05-19T14:18:00Z,29.57,73.00
2026-05-19T14:19:00Z,29.57,72.00
2026-05-19T14:20:00Z,28.00,71.00
2026-05-19T14:21:00Z,27.66,74.49
2026-05-19T14:22:00Z,30.40,74.00
2026-05-19T14:23:00Z,31.40,70.00
2026-05-19T14:24:00Z,34.00,66.91
2026-05-19T14:25:00Z,30.00,71.62
2026-05-19T14:26:00Z,28.00,72.00
2026-05-19T14:27:00Z,27.00,73.00
2026-05-19T14:28:00Z,25.24,75.40
2026-05-19T14:29:00Z,29.96,74.00
2026-05-19T14:30:00Z,31.66,70.22
2026-05-19T14:31:00Z,32.94,69.00
2026-05-19T14:32:00Z,32.00,69.39
2026-05-19T14:33:00Z,29.00,74.58
2026-05-19T14:34:00Z,18.46,79.54
2026-05-19T14:35:00Z,19.77,79.15
2026-05-19T14:36:00Z,15.23,83.45
2026-05-19T14:37:00Z,14.31,85.55
2026-05-19T14:39:00Z,13.00,88.00
2026-05-19T14:40:00Z,13.00,87.00
2026-05-19T14:41:00Z,13.00,87.00
2026-05-19T14:42:00Z,13.00,87.29
2026-05-19T14:43:00Z,11.01,88.00
2026-05-19T14:44:00Z,12.04,89.00
2026-05-19T14:45:00Z,10.32,89.30
2026-05-19T14:46:00Z,8.82,93.49
2026-05-19T14:47:00Z,8.82,92.37
2026-05-19T14:48:00Z,8.82,93.05
2026-05-19T14:49:00Z,7.59,92.50
2026-05-19T14:50:00Z,11.02,88.68
2026-05-19T14:51:00Z,11.87,88.00
2026-05-19T14:52:00Z,8.44,91.71
2026-05-19T14:53:00Z,5.10,94.79
2026-05-19T14:54:00Z,6.00,94.98
2026-05-19T14:55:00Z,3.96,95.98
2026-05-19T14:56:00Z,4.00,96.86
2026-05-19T14:57:00Z,2.00,97.41
2026-05-19T14:58:00Z,2.00,98.00
2026-05-19T14:59:00Z,1.00,98.58
2026-05-19T15:00:00Z,1.00,98.64
2026-05-19T15:01:00Z,2.00,98.09
2026-05-19T15:02:00Z,3.13,97.84
2026-05-19T15:03:00Z,2.00,98.20
2026-05-19T15:04:00Z,1.00,98.84
2026-05-19T15:05:00Z,2.00,99.00
2026-05-19T15:06:00Z,1.00,99.00
2026-05-19T15:07:00Z,1.00,99.00
2026-05-19T15:08:00Z,1.00,99.00
2026-05-19T15:09:00Z,1.00,99.00
2026-05-19T15:10:00Z,1.00,99.00
2026-05-19T15:11:00Z,1.99,98.88
2026-05-19T15:12:00Z,1.25,98.78
2026-05-19T15:13:00Z,1.00,99.00
2026-05-19T15:14:00Z,1.00,99.00
2026-05-19T15:15:00Z,1.00,99.00
2026-05-19T15:16:00Z,1.00,99.00
2026-05-19T15:17:00Z,1.00,99.00
2026-05-19T15:18:00Z,1.00,99.00
2026-05-19T15:19:00Z,1.00,99.00
2026-05-19T15:20:00Z,1.00,99.00
