# event_ticker=KXATPCHALLENGERMATCH-26MAR24CINPIR
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Federico Cina
# fav_player=Gabriele Piraino
# dog_player=Federico Cina
# kalshi_date=2026-03-24
timestamp,Gabriele Piraino,Federico Cina
2026-03-24T00:29:00Z,,76.00
2026-03-24T03:13:00Z,,76.00
2026-03-24T03:59:00Z,,76.00
2026-03-24T05:11:00Z,,76.00
2026-03-24T05:21:00Z,,76.00
2026-03-24T05:23:00Z,,76.00
2026-03-24T05:39:00Z,24.00,76.00
2026-03-24T05:52:00Z,24.00,76.00
2026-03-24T07:01:00Z,24.00,76.97
2026-03-24T07:21:00Z,24.00,76.97
2026-03-24T08:15:00Z,23.00,76.97
2026-03-24T09:07:00Z,23.00,79.00
2026-03-24T09:12:00Z,21.00,79.00
2026-03-24T09:35:00Z,23.00,79.00
2026-03-24T09:53:00Z,23.00,79.00
2026-03-24T09:57:00Z,24.00,79.00
2026-03-24T10:18:00Z,23.00,79.00
2026-03-24T10:22:00Z,23.00,79.00
2026-03-24T10:34:00Z,23.00,79.00
2026-03-24T10:36:00Z,23.00,81.00
2026-03-24T10:42:00Z,23.00,81.00
2026-03-24T10:43:00Z,23.00,81.00
2026-03-24T10:54:00Z,23.00,81.00
2026-03-24T10:55:00Z,23.00,81.00
2026-03-24T11:06:00Z,23.00,81.00
2026-03-24T11:12:00Z,22.00,81.00
2026-03-24T11:15:00Z,22.00,81.00
2026-03-24T11:19:00Z,22.00,81.00
2026-03-24T11:22:00Z,22.00,81.00
2026-03-24T11:23:00Z,21.85,80.00
2026-03-24T11:24:00Z,23.00,80.00
2026-03-24T11:25:00Z,27.00,76.09
2026-03-24T11:26:00Z,26.99,76.09
2026-03-24T11:27:00Z,28.00,76.09
2026-03-24T11:28:00Z,28.00,74.00
2026-03-24T11:33:00Z,28.65,74.00
2026-03-24T11:34:00Z,29.00,73.00
2026-03-24T11:35:00Z,26.21,73.00
2026-03-24T11:36:00Z,31.00,72.00
2026-03-24T11:37:00Z,32.09,67.27
2026-03-24T11:38:00Z,29.92,73.00
2026-03-24T11:39:00Z,26.08,73.00
2026-03-24T11:40:00Z,24.00,76.00
2026-03-24T11:43:00Z,29.58,71.00
2026-03-24T11:44:00Z,31.64,71.00
2026-03-24T11:45:00Z,39.65,62.00
2026-03-24T11:46:00Z,44.18,59.00
2026-03-24T11:47:00Z,36.65,61.57
2026-03-24T11:48:00Z,35.00,68.00
2026-03-24T11:49:00Z,39.35,69.65
2026-03-24T11:50:00Z,40.92,61.60
2026-03-24T11:51:00Z,41.00,62.33
2026-03-24T11:52:00Z,34.44,67.52
2026-03-24T11:53:00Z,38.29,65.08
2026-03-24T11:54:00Z,30.29,70.30
2026-03-24T11:55:00Z,19.40,79.40
2026-03-24T11:56:00Z,22.80,72.43
2026-03-24T11:57:00Z,22.80,75.72
2026-03-24T11:58:00Z,23.00,74.00
2026-03-24T11:59:00Z,17.16,80.00
2026-03-24T12:00:00Z,20.49,75.00
2026-03-24T12:01:00Z,25.15,75.00
2026-03-24T12:02:00Z,25.15,81.27
2026-03-24T12:03:00Z,25.00,81.27
2026-03-24T12:04:00Z,18.98,81.27
2026-03-24T12:05:00Z,27.87,73.08
2026-03-24T12:06:00Z,33.20,74.42
2026-03-24T12:07:00Z,39.96,67.00
2026-03-24T12:08:00Z,34.83,76.16
2026-03-24T12:09:00Z,41.97,73.13
2026-03-24T12:10:00Z,22.09,78.06
2026-03-24T12:11:00Z,22.49,78.24
2026-03-24T12:12:00Z,27.50,70.78
2026-03-24T12:13:00Z,26.03,75.38
2026-03-24T12:14:00Z,28.31,78.02
2026-03-24T12:15:00Z,22.30,74.51
2026-03-24T12:16:00Z,18.18,83.17
2026-03-24T12:17:00Z,18.98,83.17
2026-03-24T12:18:00Z,18.50,80.05
2026-03-24T12:19:00Z,16.44,80.05
2026-03-24T12:20:00Z,16.00,83.00
2026-03-24T12:21:00Z,16.12,83.00
2026-03-24T12:22:00Z,17.00,83.00
2026-03-24T12:23:00Z,16.00,86.00
2026-03-24T12:24:00Z,15.00,86.00
2026-03-24T12:25:00Z,18.67,86.00
2026-03-24T12:26:00Z,20.00,83.53
2026-03-24T12:27:00Z,20.95,83.53
2026-03-24T12:28:00Z,21.91,81.30
2026-03-24T12:29:00Z,19.80,84.36
2026-03-24T12:30:00Z,18.71,83.03
2026-03-24T12:31:00Z,20.88,81.82
2026-03-24T12:32:00Z,18.51,82.94
2026-03-24T12:33:00Z,14.66,86.00
2026-03-24T12:34:00Z,9.79,88.36
2026-03-24T12:35:00Z,9.51,92.31
2026-03-24T12:36:00Z,7.11,92.00
2026-03-24T12:37:00Z,6.49,93.34
2026-03-24T12:38:00Z,3.85,95.52
2026-03-24T12:39:00Z,3.61,96.00
2026-03-24T12:40:00Z,4.81,95.39
2026-03-24T12:41:00Z,5.04,95.00
2026-03-24T12:42:00Z,4.78,95.00
2026-03-24T12:43:00Z,3.55,97.99
2026-03-24T12:44:00Z,4.00,98.00
2026-03-24T12:45:00Z,4.50,94.00
2026-03-24T12:46:00Z,5.00,96.06
2026-03-24T12:47:00Z,3.83,95.00
2026-03-24T12:48:00Z,1.08,99.00
2026-03-24T12:49:00Z,2.00,99.00
2026-03-24T12:51:00Z,2.00,99.00
2026-03-24T12:52:00Z,2.00,99.00
2026-03-24T12:53:00Z,2.00,99.00
2026-03-24T12:54:00Z,1.00,99.00
2026-03-24T12:55:00Z,1.00,99.00
