# event_ticker=KXATPMATCH-26APR02ALTPRI
# final_score=3-6 7-6(1) 7-6(7)
# score_resolution=3-6 7-6 7-6
# match_winner=Daniel Altmaier
# fav_player=Daniel Altmaier
# dog_player=Dino Prizmic
# kalshi_date=2026-04-02
timestamp,Daniel Altmaier,Dino Prizmic
2026-04-02T22:22:00Z,43.00,
2026-04-02T22:23:00Z,43.00,57.00
2026-04-02T22:27:00Z,43.00,57.00
2026-04-02T22:38:00Z,45.00,57.00
2026-04-02T22:42:00Z,45.00,55.00
2026-04-02T22:54:00Z,43.00,55.00
2026-04-02T22:56:00Z,43.00,57.00
2026-04-02T23:05:00Z,43.00,57.00
2026-04-02T23:11:00Z,43.00,58.00
2026-04-02T23:14:00Z,42.00,58.00
2026-04-02T23:15:00Z,42.00,58.00
2026-04-02T23:23:00Z,42.00,58.00
2026-04-02T23:30:00Z,42.00,58.00
2026-04-02T23:41:00Z,42.00,58.00
2026-04-02T23:51:00Z,42.00,57.00
2026-04-02T23:58:00Z,42.00,57.00
2026-04-03T00:02:00Z,42.00,57.00
2026-04-03T00:03:00Z,42.00,57.00
2026-04-03T00:05:00Z,45.00,57.00
2026-04-03T00:06:00Z,45.00,57.00
2026-04-03T00:08:00Z,42.00,57.00
2026-04-03T00:14:00Z,42.00,57.00
2026-04-03T00:21:00Z,42.00,57.00
2026-04-03T00:22:00Z,42.00,55.28
2026-04-03T00:31:00Z,42.00,55.28
2026-04-03T00:35:00Z,42.00,55.28
2026-04-03T00:36:00Z,42.00,55.28
2026-04-03T00:40:00Z,42.00,55.00
2026-04-03T00:47:00Z,42.00,57.00
2026-04-03T00:57:00Z,42.00,57.00
2026-04-03T00:58:00Z,42.00,55.00
2026-04-03T01:00:00Z,45.00,55.00
2026-04-03T01:04:00Z,42.00,55.00
2026-04-03T01:05:00Z,42.00,55.00
2026-04-03T01:18:00Z,42.00,55.00
2026-04-03T01:23:00Z,45.00,55.00
2026-04-03T01:29:00Z,42.00,55.00
2026-04-03T01:36:00Z,42.00,55.00
2026-04-03T01:46:00Z,42.00,55.00
2026-04-03T01:47:00Z,42.00,55.00
2026-04-03T02:02:00Z,42.00,57.61
2026-04-03T02:08:00Z,42.00,55.00
2026-04-03T02:21:00Z,44.00,55.00
2026-04-03T02:28:00Z,44.00,58.00
2026-04-03T02:34:00Z,42.00,58.00
