# event_ticker=KXATPCHALLENGERMATCH-26APR30KRUFAR
# final_score=2-6 6-3 6-4
# score_resolution=6-2 3-6 4-6
# match_winner=Jaime Faria
# fav_player=Martin Krumich
# dog_player=Jaime Faria
# kalshi_date=2026-04-30
timestamp,Martin Krumich,Jaime Faria
2026-04-29T20:16:00Z,,58.00
2026-04-29T20:42:00Z,39.00,58.00
2026-04-29T20:51:00Z,39.00,64.00
2026-04-29T21:44:00Z,38.00,64.00
2026-04-29T23:46:00Z,36.00,64.00
2026-04-29T23:48:00Z,36.00,64.00
2026-04-30T01:26:00Z,36.00,64.00
2026-04-30T02:36:00Z,36.00,64.00
2026-04-30T02:49:00Z,36.00,64.00
2026-04-30T02:50:00Z,36.00,64.00
2026-04-30T03:05:00Z,36.00,64.00
2026-04-30T03:20:00Z,36.00,64.00
2026-04-30T03:35:00Z,36.00,64.00
2026-04-30T04:19:00Z,36.00,64.00
2026-04-30T04:21:00Z,36.00,64.00
2026-04-30T04:28:00Z,36.00,64.00
2026-04-30T04:58:00Z,36.00,64.00
2026-04-30T05:08:00Z,36.00,64.00
2026-04-30T05:10:00Z,36.00,64.00
2026-04-30T05:12:00Z,36.00,64.00
2026-04-30T05:27:00Z,36.00,64.00
2026-04-30T05:28:00Z,36.00,64.00
2026-04-30T05:42:00Z,36.00,64.00
2026-04-30T06:09:00Z,36.00,64.00
2026-04-30T06:21:00Z,36.00,64.00
2026-04-30T06:36:00Z,36.00,64.00
2026-04-30T06:41:00Z,36.00,64.00
2026-04-30T06:48:00Z,36.00,64.00
2026-04-30T06:50:00Z,36.00,64.00
2026-04-30T06:53:00Z,36.00,64.00
2026-04-30T06:55:00Z,36.00,64.00
2026-04-30T09:01:00Z,51.40,37.49
2026-04-30T09:02:00Z,71.95,30.13
2026-04-30T09:03:00Z,71.31,30.45
2026-04-30T09:04:00Z,73.57,28.55
2026-04-30T09:05:00Z,76.52,30.94
2026-04-30T09:06:00Z,73.01,27.65
2026-04-30T09:07:00Z,67.00,34.49
2026-04-30T09:08:00Z,67.02,35.11
2026-04-30T09:09:00Z,68.36,35.23
2026-04-30T09:10:00Z,65.96,33.23
2026-04-30T09:11:00Z,57.10,42.87
2026-04-30T09:12:00Z,52.35,50.29
2026-04-30T09:13:00Z,46.23,54.13
2026-04-30T09:14:00Z,43.82,56.47
2026-04-30T09:15:00Z,45.00,55.19
2026-04-30T09:16:00Z,42.87,58.77
2026-04-30T09:17:00Z,41.01,58.19
2026-04-30T09:18:00Z,44.00,57.16
2026-04-30T09:19:00Z,44.04,56.17
2026-04-30T09:20:00Z,44.04,55.42
2026-04-30T09:21:00Z,47.00,54.60
2026-04-30T09:22:00Z,43.57,55.53
2026-04-30T09:23:00Z,43.00,57.00
2026-04-30T09:24:00Z,43.41,57.67
2026-04-30T09:25:00Z,43.07,57.68
2026-04-30T09:26:00Z,43.07,55.47
2026-04-30T09:27:00Z,44.64,57.46
2026-04-30T09:28:00Z,44.88,55.53
2026-04-30T09:29:00Z,42.00,57.89
