# event_ticker=KXATPCHALLENGERMATCH-26APR21LAJHSU
# final_score=7-6(10) 6-7(3) 6-3
# score_resolution=7-6 6-7 6-3
# match_winner=Yu Hsiou Hsu
# fav_player=Yu Hsiou Hsu
# dog_player=Mark Lajal
# kalshi_date=2026-04-21
timestamp,Mark Lajal,Yu Hsiou Hsu
2026-04-22T14:21:00Z,,44.00
2026-04-22T14:22:00Z,56.00,44.00
2026-04-22T14:25:00Z,52.00,44.00
2026-04-22T14:29:00Z,56.00,44.00
2026-04-22T14:31:00Z,56.00,47.00
2026-04-22T14:35:00Z,51.39,44.00
2026-04-22T14:40:00Z,54.39,44.00
2026-04-22T14:44:00Z,55.00,44.00
2026-04-22T14:47:00Z,55.00,44.00
2026-04-22T14:49:00Z,55.00,44.91
2026-04-22T14:52:00Z,52.00,46.00
2026-04-22T14:53:00Z,51.00,46.00
2026-04-22T15:00:00Z,51.00,46.00
2026-04-22T15:09:00Z,50.07,47.00
2026-04-22T15:15:00Z,50.00,47.00
2026-04-22T15:38:00Z,50.00,48.00
2026-04-22T15:39:00Z,50.00,48.00
2026-04-22T15:41:00Z,50.00,48.00
2026-04-22T15:46:00Z,51.00,48.00
2026-04-22T15:49:00Z,51.00,48.00
2026-04-22T15:50:00Z,50.90,48.00
2026-04-22T16:24:00Z,50.90,44.50
2026-04-22T16:25:00Z,50.00,44.50
2026-04-22T16:31:00Z,50.54,44.50
2026-04-22T16:37:00Z,54.00,44.50
2026-04-22T16:38:00Z,54.00,45.00
2026-04-22T16:39:00Z,54.00,44.00
2026-04-22T16:40:00Z,54.98,42.30
2026-04-22T16:50:00Z,52.00,46.00
2026-04-22T16:55:00Z,51.73,46.00
2026-04-22T16:58:00Z,50.62,46.00
2026-04-22T17:09:00Z,54.00,46.00
2026-04-22T17:13:00Z,54.00,46.00
2026-04-22T17:21:00Z,52.00,46.00
2026-04-22T17:36:00Z,51.00,47.00
2026-04-22T17:57:00Z,54.00,47.00
2026-04-22T18:04:00Z,54.00,47.00
2026-04-22T18:14:00Z,51.00,47.00
2026-04-22T18:21:00Z,51.33,47.00
2026-04-22T18:24:00Z,54.00,47.00
2026-04-22T18:27:00Z,51.23,47.00
2026-04-22T18:41:00Z,54.84,47.00
2026-04-22T18:42:00Z,54.36,47.00
2026-04-22T18:46:00Z,52.00,47.00
2026-04-22T18:57:00Z,55.00,47.00
2026-04-22T19:19:00Z,55.00,47.00
2026-04-22T19:28:00Z,51.00,47.00
2026-04-22T19:41:00Z,55.00,47.00
2026-04-22T19:42:00Z,55.00,47.00
2026-04-22T19:48:00Z,55.00,47.00
2026-04-22T19:56:00Z,55.00,47.00
2026-04-22T19:58:00Z,52.00,46.00
2026-04-22T20:08:00Z,54.78,46.00
2026-04-22T20:13:00Z,54.00,46.00
2026-04-22T20:14:00Z,54.00,47.00
2026-04-22T20:24:00Z,55.00,47.00
2026-04-22T20:26:00Z,55.00,47.00
2026-04-22T20:28:00Z,55.28,47.00
2026-04-22T20:29:00Z,57.71,47.00
2026-04-22T20:32:00Z,53.00,47.00
2026-04-22T20:33:00Z,57.00,47.00
2026-04-22T20:37:00Z,57.85,47.00
2026-04-22T20:41:00Z,53.00,47.00
2026-04-22T20:42:00Z,53.00,47.00
