# event_ticker=KXATPMATCH-26MAY17DARBUR
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Luciano Darderi
# fav_player=Roman Andres Burruchaga
# dog_player=Luciano Darderi
# kalshi_date=2026-05-17
timestamp,Luciano Darderi,Roman Andres Burruchaga
2026-05-18T23:28:00Z,66.00,
2026-05-18T23:38:00Z,66.00,36.00
2026-05-18T23:41:00Z,66.00,36.00
2026-05-19T00:23:00Z,66.00,36.00
2026-05-19T01:15:00Z,66.00,36.00
2026-05-19T01:26:00Z,66.00,36.00
2026-05-19T02:05:00Z,66.00,36.00
2026-05-19T02:14:00Z,66.00,36.00
2026-05-19T02:38:00Z,66.00,36.00
2026-05-19T02:39:00Z,65.00,36.00
2026-05-19T02:48:00Z,66.00,36.00
2026-05-19T02:54:00Z,65.50,36.00
2026-05-19T03:07:00Z,65.50,36.00
2026-05-19T03:08:00Z,66.00,36.00
2026-05-19T03:15:00Z,66.00,36.00
2026-05-19T03:17:00Z,66.00,36.00
2026-05-19T03:24:00Z,66.00,36.00
2026-05-19T03:38:00Z,65.00,36.00
2026-05-19T03:41:00Z,65.00,36.00
2026-05-19T03:42:00Z,65.00,36.54
2026-05-19T03:44:00Z,65.00,36.23
2026-05-19T03:46:00Z,65.00,36.23
2026-05-19T03:49:00Z,65.00,36.23
2026-05-19T03:50:00Z,65.00,36.23
2026-05-19T03:53:00Z,65.00,36.23
2026-05-19T03:56:00Z,65.00,36.23
2026-05-19T03:58:00Z,63.78,37.00
2026-05-19T04:01:00Z,65.00,37.00
2026-05-19T04:03:00Z,65.00,37.00
2026-05-19T04:04:00Z,66.00,36.00
2026-05-19T04:06:00Z,66.00,36.00
2026-05-19T04:11:00Z,66.00,36.00
2026-05-19T04:12:00Z,66.00,36.00
2026-05-19T04:13:00Z,66.00,37.00
2026-05-19T04:14:00Z,65.01,37.00
2026-05-19T04:16:00Z,66.00,37.00
2026-05-19T04:17:00Z,66.00,37.00
2026-05-19T04:18:00Z,66.00,37.00
2026-05-19T04:19:00Z,66.00,36.00
2026-05-19T04:20:00Z,66.00,36.00
2026-05-19T04:23:00Z,66.00,36.00
2026-05-19T04:25:00Z,66.00,36.00
2026-05-19T04:26:00Z,66.00,36.00
