# event_ticker=KXATPCHALLENGERMATCH-26MAY05KWONUCH
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Soonwoo Kwon
# fav_player=Kaichi Uchida
# dog_player=Soonwoo Kwon
# kalshi_date=2026-05-05
timestamp,Soonwoo Kwon,Kaichi Uchida
2026-05-04T16:23:00Z,,21.00
2026-05-04T16:36:00Z,91.00,21.00
2026-05-04T17:08:00Z,91.00,11.00
2026-05-04T17:09:00Z,91.00,11.00
2026-05-04T17:10:00Z,91.00,10.04
2026-05-04T17:13:00Z,91.00,11.47
2026-05-04T17:17:00Z,91.00,12.00
2026-05-04T17:26:00Z,91.00,10.50
2026-05-04T17:32:00Z,91.00,12.00
2026-05-04T17:35:00Z,88.00,12.00
2026-05-04T17:55:00Z,88.00,9.00
2026-05-04T17:57:00Z,91.00,9.00
2026-05-04T18:37:00Z,91.00,10.00
2026-05-04T18:43:00Z,90.00,10.00
2026-05-04T19:24:00Z,91.00,10.00
2026-05-04T19:49:00Z,91.00,10.50
2026-05-04T20:29:00Z,91.00,10.50
2026-05-04T20:35:00Z,91.00,10.00
2026-05-04T20:43:00Z,91.00,9.00
2026-05-04T21:01:00Z,91.00,10.00
2026-05-04T21:21:00Z,91.00,10.00
2026-05-04T21:26:00Z,91.00,11.00
2026-05-04T21:30:00Z,91.00,11.00
2026-05-04T21:37:00Z,91.00,11.00
2026-05-04T21:46:00Z,91.00,11.00
2026-05-04T22:10:00Z,91.00,11.00
2026-05-04T22:18:00Z,91.00,10.00
2026-05-04T22:36:00Z,91.00,10.22
2026-05-04T22:38:00Z,91.00,11.00
2026-05-04T22:48:00Z,91.00,11.00
2026-05-04T22:50:00Z,90.00,11.00
2026-05-04T22:55:00Z,90.00,11.00
2026-05-04T23:13:00Z,90.00,11.00
2026-05-04T23:26:00Z,90.00,9.00
2026-05-04T23:27:00Z,90.00,9.00
2026-05-04T23:36:00Z,90.00,11.00
2026-05-04T23:56:00Z,90.00,11.00
2026-05-04T23:59:00Z,90.00,11.00
2026-05-05T00:09:00Z,90.00,11.00
2026-05-05T00:27:00Z,90.00,11.00
2026-05-05T00:37:00Z,90.00,11.00
2026-05-05T00:51:00Z,90.00,11.00
2026-05-05T01:02:00Z,90.00,11.00
2026-05-05T01:11:00Z,90.00,11.00
2026-05-05T01:27:00Z,91.00,11.00
2026-05-05T01:34:00Z,89.00,11.00
2026-05-05T01:44:00Z,89.00,11.00
2026-05-05T01:46:00Z,89.00,10.56
2026-05-05T01:48:00Z,91.00,10.56
2026-05-05T01:53:00Z,91.00,11.00
2026-05-05T01:58:00Z,91.00,11.00
2026-05-05T02:28:00Z,91.00,11.00
2026-05-05T03:10:00Z,91.00,11.00
