# event_ticker=KXATPCHALLENGERMATCH-26MAY06JUSMIG
# final_score=6-4 6-0
# match_winner=Guido Ivan Justo
# fav_player=Guido Ivan Justo
# dog_player=Luis Felipe Miguel
# kalshi_date=2026-05-06
timestamp,Guido Ivan Justo,Luis Felipe Miguel
2026-05-06T06:20:00Z,,20.00
2026-05-06T06:54:00Z,,18.00
2026-05-06T07:18:00Z,,17.29
2026-05-06T07:19:00Z,,19.00
2026-05-06T08:33:00Z,,18.00
2026-05-06T08:43:00Z,,17.00
2026-05-06T08:44:00Z,78.77,24.79
2026-05-06T09:10:00Z,78.77,25.00
2026-05-06T09:12:00Z,76.00,25.00
2026-05-06T09:37:00Z,75.37,25.00
2026-05-06T09:40:00Z,75.37,25.00
2026-05-06T09:44:00Z,73.00,25.00
2026-05-06T09:59:00Z,73.00,25.00
2026-05-06T10:15:00Z,73.00,25.00
2026-05-06T10:16:00Z,73.00,25.03
2026-05-06T11:01:00Z,72.00,25.03
2026-05-06T11:39:00Z,72.00,27.00
2026-05-06T12:41:00Z,73.00,27.00
2026-05-06T13:01:00Z,74.00,27.00
2026-05-06T13:32:00Z,73.00,27.00
2026-05-06T13:43:00Z,73.25,27.00
2026-05-06T14:06:00Z,74.00,27.00
2026-05-06T14:30:00Z,74.00,29.43
2026-05-06T14:40:00Z,74.00,29.43
2026-05-06T14:46:00Z,73.00,29.43
2026-05-06T14:54:00Z,73.00,29.00
2026-05-06T14:55:00Z,74.00,29.00
2026-05-06T14:57:00Z,74.00,29.00
2026-05-06T15:09:00Z,74.00,28.00
2026-05-06T15:16:00Z,74.00,28.00
2026-05-06T15:26:00Z,74.00,28.00
2026-05-06T15:27:00Z,74.00,28.00
2026-05-06T15:47:00Z,74.00,28.00
2026-05-06T15:54:00Z,74.90,28.00
2026-05-06T15:56:00Z,74.98,28.00
2026-05-06T15:57:00Z,74.96,28.00
2026-05-06T15:58:00Z,74.24,28.00
2026-05-06T15:59:00Z,74.85,28.00
2026-05-06T16:00:00Z,74.00,28.00
2026-05-06T16:01:00Z,73.00,28.00
2026-05-06T16:02:00Z,75.00,27.00
2026-05-06T16:03:00Z,75.00,29.94
2026-05-06T16:04:00Z,72.00,32.91
2026-05-06T16:05:00Z,72.40,33.00
2026-05-06T16:06:00Z,72.00,29.00
2026-05-06T16:07:00Z,67.00,29.00
2026-05-06T16:08:00Z,67.00,34.00
2026-05-06T16:09:00Z,69.16,31.20
2026-05-06T16:10:00Z,69.00,34.99
2026-05-06T16:11:00Z,61.00,40.00
2026-05-06T16:12:00Z,61.00,40.95
2026-05-06T16:13:00Z,57.00,43.00
2026-05-06T16:14:00Z,57.12,45.00
2026-05-06T16:15:00Z,55.95,46.00
2026-05-06T16:16:00Z,56.00,46.72
2026-05-06T16:17:00Z,57.38,43.75
2026-05-06T16:18:00Z,59.00,43.75
2026-05-06T16:19:00Z,59.00,42.00
2026-05-06T16:20:00Z,58.00,42.83
2026-05-06T16:21:00Z,56.00,45.00
2026-05-06T16:22:00Z,60.46,42.30
2026-05-06T16:23:00Z,55.03,44.17
2026-05-06T16:24:00Z,56.35,45.46
2026-05-06T16:25:00Z,58.00,43.00
2026-05-06T16:26:00Z,58.07,42.12
2026-05-06T16:27:00Z,58.00,43.00
2026-05-06T16:28:00Z,60.00,42.06
2026-05-06T16:29:00Z,62.26,36.49
2026-05-06T16:30:00Z,69.30,30.45
2026-05-06T16:31:00Z,68.03,32.00
2026-05-06T16:32:00Z,71.32,32.19
2026-05-06T16:33:00Z,69.07,30.65
2026-05-06T16:34:00Z,62.90,37.33
2026-05-06T16:35:00Z,61.73,37.33
2026-05-06T16:36:00Z,56.45,43.74
2026-05-06T16:37:00Z,55.90,45.00
2026-05-06T16:38:00Z,58.48,42.10
2026-05-06T16:39:00Z,62.85,37.89
2026-05-06T16:40:00Z,68.97,32.62
2026-05-06T16:41:00Z,64.25,34.17
2026-05-06T16:42:00Z,64.00,38.00
2026-05-06T16:43:00Z,62.55,38.00
2026-05-06T16:44:00Z,72.74,29.99
2026-05-06T16:45:00Z,74.81,24.47
2026-05-06T16:46:00Z,75.91,23.01
2026-05-06T16:47:00Z,77.00,24.06
2026-05-06T16:48:00Z,81.99,18.12
2026-05-06T16:49:00Z,84.61,14.00
2026-05-06T16:50:00Z,86.61,14.65
2026-05-06T16:51:00Z,90.04,9.92
2026-05-06T16:52:00Z,91.01,9.00
2026-05-06T16:53:00Z,91.23,9.00
2026-05-06T16:54:00Z,91.02,9.00
2026-05-06T16:55:00Z,90.62,9.15
2026-05-06T16:56:00Z,90.00,10.02
2026-05-06T16:57:00Z,92.01,8.00
2026-05-06T16:58:00Z,93.00,9.00
2026-05-06T16:59:00Z,93.17,6.78
2026-05-06T17:00:00Z,94.00,6.79
2026-05-06T17:01:00Z,93.88,6.21
2026-05-06T17:02:00Z,93.58,6.43
2026-05-06T17:03:00Z,95.79,4.93
2026-05-06T17:04:00Z,96.93,3.00
2026-05-06T17:05:00Z,97.00,3.00
2026-05-06T17:06:00Z,98.00,2.00
2026-05-06T17:07:00Z,99.00,1.10
2026-05-06T17:08:00Z,99.00,2.00
2026-05-06T17:09:00Z,98.10,2.00
2026-05-06T17:10:00Z,95.41,1.28
2026-05-06T17:11:00Z,99.00,1.00
2026-05-06T17:12:00Z,99.00,1.00
2026-05-06T17:13:00Z,99.00,1.00
2026-05-06T17:14:00Z,99.00,1.00
2026-05-06T17:15:00Z,99.00,1.00
2026-05-06T17:16:00Z,99.00,1.00
2026-05-06T17:19:00Z,99.00,1.00
2026-05-06T17:21:00Z,99.00,1.00
