# event_ticker=KXATPCHALLENGERMATCH-26FEB10MAECAL
# final_score=4-6 6-2 6-4
# match_winner=Francesco Maestrelli
# fav_player=Francesco Maestrelli
# dog_player=Sergio Callejon Hernando
# kalshi_date=2026-02-10
timestamp,Francesco Maestrelli,Sergio Callejon Hernando
2026-02-10T01:31:00Z,74.00,
2026-02-10T02:38:00Z,75.00,
2026-02-10T03:16:00Z,75.00,
2026-02-10T03:42:00Z,74.00,
2026-02-10T04:13:00Z,74.00,27.00
2026-02-10T04:35:00Z,75.00,27.00
2026-02-10T04:48:00Z,75.00,27.00
2026-02-10T05:00:00Z,75.00,27.00
2026-02-10T05:12:00Z,75.00,27.00
2026-02-10T05:50:00Z,74.00,27.00
2026-02-10T06:05:00Z,74.97,27.00
2026-02-10T06:15:00Z,74.00,27.00
2026-02-10T06:16:00Z,74.00,27.00
2026-02-10T08:07:00Z,74.96,27.00
2026-02-10T08:12:00Z,75.00,27.00
2026-02-10T08:28:00Z,75.00,27.00
2026-02-10T08:41:00Z,75.00,27.00
2026-02-10T08:45:00Z,75.00,27.00
2026-02-10T08:49:00Z,73.00,27.00
2026-02-10T08:50:00Z,73.00,27.00
2026-02-10T09:00:00Z,75.00,27.00
2026-02-10T09:12:00Z,75.00,27.00
2026-02-10T09:23:00Z,75.00,27.00
2026-02-10T09:45:00Z,75.00,27.00
2026-02-10T09:49:00Z,75.00,27.00
2026-02-10T09:51:00Z,75.00,27.00
2026-02-10T10:00:00Z,75.00,27.00
2026-02-10T10:24:00Z,75.00,27.00
2026-02-10T11:04:00Z,75.00,26.00
2026-02-10T11:30:00Z,75.12,28.00
2026-02-10T11:48:00Z,76.00,24.00
2026-02-10T11:50:00Z,76.00,24.00
2026-02-10T11:55:00Z,76.00,24.00
2026-02-10T11:58:00Z,76.00,24.00
2026-02-10T12:01:00Z,76.00,24.00
2026-02-10T12:04:00Z,76.00,24.00
2026-02-10T12:05:00Z,76.00,24.00
2026-02-10T12:08:00Z,76.00,27.00
2026-02-10T12:11:00Z,76.00,27.00
2026-02-10T12:12:00Z,77.22,27.00
2026-02-10T12:13:00Z,77.22,24.25
2026-02-10T12:14:00Z,72.99,29.00
2026-02-10T12:15:00Z,71.27,31.00
2026-02-10T12:16:00Z,70.88,31.00
2026-02-10T12:17:00Z,64.27,35.06
2026-02-10T12:18:00Z,66.00,39.03
2026-02-10T12:19:00Z,69.00,36.03
2026-02-10T12:20:00Z,68.11,33.60
2026-02-10T12:21:00Z,68.00,33.60
2026-02-10T12:22:00Z,68.00,33.00
2026-02-10T12:24:00Z,69.00,28.00
2026-02-10T12:27:00Z,73.86,25.00
2026-02-10T12:28:00Z,72.00,25.72
2026-02-10T12:29:00Z,71.00,32.00
2026-02-10T12:30:00Z,71.00,30.70
2026-02-10T12:31:00Z,69.04,33.00
2026-02-10T12:33:00Z,69.04,32.00
2026-02-10T12:36:00Z,70.00,32.00
2026-02-10T12:37:00Z,70.00,32.39
2026-02-10T12:38:00Z,72.00,32.39
2026-02-10T12:39:00Z,71.00,29.00
2026-02-10T12:40:00Z,71.00,31.00
2026-02-10T12:41:00Z,73.00,31.00
