# event_ticker=KXATPCHALLENGERMATCH-26JUN01HOUNAV
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Max Houkes
# kalshi_date=2026-06-01
timestamp,Max Houkes,Emilio Nava
2026-06-01T04:48:00Z,,80.00
2026-06-01T04:55:00Z,25.00,80.00
2026-06-01T04:58:00Z,25.00,79.00
2026-06-01T05:00:00Z,25.00,79.00
2026-06-01T05:02:00Z,22.00,79.00
2026-06-01T05:38:00Z,22.00,80.00
2026-06-01T05:43:00Z,22.00,80.00
2026-06-01T06:33:00Z,23.00,80.00
2026-06-01T06:53:00Z,23.00,80.00
2026-06-01T07:08:00Z,22.00,80.00
2026-06-01T08:02:00Z,22.00,79.00
2026-06-01T08:09:00Z,22.00,79.00
2026-06-01T09:18:00Z,22.00,79.00
2026-06-01T09:19:00Z,22.00,79.00
2026-06-01T10:50:00Z,22.00,78.00
2026-06-01T10:51:00Z,22.00,79.00
2026-06-01T12:09:00Z,22.00,79.00
2026-06-01T13:14:00Z,22.00,78.00
2026-06-01T13:45:00Z,22.00,78.00
2026-06-01T14:34:00Z,22.00,78.00
2026-06-01T14:36:00Z,23.00,78.00
2026-06-01T14:44:00Z,23.00,78.00
2026-06-01T14:46:00Z,23.00,78.00
2026-06-01T14:59:00Z,23.00,78.00
2026-06-01T15:18:00Z,23.00,78.00
2026-06-01T15:41:00Z,23.00,79.00
2026-06-01T15:51:00Z,23.00,79.00
2026-06-01T16:01:00Z,23.00,78.00
2026-06-01T16:04:00Z,23.00,78.00
2026-06-01T16:25:00Z,23.00,79.00
2026-06-01T16:28:00Z,23.00,79.00
2026-06-01T16:34:00Z,21.00,79.00
2026-06-01T16:38:00Z,24.00,76.30
2026-06-01T16:39:00Z,24.00,77.00
2026-06-01T16:40:00Z,24.00,76.01
2026-06-01T16:41:00Z,27.01,74.14
2026-06-01T16:42:00Z,27.01,72.17
2026-06-01T16:43:00Z,27.86,72.70
2026-06-01T16:44:00Z,27.86,75.63
2026-06-01T16:45:00Z,25.99,74.37
2026-06-01T16:46:00Z,25.99,74.00
2026-06-01T16:47:00Z,25.99,73.27
2026-06-01T16:48:00Z,27.67,73.00
2026-06-01T16:49:00Z,27.80,72.29
2026-06-01T16:50:00Z,27.39,73.00
2026-06-01T16:51:00Z,29.66,71.00
2026-06-01T16:52:00Z,29.46,69.54
2026-06-01T16:53:00Z,30.33,69.95
2026-06-01T16:54:00Z,31.69,69.07
2026-06-01T16:55:00Z,30.99,69.00
2026-06-01T16:56:00Z,31.61,68.23
2026-06-01T16:57:00Z,31.74,69.99
2026-06-01T16:58:00Z,32.81,68.95
2026-06-01T16:59:00Z,32.68,68.00
2026-06-01T17:00:00Z,31.57,68.92
2026-06-01T17:01:00Z,28.57,70.04
2026-06-01T17:02:00Z,34.86,66.11
2026-06-01T17:03:00Z,35.00,65.58
2026-06-01T17:04:00Z,35.96,65.67
2026-06-01T17:05:00Z,35.00,66.83
2026-06-01T17:06:00Z,37.00,64.41
2026-06-01T17:07:00Z,35.75,64.47
2026-06-01T17:08:00Z,35.03,65.28
2026-06-01T17:09:00Z,37.25,63.63
2026-06-01T17:10:00Z,39.00,62.30
2026-06-01T17:11:00Z,35.47,64.24
2026-06-01T17:12:00Z,32.01,69.24
2026-06-01T17:13:00Z,27.38,76.81
2026-06-01T17:14:00Z,20.98,79.86
2026-06-01T17:15:00Z,19.49,80.85
2026-06-01T17:16:00Z,20.14,80.41
2026-06-01T17:17:00Z,20.30,79.91
2026-06-01T17:18:00Z,17.95,81.43
2026-06-01T17:19:00Z,17.95,83.18
2026-06-01T17:20:00Z,19.54,81.02
2026-06-01T17:21:00Z,20.00,80.91
2026-06-01T17:22:00Z,19.97,82.03
2026-06-01T17:23:00Z,18.85,81.94
2026-06-01T17:24:00Z,15.90,84.03
2026-06-01T17:25:00Z,16.96,84.98
2026-06-01T17:26:00Z,16.53,85.00
2026-06-01T17:27:00Z,14.16,86.57
2026-06-01T17:28:00Z,16.30,84.16
2026-06-01T17:29:00Z,14.99,85.00
2026-06-01T17:30:00Z,15.13,85.84
2026-06-01T17:31:00Z,12.67,88.57
2026-06-01T17:32:00Z,16.00,84.99
2026-06-01T17:33:00Z,15.36,85.25
2026-06-01T17:34:00Z,15.77,85.44
2026-06-01T17:35:00Z,17.74,82.98
2026-06-01T17:36:00Z,20.34,81.07
2026-06-01T17:37:00Z,19.83,81.76
2026-06-01T17:38:00Z,20.29,83.71
2026-06-01T17:39:00Z,16.04,84.45
2026-06-01T17:40:00Z,12.10,85.72
2026-06-01T17:41:00Z,14.45,85.94
2026-06-01T17:42:00Z,13.10,88.86
2026-06-01T17:43:00Z,14.58,87.29
2026-06-01T17:44:00Z,11.88,88.35
2026-06-01T17:45:00Z,16.10,84.39
2026-06-01T17:46:00Z,16.99,83.83
2026-06-01T17:47:00Z,15.39,85.78
2026-06-01T17:48:00Z,14.00,87.00
2026-06-01T17:49:00Z,13.91,87.18
2026-06-01T17:50:00Z,11.10,89.52
2026-06-01T17:51:00Z,6.88,92.34
2026-06-01T17:52:00Z,10.76,87.57
