# event_ticker=KXATPCHALLENGERMATCH-26MAY11PERELI
# final_score=6-2 3-6 RET
# match_winner=Tiago Pereira
# fav_player=Gastao Elias
# dog_player=Tiago Pereira
# kalshi_date=2026-05-11
timestamp,Tiago Pereira,Gastao Elias
2026-05-12T01:35:00Z,,46.00
2026-05-12T03:04:00Z,,46.00
2026-05-12T03:43:00Z,55.00,46.00
2026-05-12T03:56:00Z,55.00,46.00
2026-05-12T04:37:00Z,55.00,46.00
2026-05-12T05:24:00Z,55.00,46.00
2026-05-12T05:41:00Z,55.00,46.00
2026-05-12T05:55:00Z,55.00,46.00
2026-05-12T06:03:00Z,55.00,46.00
2026-05-12T06:19:00Z,55.00,46.00
2026-05-12T06:35:00Z,55.00,46.00
2026-05-12T06:38:00Z,55.00,46.00
2026-05-12T06:46:00Z,55.00,46.00
2026-05-12T07:09:00Z,55.00,46.00
2026-05-12T08:18:00Z,55.00,46.00
2026-05-12T08:57:00Z,55.00,46.00
2026-05-12T09:22:00Z,55.00,46.00
2026-05-12T09:57:00Z,56.00,46.00
2026-05-12T10:29:00Z,54.00,46.00
2026-05-12T10:50:00Z,54.00,46.00
2026-05-12T10:51:00Z,55.00,46.00
2026-05-12T10:59:00Z,55.00,47.00
2026-05-12T11:12:00Z,55.00,46.00
2026-05-12T11:15:00Z,55.00,46.00
2026-05-12T11:24:00Z,54.00,46.00
2026-05-12T11:44:00Z,56.00,44.00
2026-05-12T11:45:00Z,56.14,44.00
2026-05-12T11:46:00Z,56.00,44.00
2026-05-12T11:47:00Z,59.14,44.00
2026-05-12T11:48:00Z,60.69,42.00
2026-05-12T11:49:00Z,63.45,38.00
2026-05-12T11:50:00Z,63.00,38.00
2026-05-12T11:51:00Z,62.00,38.00
2026-05-12T11:53:00Z,68.83,38.00
2026-05-12T11:54:00Z,69.00,38.00
2026-05-12T11:55:00Z,70.90,38.00
2026-05-12T11:56:00Z,74.16,38.00
2026-05-12T11:57:00Z,75.00,38.00
2026-05-12T11:58:00Z,78.71,23.00
2026-05-12T11:59:00Z,81.00,21.00
2026-05-12T12:01:00Z,81.00,18.00
2026-05-12T12:04:00Z,82.00,18.00
2026-05-12T12:05:00Z,82.00,18.00
2026-05-12T12:06:00Z,82.00,22.00
2026-05-12T12:08:00Z,76.71,25.00
2026-05-12T12:09:00Z,75.66,26.00
2026-05-12T12:10:00Z,77.00,26.00
2026-05-12T12:11:00Z,78.00,26.00
2026-05-12T12:12:00Z,78.00,22.00
2026-05-12T12:13:00Z,78.00,23.86
2026-05-12T12:14:00Z,76.73,23.86
2026-05-12T12:15:00Z,76.00,23.86
2026-05-12T12:17:00Z,84.58,18.00
2026-05-12T12:18:00Z,78.03,22.00
2026-05-12T12:20:00Z,71.89,22.00
2026-05-12T12:21:00Z,74.00,28.00
2026-05-12T12:22:00Z,76.00,27.00
2026-05-12T12:23:00Z,79.00,27.00
2026-05-12T12:24:00Z,77.00,25.86
2026-05-12T12:25:00Z,74.00,25.86
2026-05-12T12:27:00Z,68.29,34.00
2026-05-12T12:28:00Z,68.29,36.06
2026-05-12T12:29:00Z,65.17,36.28
2026-05-12T12:30:00Z,63.50,42.76
2026-05-12T12:31:00Z,58.00,44.54
2026-05-12T12:32:00Z,62.00,44.54
2026-05-12T12:33:00Z,61.46,39.50
2026-05-12T12:34:00Z,52.52,42.52
2026-05-12T12:35:00Z,53.00,47.21
2026-05-12T12:36:00Z,51.62,47.21
2026-05-12T12:37:00Z,53.58,47.21
2026-05-12T12:38:00Z,51.08,47.21
2026-05-12T12:39:00Z,49.50,50.33
2026-05-12T12:40:00Z,51.57,47.00
2026-05-12T12:41:00Z,58.92,41.29
2026-05-12T12:42:00Z,61.00,41.29
2026-05-12T12:43:00Z,59.00,43.91
2026-05-12T12:44:00Z,56.00,42.00
2026-05-12T12:45:00Z,56.00,52.00
2026-05-12T12:46:00Z,49.00,53.00
2026-05-12T12:47:00Z,49.00,53.00
2026-05-12T12:48:00Z,52.00,53.00
2026-05-12T12:49:00Z,50.25,49.89
2026-05-12T12:50:00Z,50.09,50.00
2026-05-12T12:51:00Z,53.00,47.00
2026-05-12T12:52:00Z,60.05,42.00
2026-05-12T12:53:00Z,52.96,43.00
2026-05-12T12:54:00Z,48.18,50.66
2026-05-12T12:55:00Z,52.69,49.06
2026-05-12T12:56:00Z,60.85,40.16
2026-05-12T12:57:00Z,77.65,22.54
2026-05-12T12:58:00Z,99.00,22.54
2026-05-12T12:59:00Z,99.00,1.00
2026-05-12T13:00:00Z,99.00,1.00
2026-05-12T13:01:00Z,99.00,1.00
2026-05-12T13:02:00Z,99.00,1.00
