# event_ticker=KXATPMATCH-25SEP20MOUCAZ
# final_score=6-7(1) 6-3 7-6(3)
# score_resolution=6-7 6-3 7-6
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Arthur Cazaux
# kalshi_date=2025-09-20
timestamp,Corentin Moutet,Arthur Cazaux
2025-09-19T20:31:00Z,,46.31
2025-09-19T20:48:00Z,55.00,46.31
2025-09-19T21:23:00Z,54.00,46.31
2025-09-19T21:24:00Z,54.00,46.00
2025-09-19T21:50:00Z,53.00,46.00
2025-09-19T21:57:00Z,53.00,46.00
2025-09-19T22:23:00Z,53.00,48.00
2025-09-19T22:41:00Z,51.31,48.00
2025-09-20T00:13:00Z,53.00,48.00
2025-09-20T00:26:00Z,53.00,48.00
2025-09-20T00:33:00Z,53.00,48.00
2025-09-20T00:44:00Z,52.00,48.00
2025-09-20T01:36:00Z,53.00,48.00
2025-09-20T01:46:00Z,53.00,48.00
2025-09-20T01:51:00Z,53.00,48.00
2025-09-20T01:58:00Z,53.00,48.00
2025-09-20T02:11:00Z,53.00,48.00
2025-09-20T02:16:00Z,53.00,48.00
2025-09-20T02:24:00Z,53.00,48.00
2025-09-20T02:28:00Z,53.00,48.00
2025-09-20T02:34:00Z,53.00,48.00
2025-09-20T02:56:00Z,53.00,48.00
2025-09-20T03:04:00Z,53.00,48.00
2025-09-20T03:06:00Z,53.00,48.00
2025-09-20T03:09:00Z,53.00,48.00
2025-09-20T03:14:00Z,53.00,48.00
2025-09-20T03:17:00Z,53.01,48.00
2025-09-20T03:23:00Z,53.01,48.00
2025-09-20T03:27:00Z,52.00,48.00
2025-09-20T03:34:00Z,54.00,48.00
2025-09-20T03:35:00Z,54.00,48.00
2025-09-20T03:39:00Z,54.00,48.00
2025-09-20T03:42:00Z,54.00,48.00
2025-09-20T03:46:00Z,54.00,48.00
2025-09-20T03:47:00Z,54.00,48.00
2025-09-20T03:50:00Z,54.00,48.00
2025-09-20T03:51:00Z,54.00,48.00
2025-09-20T03:57:00Z,54.00,48.00
2025-09-20T03:59:00Z,54.00,48.00
2025-09-20T04:00:00Z,54.00,48.00
2025-09-20T04:01:00Z,54.00,48.00
2025-09-20T04:05:00Z,54.00,48.00
2025-09-20T04:08:00Z,54.00,48.00
2025-09-20T04:10:00Z,54.00,48.00
2025-09-20T04:11:00Z,54.00,48.00
2025-09-20T04:15:00Z,53.83,48.00
2025-09-20T04:16:00Z,54.00,48.00
2025-09-20T04:17:00Z,54.00,48.00
2025-09-20T04:18:00Z,54.00,48.21
2025-09-20T04:19:00Z,53.00,48.21
2025-09-20T04:20:00Z,53.00,48.21
2025-09-20T04:21:00Z,53.65,48.21
2025-09-20T04:22:00Z,53.97,48.21
2025-09-20T04:23:00Z,54.00,47.00
2025-09-20T04:24:00Z,53.98,47.00
2025-09-20T04:25:00Z,54.29,47.00
2025-09-20T04:28:00Z,55.00,47.00
2025-09-20T04:30:00Z,55.00,47.00
2025-09-20T04:31:00Z,55.00,47.00
2025-09-20T04:33:00Z,55.00,47.00
2025-09-20T04:35:00Z,55.00,47.00
2025-09-20T04:37:00Z,54.70,47.00
