# event_ticker=KXATPCHALLENGERMATCH-26APR28ECHGAR
# final_score=6-7(5) 6-4 6-2
# score_resolution=7-6 4-6 2-6
# match_winner=Cristian Garin
# fav_player=Moez Echargui
# dog_player=Cristian Garin
# kalshi_date=2026-04-28
timestamp,Moez Echargui,Cristian Garin
2026-04-28T05:47:00Z,17.00,
2026-04-28T07:49:00Z,17.00,
2026-04-28T12:53:00Z,17.18,
2026-04-28T13:11:00Z,17.18,82.00
2026-04-28T13:15:00Z,18.00,82.00
2026-04-28T13:20:00Z,18.00,82.00
2026-04-28T13:32:00Z,18.00,82.00
2026-04-28T13:42:00Z,18.00,82.00
2026-04-28T13:44:00Z,18.00,83.00
2026-04-28T13:48:00Z,18.00,83.00
2026-04-28T14:07:00Z,19.00,83.00
2026-04-28T14:13:00Z,19.00,84.00
2026-04-28T14:27:00Z,17.00,84.00
2026-04-28T14:35:00Z,16.00,84.00
2026-04-28T14:38:00Z,16.00,83.00
2026-04-28T15:02:00Z,16.00,84.00
2026-04-28T15:13:00Z,16.00,84.00
2026-04-28T15:22:00Z,17.00,84.00
2026-04-28T15:29:00Z,17.00,84.00
2026-04-28T15:43:00Z,17.00,84.00
2026-04-28T15:55:00Z,17.00,84.00
2026-04-28T15:57:00Z,17.00,84.00
2026-04-28T16:00:00Z,17.00,84.00
2026-04-28T16:02:00Z,17.00,84.00
2026-04-28T16:11:00Z,17.00,84.00
2026-04-28T16:27:00Z,17.00,84.00
2026-04-28T16:29:00Z,17.00,85.00
2026-04-28T16:31:00Z,17.00,84.00
2026-04-28T16:32:00Z,16.00,85.00
2026-04-28T16:33:00Z,16.00,85.00
2026-04-28T16:39:00Z,16.00,85.00
2026-04-28T16:41:00Z,16.00,85.00
2026-04-28T16:49:00Z,17.00,85.00
2026-04-28T16:51:00Z,16.00,85.00
2026-04-28T16:55:00Z,16.00,85.00
2026-04-28T16:57:00Z,17.00,85.00
2026-04-28T16:58:00Z,17.00,85.00
2026-04-28T16:59:00Z,16.00,85.00
2026-04-28T17:01:00Z,16.00,85.00
2026-04-28T17:02:00Z,16.00,85.97
2026-04-28T17:03:00Z,16.00,86.00
2026-04-28T17:08:00Z,16.00,86.00
2026-04-28T17:09:00Z,16.00,86.00
2026-04-28T17:10:00Z,16.00,86.00
2026-04-28T17:12:00Z,16.00,86.00
2026-04-28T17:15:00Z,16.00,86.00
2026-04-28T17:24:00Z,16.00,86.00
2026-04-28T17:28:00Z,16.00,86.00
2026-04-28T17:33:00Z,16.00,85.00
2026-04-28T17:36:00Z,17.00,84.00
2026-04-28T17:37:00Z,16.44,84.00
2026-04-28T17:38:00Z,17.00,84.00
2026-04-28T17:40:00Z,17.00,85.05
2026-04-28T17:42:00Z,18.18,81.18
2026-04-28T17:43:00Z,18.43,81.00
2026-04-28T17:44:00Z,17.95,82.45
2026-04-28T17:45:00Z,20.00,81.08
2026-04-28T17:46:00Z,19.20,78.00
2026-04-28T17:47:00Z,25.05,74.32
2026-04-28T17:48:00Z,25.87,76.24
2026-04-28T17:49:00Z,21.33,76.24
2026-04-28T17:50:00Z,23.06,76.10
2026-04-28T17:51:00Z,27.80,72.07
2026-04-28T17:52:00Z,30.76,68.93
2026-04-28T17:53:00Z,28.66,72.33
2026-04-28T17:54:00Z,27.52,74.00
2026-04-28T17:55:00Z,27.80,74.00
2026-04-28T17:56:00Z,21.97,78.00
2026-04-28T17:57:00Z,21.47,77.90
2026-04-28T17:58:00Z,25.29,75.15
2026-04-28T17:59:00Z,21.67,77.70
2026-04-28T18:00:00Z,27.73,73.00
2026-04-28T18:01:00Z,29.94,70.15
2026-04-28T18:02:00Z,29.16,71.00
2026-04-28T18:03:00Z,27.00,74.00
2026-04-28T18:04:00Z,27.00,74.00
2026-04-28T18:05:00Z,29.61,72.39
2026-04-28T18:06:00Z,31.63,68.31
2026-04-28T18:07:00Z,33.93,68.52
2026-04-28T18:08:00Z,33.36,68.27
2026-04-28T18:09:00Z,32.81,69.00
2026-04-28T18:10:00Z,34.46,65.75
2026-04-28T18:11:00Z,38.58,63.00
2026-04-28T18:12:00Z,35.27,68.00
2026-04-28T18:13:00Z,33.00,69.00
2026-04-28T18:14:00Z,33.48,68.92
2026-04-28T18:15:00Z,34.15,68.96
2026-04-28T18:16:00Z,31.82,68.96
2026-04-28T18:17:00Z,35.02,67.66
2026-04-28T18:18:00Z,30.22,70.58
2026-04-28T18:19:00Z,29.28,71.41
2026-04-28T18:20:00Z,26.09,72.64
