# event_ticker=KXATPCHALLENGERMATCH-26FEB28PIRBRU
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Zsombor Piros
# fav_player=Mika Brunold
# dog_player=Zsombor Piros
# kalshi_date=2026-02-28
timestamp,Mika Brunold,Zsombor Piros
2026-02-28T02:52:00Z,,62.00
2026-02-28T02:54:00Z,,62.00
2026-02-28T02:55:00Z,,62.00
2026-02-28T03:00:00Z,,62.00
2026-02-28T04:23:00Z,,62.00
2026-02-28T04:39:00Z,,62.00
2026-02-28T05:23:00Z,,62.00
2026-02-28T05:44:00Z,41.00,62.00
2026-02-28T05:46:00Z,41.00,62.00
2026-02-28T05:48:00Z,38.00,62.00
2026-02-28T05:56:00Z,38.00,62.00
2026-02-28T06:05:00Z,38.00,62.00
2026-02-28T06:08:00Z,38.00,62.00
2026-02-28T06:18:00Z,38.00,62.00
2026-02-28T06:21:00Z,38.00,62.00
2026-02-28T06:27:00Z,38.00,62.62
2026-02-28T06:32:00Z,38.00,62.00
2026-02-28T06:36:00Z,38.00,62.00
2026-02-28T06:43:00Z,38.00,63.00
2026-02-28T06:44:00Z,38.00,63.00
2026-02-28T06:49:00Z,39.00,63.00
2026-02-28T06:53:00Z,39.00,63.00
2026-02-28T06:55:00Z,39.00,63.32
2026-02-28T06:58:00Z,39.00,64.00
2026-02-28T07:03:00Z,39.00,64.00
2026-02-28T07:06:00Z,39.00,64.00
2026-02-28T07:13:00Z,39.00,64.00
2026-02-28T07:14:00Z,39.00,64.00
2026-02-28T07:15:00Z,39.00,64.00
2026-02-28T07:17:00Z,39.00,64.00
2026-02-28T07:29:00Z,39.00,61.50
2026-02-28T07:31:00Z,39.00,63.00
2026-02-28T07:32:00Z,38.00,63.97
2026-02-28T07:34:00Z,38.00,61.70
2026-02-28T07:37:00Z,38.00,63.00
2026-02-28T07:39:00Z,38.00,63.00
2026-02-28T07:40:00Z,38.00,63.00
2026-02-28T07:44:00Z,38.00,63.00
2026-02-28T08:05:00Z,38.00,63.00
2026-02-28T08:12:00Z,38.00,63.35
2026-02-28T08:14:00Z,38.00,63.35
2026-02-28T08:15:00Z,38.00,64.00
2026-02-28T08:18:00Z,38.00,64.00
2026-02-28T08:21:00Z,38.00,64.81
2026-02-28T08:28:00Z,38.00,65.00
