# event_ticker=KXATPCHALLENGERMATCH-26APR23SELGHI
# final_score=6-4 6-3
# match_winner=Antoine Ghibaudo
# fav_player=Antoine Ghibaudo
# dog_player=Jelle Sels
# kalshi_date=2026-04-23
timestamp,Jelle Sels,Antoine Ghibaudo
2026-04-22T20:33:00Z,38.00,
2026-04-23T00:02:00Z,38.00,60.00
2026-04-23T00:12:00Z,38.00,60.00
2026-04-23T01:15:00Z,38.00,60.00
2026-04-23T02:03:00Z,38.00,60.00
2026-04-23T02:37:00Z,40.00,60.00
2026-04-23T03:45:00Z,40.00,61.00
2026-04-23T03:46:00Z,40.00,61.00
2026-04-23T04:10:00Z,40.00,61.00
2026-04-23T04:26:00Z,40.00,60.00
2026-04-23T04:29:00Z,40.00,61.00
2026-04-23T04:41:00Z,40.00,61.00
2026-04-23T04:46:00Z,39.00,61.00
2026-04-23T04:55:00Z,39.00,61.00
2026-04-23T05:17:00Z,39.00,62.00
2026-04-23T05:22:00Z,39.00,62.00
2026-04-23T05:32:00Z,39.00,61.00
2026-04-23T05:40:00Z,39.00,61.00
2026-04-23T05:41:00Z,39.00,62.00
2026-04-23T05:45:00Z,37.00,62.00
2026-04-23T05:49:00Z,37.00,62.00
2026-04-23T05:53:00Z,37.00,62.00
2026-04-23T05:57:00Z,37.00,63.44
2026-04-23T05:58:00Z,37.00,64.00
2026-04-23T05:59:00Z,37.00,64.00
2026-04-23T06:02:00Z,37.00,63.81
2026-04-23T06:04:00Z,37.00,64.00
2026-04-23T06:19:00Z,38.00,64.00
2026-04-23T06:24:00Z,38.00,64.00
2026-04-23T06:27:00Z,38.00,64.00
2026-04-23T06:33:00Z,38.00,64.00
2026-04-23T06:41:00Z,38.00,64.12
2026-04-23T06:43:00Z,38.00,64.00
2026-04-23T06:46:00Z,38.00,65.00
2026-04-23T06:48:00Z,38.00,65.00
2026-04-23T06:49:00Z,38.00,65.00
2026-04-23T06:51:00Z,38.00,65.00
2026-04-23T06:55:00Z,38.00,64.00
2026-04-23T06:56:00Z,38.00,63.50
2026-04-23T09:01:00Z,36.00,70.95
2026-04-23T09:02:00Z,40.64,64.21
2026-04-23T09:03:00Z,25.82,74.83
2026-04-23T09:04:00Z,27.89,74.55
2026-04-23T09:05:00Z,18.12,80.14
2026-04-23T09:06:00Z,12.01,87.53
2026-04-23T09:07:00Z,15.00,84.30
2026-04-23T09:08:00Z,15.00,84.30
2026-04-23T09:09:00Z,15.16,84.89
2026-04-23T09:10:00Z,15.00,84.89
2026-04-23T09:11:00Z,15.00,87.99
2026-04-23T09:12:00Z,12.92,88.82
2026-04-23T09:13:00Z,14.00,88.93
2026-04-23T09:14:00Z,12.68,90.16
2026-04-23T09:15:00Z,9.94,91.93
2026-04-23T09:16:00Z,12.65,89.72
2026-04-23T09:17:00Z,13.84,87.00
2026-04-23T09:18:00Z,15.96,87.46
2026-04-23T09:19:00Z,15.96,85.00
2026-04-23T09:20:00Z,15.00,83.01
2026-04-23T09:21:00Z,15.00,86.67
2026-04-23T09:22:00Z,13.79,87.31
2026-04-23T09:23:00Z,9.00,94.00
2026-04-23T09:24:00Z,7.50,93.99
2026-04-23T09:25:00Z,9.80,90.94
2026-04-23T09:26:00Z,11.00,90.02
2026-04-23T09:27:00Z,6.07,93.93
2026-04-23T09:28:00Z,5.53,94.15
2026-04-23T09:29:00Z,7.25,92.59
2026-04-23T09:30:00Z,7.25,94.43
2026-04-23T09:31:00Z,4.99,96.57
2026-04-23T09:32:00Z,4.01,96.96
2026-04-23T09:33:00Z,3.95,97.98
2026-04-23T09:34:00Z,3.89,97.96
2026-04-23T09:35:00Z,4.00,96.64
2026-04-23T09:36:00Z,3.98,97.00
2026-04-23T09:37:00Z,2.07,98.00
2026-04-23T09:38:00Z,4.00,98.00
2026-04-23T09:39:00Z,4.00,96.00
2026-04-23T09:40:00Z,2.00,98.00
2026-04-23T09:41:00Z,1.00,98.83
2026-04-23T09:42:00Z,1.00,98.96
2026-04-23T09:43:00Z,3.50,96.72
2026-04-23T09:44:00Z,2.49,98.00
2026-04-23T09:45:00Z,2.00,99.00
2026-04-23T09:46:00Z,2.97,96.25
2026-04-23T09:47:00Z,2.97,98.00
2026-04-23T09:48:00Z,2.00,98.98
2026-04-23T09:49:00Z,3.00,98.98
2026-04-23T09:50:00Z,3.90,97.00
2026-04-23T09:51:00Z,3.90,95.06
2026-04-23T09:52:00Z,3.00,98.41
2026-04-23T09:53:00Z,4.41,95.51
2026-04-23T09:54:00Z,4.45,93.31
2026-04-23T09:55:00Z,1.11,98.46
2026-04-23T09:57:00Z,1.11,99.00
