# event_ticker=KXATPCHALLENGERMATCH-26MAY13DZUSAN
# final_score=6-1 6-7(3) 6-4
# score_resolution=6-1 6-7 6-4
# match_winner=Damir Dzumhur
# fav_player=Damir Dzumhur
# dog_player=Alejo Sanchez Quilez
# kalshi_date=2026-05-13
timestamp,Damir Dzumhur,Alejo Sanchez Quilez
2026-05-13T01:28:00Z,64.35,
2026-05-13T01:40:00Z,65.00,
2026-05-13T02:00:00Z,65.00,
2026-05-13T02:02:00Z,65.00,
2026-05-13T02:30:00Z,66.00,
2026-05-13T02:48:00Z,66.00,36.68
2026-05-13T02:58:00Z,66.00,37.00
2026-05-13T03:16:00Z,66.00,37.00
2026-05-13T03:19:00Z,66.00,37.00
2026-05-13T03:41:00Z,66.00,37.00
2026-05-13T04:53:00Z,66.00,37.00
2026-05-13T04:58:00Z,66.00,37.00
2026-05-13T05:10:00Z,66.00,37.00
2026-05-13T05:38:00Z,66.00,37.00
2026-05-13T05:42:00Z,66.00,37.00
2026-05-13T05:52:00Z,66.00,34.00
2026-05-13T06:30:00Z,66.00,34.00
2026-05-13T06:57:00Z,66.00,35.00
2026-05-13T07:11:00Z,64.88,35.00
2026-05-13T07:38:00Z,65.00,35.00
2026-05-13T08:40:00Z,65.00,35.00
2026-05-13T10:24:00Z,65.00,36.00
2026-05-13T10:31:00Z,65.00,35.00
2026-05-13T10:34:00Z,65.00,35.00
2026-05-13T10:39:00Z,65.00,35.00
2026-05-13T11:56:00Z,65.00,35.00
2026-05-13T11:57:00Z,65.77,35.00
2026-05-13T11:59:00Z,66.00,35.00
2026-05-13T12:02:00Z,66.00,34.00
2026-05-13T12:06:00Z,66.00,34.00
2026-05-13T12:07:00Z,66.00,37.08
2026-05-13T12:08:00Z,66.00,37.08
2026-05-13T12:14:00Z,65.00,37.08
2026-05-13T12:18:00Z,66.00,37.08
2026-05-13T12:22:00Z,66.00,37.00
2026-05-13T12:26:00Z,66.00,37.00
2026-05-13T12:28:00Z,65.00,37.00
2026-05-13T12:29:00Z,65.00,37.00
2026-05-13T12:32:00Z,65.00,37.00
2026-05-13T12:34:00Z,65.00,37.00
2026-05-13T12:36:00Z,66.10,37.00
2026-05-13T12:37:00Z,67.00,37.00
2026-05-13T12:38:00Z,67.00,37.00
