# event_ticker=KXATPMATCH-25OCT06TIENOR
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Learner Tien
# fav_player=Cameron Norrie
# dog_player=Learner Tien
# kalshi_date=2025-10-06
timestamp,Cameron Norrie,Learner Tien
2025-10-05T23:33:00Z,,53.00
2025-10-05T23:35:00Z,48.00,53.00
2025-10-05T23:38:00Z,48.00,53.00
2025-10-05T23:40:00Z,48.00,53.00
2025-10-05T23:41:00Z,48.00,53.00
2025-10-06T00:21:00Z,48.00,53.00
2025-10-06T00:26:00Z,48.00,53.00
2025-10-06T00:29:00Z,48.00,53.00
2025-10-06T00:31:00Z,48.00,53.00
2025-10-06T00:35:00Z,48.00,53.00
2025-10-06T00:50:00Z,48.00,53.00
2025-10-06T01:06:00Z,48.00,53.00
2025-10-06T01:16:00Z,48.00,52.00
2025-10-06T01:23:00Z,48.00,53.00
2025-10-06T01:32:00Z,48.00,53.00
2025-10-06T01:37:00Z,48.00,53.00
2025-10-06T01:38:00Z,48.00,53.00
2025-10-06T01:48:00Z,48.00,53.00
2025-10-06T01:53:00Z,48.00,53.00
2025-10-06T01:55:00Z,48.00,53.00
2025-10-06T02:05:00Z,48.00,53.00
2025-10-06T02:06:00Z,48.00,53.00
2025-10-06T02:07:00Z,48.00,53.00
2025-10-06T02:11:00Z,48.00,53.00
2025-10-06T02:14:00Z,48.00,53.93
2025-10-06T02:15:00Z,48.00,54.00
2025-10-06T02:16:00Z,48.00,54.00
2025-10-06T02:17:00Z,48.00,54.00
2025-10-06T02:27:00Z,46.00,54.00
2025-10-06T02:37:00Z,46.00,54.00
2025-10-06T03:05:00Z,46.00,54.00
2025-10-06T03:15:00Z,46.00,54.00
2025-10-06T03:32:00Z,46.00,54.00
2025-10-06T03:33:00Z,46.00,54.00
2025-10-06T03:34:00Z,46.00,54.00
2025-10-06T03:35:00Z,46.00,54.00
2025-10-06T03:36:00Z,46.00,54.00
2025-10-06T03:38:00Z,46.00,54.00
