# event_ticker=KXATPCHALLENGERMATCH-26MAR11ONCGUE
# final_score=6-0 7-6(4)
# score_resolution=6-0 7-6
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Sascha Gueymard Wayenburg
# kalshi_date=2026-03-11
timestamp,Gauthier Onclin,Sascha Gueymard Wayenburg
2026-03-10T22:18:00Z,41.00,
2026-03-10T22:35:00Z,41.00,
2026-03-11T00:39:00Z,37.03,
2026-03-11T00:46:00Z,39.00,
2026-03-11T00:49:00Z,39.00,
2026-03-11T01:51:00Z,40.00,
2026-03-11T03:37:00Z,40.00,
2026-03-11T03:38:00Z,40.00,
2026-03-11T04:38:00Z,40.00,62.00
2026-03-11T05:00:00Z,41.00,62.00
2026-03-11T05:07:00Z,41.65,62.00
2026-03-11T05:09:00Z,41.00,62.00
2026-03-11T05:17:00Z,41.00,60.00
2026-03-11T05:20:00Z,41.00,59.00
2026-03-11T05:24:00Z,41.00,60.00
2026-03-11T05:26:00Z,41.00,60.00
2026-03-11T05:55:00Z,41.00,60.00
2026-03-11T05:56:00Z,42.00,60.00
2026-03-11T06:02:00Z,42.00,60.00
2026-03-11T06:04:00Z,42.00,60.00
2026-03-11T06:08:00Z,41.00,60.00
2026-03-11T06:10:00Z,41.00,60.00
2026-03-11T06:11:00Z,41.00,60.00
2026-03-11T06:15:00Z,41.00,60.00
2026-03-11T06:31:00Z,41.00,60.00
2026-03-11T06:34:00Z,42.00,60.00
2026-03-11T06:39:00Z,42.00,60.00
2026-03-11T06:55:00Z,42.00,60.00
2026-03-11T07:13:00Z,42.00,60.00
2026-03-11T07:14:00Z,42.00,60.14
2026-03-11T07:16:00Z,42.00,61.00
2026-03-11T07:17:00Z,42.00,61.00
2026-03-11T07:31:00Z,42.00,61.00
2026-03-11T07:32:00Z,42.00,60.00
2026-03-11T07:39:00Z,42.00,60.00
2026-03-11T07:47:00Z,42.00,60.00
2026-03-11T07:50:00Z,42.00,58.00
2026-03-11T07:57:00Z,42.00,59.00
2026-03-11T08:36:00Z,42.00,60.00
2026-03-11T08:44:00Z,42.00,59.00
2026-03-11T09:00:00Z,42.00,59.00
2026-03-11T09:01:00Z,42.00,59.00
2026-03-11T09:03:00Z,42.00,59.00
2026-03-11T09:04:00Z,42.00,59.00
2026-03-11T09:14:00Z,42.00,59.00
2026-03-11T09:15:00Z,42.00,59.00
2026-03-11T09:17:00Z,42.00,59.00
2026-03-11T09:23:00Z,42.00,59.00
2026-03-11T09:31:00Z,42.75,59.00
2026-03-11T09:33:00Z,41.00,58.00
2026-03-11T09:34:00Z,42.00,61.00
2026-03-11T09:35:00Z,42.00,55.00
2026-03-11T09:37:00Z,45.00,55.00
2026-03-11T09:39:00Z,45.00,55.00
2026-03-11T09:41:00Z,40.23,55.00
2026-03-11T09:42:00Z,42.40,60.00
2026-03-11T09:43:00Z,53.97,48.83
2026-03-11T09:44:00Z,55.00,48.83
2026-03-11T09:45:00Z,58.14,46.00
2026-03-11T09:46:00Z,60.00,47.74
2026-03-11T09:47:00Z,61.00,39.66
2026-03-11T09:48:00Z,63.81,41.67
2026-03-11T09:49:00Z,70.86,34.00
2026-03-11T09:50:00Z,72.00,34.00
2026-03-11T09:51:00Z,73.59,27.50
2026-03-11T09:52:00Z,75.65,27.00
2026-03-11T09:53:00Z,76.00,22.48
2026-03-11T09:54:00Z,75.41,25.67
2026-03-11T09:55:00Z,76.00,26.00
2026-03-11T09:56:00Z,78.34,21.00
2026-03-11T09:57:00Z,79.06,21.00
2026-03-11T09:58:00Z,80.73,21.00
2026-03-11T09:59:00Z,81.03,21.00
2026-03-11T10:00:00Z,82.00,20.49
2026-03-11T10:01:00Z,82.08,16.07
2026-03-11T10:02:00Z,84.00,17.00
2026-03-11T10:03:00Z,82.00,17.00
2026-03-11T10:04:00Z,82.00,18.43
2026-03-11T10:05:00Z,78.00,21.10
2026-03-11T10:06:00Z,79.00,23.00
2026-03-11T10:07:00Z,71.00,27.00
2026-03-11T10:08:00Z,66.03,33.00
2026-03-11T10:09:00Z,66.03,36.64
2026-03-11T10:10:00Z,60.00,39.08
2026-03-11T10:11:00Z,57.07,43.00
2026-03-11T10:12:00Z,55.01,44.43
2026-03-11T10:13:00Z,54.00,46.77
2026-03-11T10:14:00Z,49.50,51.39
2026-03-11T10:15:00Z,45.00,56.56
2026-03-11T10:16:00Z,45.00,57.31
2026-03-11T10:17:00Z,48.64,55.00
2026-03-11T10:18:00Z,53.00,55.00
2026-03-11T10:19:00Z,53.00,49.00
2026-03-11T10:20:00Z,53.00,48.07
2026-03-11T10:21:00Z,56.68,44.65
2026-03-11T10:22:00Z,61.64,44.67
2026-03-11T10:23:00Z,61.64,46.02
2026-03-11T10:24:00Z,59.35,42.43
2026-03-11T10:25:00Z,63.00,47.66
2026-03-11T10:26:00Z,56.00,46.25
2026-03-11T10:27:00Z,52.00,49.11
2026-03-11T10:28:00Z,50.00,50.00
2026-03-11T10:29:00Z,49.00,50.00
2026-03-11T10:30:00Z,51.00,50.98
2026-03-11T10:31:00Z,49.00,50.98
2026-03-11T10:32:00Z,51.31,48.12
2026-03-11T10:33:00Z,64.00,48.30
2026-03-11T10:35:00Z,65.00,35.03
2026-03-11T10:36:00Z,58.73,38.98
2026-03-11T10:37:00Z,54.00,50.08
2026-03-11T10:38:00Z,54.00,46.00
2026-03-11T10:39:00Z,69.01,30.21
2026-03-11T10:40:00Z,70.00,30.21
2026-03-11T10:41:00Z,65.41,33.93
2026-03-11T10:42:00Z,73.58,34.19
2026-03-11T10:43:00Z,74.28,22.36
2026-03-11T10:44:00Z,80.00,19.08
2026-03-11T10:45:00Z,76.47,18.50
2026-03-11T10:46:00Z,78.24,24.60
2026-03-11T10:47:00Z,76.67,28.69
2026-03-11T10:48:00Z,71.26,29.96
2026-03-11T10:49:00Z,66.77,41.18
2026-03-11T10:50:00Z,65.16,33.82
2026-03-11T10:51:00Z,77.79,24.88
2026-03-11T10:52:00Z,75.92,27.28
2026-03-11T10:53:00Z,68.74,33.29
