# event_ticker=KXATPMATCH-25JUL20MUNGIR
# final_score=7-5 6-3
# match_winner=Jaume Munar
# fav_player=Jaume Munar
# dog_player=Marcos Giron
# kalshi_date=2025-07-20
timestamp,Jaume Munar,Marcos Giron
2025-07-22T12:34:00Z,,55.00
2025-07-22T12:37:00Z,,55.00
2025-07-22T12:41:00Z,,51.00
2025-07-22T12:56:00Z,,51.00
2025-07-22T13:08:00Z,46.00,51.00
2025-07-22T13:10:00Z,46.00,51.00
2025-07-22T13:36:00Z,46.00,51.00
2025-07-22T13:47:00Z,46.00,51.00
2025-07-22T13:52:00Z,46.00,56.00
2025-07-22T14:22:00Z,46.00,56.00
2025-07-22T14:38:00Z,46.00,56.00
2025-07-22T14:59:00Z,46.00,54.00
2025-07-22T15:05:00Z,46.00,54.50
2025-07-22T15:09:00Z,46.00,55.00
2025-07-22T15:13:00Z,46.00,54.00
2025-07-22T15:20:00Z,47.00,54.00
2025-07-22T15:23:00Z,47.00,53.00
2025-07-22T15:32:00Z,47.00,54.00
2025-07-22T15:45:00Z,47.00,54.00
2025-07-22T15:52:00Z,47.00,54.00
2025-07-22T16:02:00Z,47.00,54.00
2025-07-22T16:06:00Z,47.00,54.00
2025-07-22T16:07:00Z,47.00,54.00
2025-07-22T16:14:00Z,47.00,54.00
2025-07-22T16:40:00Z,47.00,54.00
2025-07-22T16:55:00Z,47.00,54.10
2025-07-22T17:04:00Z,47.00,54.10
2025-07-22T17:15:00Z,47.00,54.96
2025-07-22T17:18:00Z,47.00,55.00
2025-07-22T17:28:00Z,47.00,55.00
2025-07-22T17:35:00Z,47.00,55.00
2025-07-22T17:42:00Z,45.00,55.00
2025-07-22T17:49:00Z,45.00,55.00
2025-07-22T17:51:00Z,45.00,55.00
2025-07-22T17:54:00Z,45.00,55.00
2025-07-22T17:57:00Z,45.00,55.00
2025-07-22T18:01:00Z,46.00,55.00
2025-07-22T18:02:00Z,46.00,55.00
2025-07-22T18:03:00Z,46.00,55.00
2025-07-22T18:04:00Z,46.00,55.00
2025-07-22T18:11:00Z,46.00,55.00
2025-07-22T18:12:00Z,46.00,55.00
2025-07-22T18:13:00Z,46.00,55.00
2025-07-22T18:22:00Z,46.00,55.00
2025-07-22T18:26:00Z,46.00,55.00
2025-07-22T18:37:00Z,46.00,55.00
2025-07-22T18:38:00Z,47.00,55.00
2025-07-22T18:43:00Z,47.00,55.00
2025-07-22T18:45:00Z,47.00,55.00
2025-07-22T18:46:00Z,47.00,55.00
2025-07-22T18:50:00Z,47.00,55.00
2025-07-22T18:51:00Z,47.00,55.00
2025-07-22T18:52:00Z,47.00,55.00
2025-07-22T18:57:00Z,47.00,55.00
2025-07-22T18:58:00Z,47.00,55.00
2025-07-22T18:59:00Z,47.00,55.00
2025-07-22T19:01:00Z,47.00,55.00
2025-07-22T19:02:00Z,47.00,55.00
2025-07-22T19:03:00Z,47.00,55.00
2025-07-22T19:04:00Z,47.00,55.00
