# event_ticker=KXATPCHALLENGERMATCH-26MAR31MARVIV
# final_score=2-4 RET
# match_winner=Matteo Martineau
# fav_player=Matteo Martineau
# dog_player=Pedro Vives Marcos
# kalshi_date=2026-03-31
timestamp,Matteo Martineau,Pedro Vives Marcos
2026-04-01T03:30:00Z,57.00,
2026-04-01T04:50:00Z,57.00,46.00
2026-04-01T04:58:00Z,57.00,46.00
2026-04-01T05:50:00Z,57.00,46.00
2026-04-01T06:03:00Z,57.00,46.00
2026-04-01T10:27:00Z,57.00,46.00
2026-04-01T12:22:00Z,57.00,46.00
2026-04-01T12:28:00Z,57.00,47.00
2026-04-01T12:35:00Z,57.00,46.66
2026-04-01T13:10:00Z,53.00,46.66
2026-04-01T13:36:00Z,56.98,46.66
2026-04-01T13:39:00Z,56.95,46.66
2026-04-01T13:44:00Z,57.00,46.66
2026-04-01T13:54:00Z,57.00,43.00
2026-04-01T14:12:00Z,56.00,43.00
2026-04-01T14:18:00Z,56.00,47.00
2026-04-01T14:20:00Z,56.00,47.00
2026-04-01T14:22:00Z,56.00,47.00
2026-04-01T14:27:00Z,56.00,47.00
2026-04-01T14:29:00Z,56.00,47.00
2026-04-01T14:33:00Z,55.99,47.00
2026-04-01T14:41:00Z,56.00,47.00
2026-04-01T14:42:00Z,56.00,47.00
2026-04-01T14:49:00Z,56.00,47.00
2026-04-01T14:53:00Z,55.00,47.00
2026-04-01T14:55:00Z,55.00,47.99
2026-04-01T14:56:00Z,54.74,47.00
2026-04-01T14:57:00Z,54.74,47.00
2026-04-01T14:59:00Z,54.62,47.00
2026-04-01T15:00:00Z,54.66,47.00
2026-04-01T15:01:00Z,54.67,47.00
2026-04-01T15:03:00Z,55.00,47.00
2026-04-01T15:04:00Z,54.00,47.00
2026-04-01T15:05:00Z,54.00,48.00
2026-04-01T15:06:00Z,54.00,48.00
2026-04-01T15:07:00Z,54.00,48.00
2026-04-01T15:08:00Z,54.00,48.00
2026-04-01T15:09:00Z,54.00,48.00
2026-04-01T15:10:00Z,54.00,48.00
2026-04-01T15:11:00Z,54.00,48.00
2026-04-01T15:12:00Z,54.00,47.00
2026-04-01T15:13:00Z,55.13,46.87
2026-04-01T15:14:00Z,53.54,47.70
2026-04-01T15:15:00Z,55.06,46.25
2026-04-01T15:16:00Z,53.23,45.00
2026-04-01T15:17:00Z,53.46,45.00
2026-04-01T15:18:00Z,52.00,51.82
2026-04-01T15:19:00Z,45.12,54.00
2026-04-01T15:20:00Z,45.02,59.41
2026-04-01T15:21:00Z,40.93,60.68
2026-04-01T15:22:00Z,36.46,64.20
2026-04-01T15:23:00Z,30.62,66.80
2026-04-01T15:24:00Z,30.00,71.00
2026-04-01T15:25:00Z,30.00,71.00
2026-04-01T15:26:00Z,25.37,75.42
2026-04-01T15:27:00Z,19.24,77.33
2026-04-01T15:28:00Z,20.12,78.99
2026-04-01T15:29:00Z,24.00,76.09
2026-04-01T15:30:00Z,25.89,75.10
2026-04-01T15:31:00Z,27.98,73.77
2026-04-01T15:32:00Z,28.00,72.96
2026-04-01T15:33:00Z,31.80,68.31
2026-04-01T15:34:00Z,32.02,68.65
2026-04-01T15:35:00Z,31.00,71.49
2026-04-01T15:36:00Z,28.45,69.00
2026-04-01T15:37:00Z,30.00,69.79
2026-04-01T15:38:00Z,32.88,68.55
2026-04-01T15:39:00Z,37.77,65.82
2026-04-01T15:40:00Z,30.12,68.50
2026-04-01T15:41:00Z,31.00,72.99
2026-04-01T15:42:00Z,30.91,71.96
2026-04-01T15:43:00Z,33.26,72.87
2026-04-01T15:44:00Z,34.46,70.41
2026-04-01T15:45:00Z,43.72,50.95
2026-04-01T15:46:00Z,84.29,34.30
2026-04-01T15:47:00Z,98.35,1.15
2026-04-01T15:48:00Z,95.19,3.21
2026-04-01T15:49:00Z,94.89,5.37
2026-04-01T15:50:00Z,97.73,2.02
2026-04-01T15:51:00Z,97.40,2.74
2026-04-01T15:52:00Z,97.00,2.74
