# event_ticker=KXATPCHALLENGERMATCH-26MAR24SAFARN
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Roman Safiullin
# fav_player=Gilles Arnaud Bailly
# dog_player=Roman Safiullin
# kalshi_date=2026-03-24
timestamp,Gilles Arnaud Bailly,Roman Safiullin
2026-03-23T23:20:00Z,46.00,
2026-03-24T00:36:00Z,47.00,
2026-03-24T01:28:00Z,46.00,
2026-03-24T02:34:00Z,46.00,55.00
2026-03-24T02:35:00Z,46.00,54.00
2026-03-24T02:44:00Z,46.00,55.00
2026-03-24T02:46:00Z,47.00,55.00
2026-03-24T02:49:00Z,47.00,55.00
2026-03-24T02:55:00Z,47.00,55.00
2026-03-24T04:22:00Z,47.00,56.00
2026-03-24T04:41:00Z,46.00,56.00
2026-03-24T04:46:00Z,46.00,56.00
2026-03-24T04:49:00Z,46.00,56.00
2026-03-24T04:51:00Z,47.00,56.00
2026-03-24T04:53:00Z,47.00,56.00
2026-03-24T05:03:00Z,47.00,56.00
2026-03-24T05:13:00Z,47.00,56.00
2026-03-24T05:17:00Z,47.00,56.00
2026-03-24T05:24:00Z,47.00,56.00
2026-03-24T05:29:00Z,47.00,56.00
2026-03-24T05:30:00Z,47.00,54.00
2026-03-24T05:35:00Z,47.00,56.00
2026-03-24T05:36:00Z,47.00,56.00
2026-03-24T05:37:00Z,47.00,56.00
2026-03-24T05:38:00Z,47.00,56.00
2026-03-24T05:39:00Z,47.00,56.00
2026-03-24T05:42:00Z,47.00,56.00
2026-03-24T05:43:00Z,47.00,56.00
2026-03-24T05:44:00Z,47.00,56.00
2026-03-24T05:54:00Z,47.00,56.00
2026-03-24T05:55:00Z,47.00,56.00
2026-03-24T05:58:00Z,47.00,56.00
2026-03-24T06:01:00Z,47.00,56.00
2026-03-24T06:05:00Z,47.00,56.00
2026-03-24T06:07:00Z,47.00,56.00
2026-03-24T06:12:00Z,47.00,56.00
2026-03-24T06:16:00Z,47.00,56.00
2026-03-24T06:19:00Z,47.00,56.00
2026-03-24T06:22:00Z,47.00,56.72
2026-03-24T06:31:00Z,47.00,57.00
2026-03-24T06:42:00Z,47.00,57.00
2026-03-24T06:46:00Z,47.00,57.00
