# event_ticker=KXATPMATCH-25OCT16BASMPE
# final_score=7-5 RET
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Nikoloz Basilashvili
# kalshi_date=2025-10-16
timestamp,Giovanni Mpetshi Perricard,Nikoloz Basilashvili
2025-10-16T02:57:00Z,64.00,
2025-10-16T03:17:00Z,64.00,
2025-10-16T03:29:00Z,64.00,
2025-10-16T03:32:00Z,64.00,
2025-10-16T03:34:00Z,64.00,37.00
2025-10-16T03:36:00Z,64.00,37.00
2025-10-16T03:49:00Z,64.00,37.00
2025-10-16T03:50:00Z,64.00,37.00
2025-10-16T03:55:00Z,64.00,37.00
2025-10-16T03:58:00Z,64.00,37.00
2025-10-16T04:06:00Z,64.00,38.00
2025-10-16T04:11:00Z,64.00,38.00
2025-10-16T04:17:00Z,64.00,38.00
2025-10-16T04:18:00Z,63.00,38.00
2025-10-16T04:25:00Z,63.00,38.00
2025-10-16T04:28:00Z,63.00,38.00
2025-10-16T04:31:00Z,63.00,38.00
2025-10-16T04:34:00Z,63.00,38.00
2025-10-16T04:47:00Z,63.00,38.00
2025-10-16T04:49:00Z,63.00,38.00
2025-10-16T04:51:00Z,63.00,38.00
2025-10-16T04:57:00Z,63.00,38.00
2025-10-16T04:58:00Z,63.00,38.00
2025-10-16T04:59:00Z,63.00,38.00
2025-10-16T05:04:00Z,62.00,38.00
2025-10-16T05:12:00Z,63.00,38.00
2025-10-16T05:13:00Z,63.00,38.00
2025-10-16T05:20:00Z,63.00,37.00
2025-10-16T05:21:00Z,63.00,38.00
2025-10-16T05:22:00Z,63.00,38.93
2025-10-16T05:28:00Z,62.00,38.93
2025-10-16T05:34:00Z,62.00,39.00
2025-10-16T05:40:00Z,62.00,39.00
2025-10-16T05:42:00Z,62.00,39.00
2025-10-16T05:48:00Z,62.00,39.00
2025-10-16T06:03:00Z,62.00,39.00
2025-10-16T06:06:00Z,62.00,39.00
2025-10-16T06:07:00Z,62.00,39.00
2025-10-16T06:12:00Z,62.00,39.00
2025-10-16T06:13:00Z,62.00,39.00
2025-10-16T06:14:00Z,62.00,39.00
2025-10-16T06:25:00Z,62.00,39.00
2025-10-16T06:26:00Z,62.00,39.00
2025-10-16T06:28:00Z,62.00,39.00
2025-10-16T06:30:00Z,62.00,39.00
2025-10-16T06:41:00Z,62.00,39.00
2025-10-16T06:58:00Z,62.00,39.00
2025-10-16T09:01:00Z,61.56,40.00
2025-10-16T09:02:00Z,60.27,40.00
2025-10-16T09:07:00Z,60.27,40.00
2025-10-16T09:08:00Z,61.00,40.00
2025-10-16T09:11:00Z,61.00,40.00
2025-10-16T09:13:00Z,61.00,40.00
2025-10-16T09:14:00Z,61.50,40.00
2025-10-16T09:23:00Z,61.50,41.00
2025-10-16T09:28:00Z,61.50,41.00
2025-10-16T09:29:00Z,61.00,41.00
2025-10-16T09:32:00Z,61.00,41.00
2025-10-16T09:34:00Z,61.00,41.00
2025-10-16T09:35:00Z,61.00,40.00
2025-10-16T09:42:00Z,61.00,40.00
2025-10-16T09:45:00Z,61.00,40.00
2025-10-16T09:46:00Z,61.00,40.00
2025-10-16T09:47:00Z,61.00,40.00
2025-10-16T09:48:00Z,60.00,40.00
2025-10-16T09:50:00Z,60.00,40.00
2025-10-16T09:51:00Z,60.00,40.00
2025-10-16T09:53:00Z,61.00,40.00
2025-10-16T09:54:00Z,61.00,41.00
2025-10-16T09:57:00Z,61.00,41.00
2025-10-16T10:10:00Z,62.00,41.00
2025-10-16T10:12:00Z,62.68,41.00
2025-10-16T10:25:00Z,63.00,41.00
2025-10-16T10:27:00Z,63.00,38.00
