# event_ticker=KXATPCHALLENGERMATCH-26MAY18KOPALC
# final_score=6-1 7-6(6)
# score_resolution=6-1 7-6
# match_winner=Max Alcala Gurri
# fav_player=Max Alcala Gurri
# dog_player=Sandro Kopp
# kalshi_date=2026-05-18
timestamp,Sandro Kopp,Max Alcala Gurri
2026-05-18T03:32:00Z,41.00,
2026-05-18T05:17:00Z,41.00,
2026-05-18T05:47:00Z,41.00,62.00
2026-05-18T05:57:00Z,41.00,62.00
2026-05-18T05:59:00Z,41.00,63.00
2026-05-18T07:19:00Z,38.00,63.00
2026-05-18T12:08:00Z,38.00,63.00
2026-05-18T13:21:00Z,38.00,63.00
2026-05-18T13:28:00Z,38.00,63.00
2026-05-18T13:33:00Z,38.00,65.00
2026-05-18T13:36:00Z,38.00,65.00
2026-05-18T13:40:00Z,37.00,65.00
2026-05-18T13:54:00Z,38.00,65.00
2026-05-18T13:58:00Z,35.00,65.00
2026-05-18T14:02:00Z,35.00,67.00
2026-05-18T14:03:00Z,35.00,70.00
2026-05-18T14:05:00Z,31.38,71.00
2026-05-18T14:06:00Z,31.38,70.00
2026-05-18T14:07:00Z,29.00,70.00
2026-05-18T14:08:00Z,29.00,69.99
2026-05-18T14:09:00Z,29.00,76.00
2026-05-18T14:10:00Z,29.00,79.00
2026-05-18T14:11:00Z,21.00,79.00
2026-05-18T14:12:00Z,21.00,79.00
2026-05-18T14:13:00Z,24.00,76.00
2026-05-18T14:14:00Z,24.00,78.00
2026-05-18T14:16:00Z,24.00,79.50
2026-05-18T14:17:00Z,19.59,81.00
2026-05-18T14:18:00Z,20.00,81.00
2026-05-18T14:19:00Z,21.00,80.00
2026-05-18T14:20:00Z,21.00,79.18
2026-05-18T14:22:00Z,22.00,79.23
2026-05-18T14:23:00Z,22.63,77.03
2026-05-18T14:24:00Z,25.00,77.03
2026-05-18T14:25:00Z,25.00,78.00
2026-05-18T14:26:00Z,25.00,80.00
2026-05-18T14:27:00Z,21.00,80.00
2026-05-18T14:28:00Z,21.00,79.00
2026-05-18T14:29:00Z,22.00,78.00
2026-05-18T14:30:00Z,21.00,79.00
2026-05-18T14:31:00Z,16.01,81.99
2026-05-18T14:32:00Z,15.00,84.00
2026-05-18T14:33:00Z,16.00,84.00
2026-05-18T14:34:00Z,17.00,84.00
2026-05-18T14:35:00Z,18.98,83.00
2026-05-18T14:36:00Z,18.98,83.00
2026-05-18T14:37:00Z,17.00,83.00
2026-05-18T14:38:00Z,17.00,83.00
2026-05-18T14:39:00Z,17.00,84.00
2026-05-18T14:40:00Z,17.00,84.88
2026-05-18T14:42:00Z,17.00,86.00
2026-05-18T14:43:00Z,17.00,86.00
2026-05-18T14:45:00Z,15.00,86.00
2026-05-18T14:46:00Z,15.89,84.00
2026-05-18T14:47:00Z,15.89,82.00
2026-05-18T14:49:00Z,15.89,83.00
2026-05-18T14:50:00Z,15.89,83.86
2026-05-18T14:51:00Z,15.89,83.95
2026-05-18T14:53:00Z,13.00,86.92
2026-05-18T14:54:00Z,9.00,90.14
2026-05-18T14:55:00Z,7.98,90.14
2026-05-18T14:56:00Z,8.00,92.74
2026-05-18T14:57:00Z,8.00,94.86
2026-05-18T14:58:00Z,4.98,94.86
2026-05-18T14:59:00Z,4.98,95.00
2026-05-18T15:00:00Z,5.00,95.19
2026-05-18T15:01:00Z,5.00,95.00
2026-05-18T15:02:00Z,6.00,94.09
2026-05-18T15:03:00Z,7.00,94.00
2026-05-18T15:04:00Z,7.76,92.89
2026-05-18T15:05:00Z,8.56,92.00
2026-05-18T15:06:00Z,8.60,91.94
2026-05-18T15:07:00Z,9.00,91.00
2026-05-18T15:08:00Z,9.45,89.39
2026-05-18T15:09:00Z,10.05,92.21
2026-05-18T15:10:00Z,7.64,93.83
2026-05-18T15:11:00Z,7.64,93.75
2026-05-18T15:12:00Z,5.02,94.98
2026-05-18T15:13:00Z,4.00,96.01
2026-05-18T15:14:00Z,3.00,97.00
2026-05-18T15:15:00Z,2.37,97.22
2026-05-18T15:16:00Z,1.16,97.90
2026-05-18T15:17:00Z,2.00,98.00
2026-05-18T15:18:00Z,2.00,99.00
2026-05-18T15:19:00Z,2.00,99.00
2026-05-18T15:20:00Z,2.74,97.82
2026-05-18T15:21:00Z,4.00,96.00
2026-05-18T15:22:00Z,4.00,93.58
2026-05-18T15:23:00Z,2.00,98.00
2026-05-18T15:24:00Z,1.00,98.00
2026-05-18T15:25:00Z,3.99,96.00
2026-05-18T15:26:00Z,3.84,96.00
2026-05-18T15:27:00Z,4.74,95.32
2026-05-18T15:28:00Z,6.00,94.00
2026-05-18T15:29:00Z,9.57,91.76
2026-05-18T15:30:00Z,13.25,85.00
2026-05-18T15:31:00Z,13.84,87.93
2026-05-18T15:32:00Z,18.59,82.80
2026-05-18T15:33:00Z,21.18,78.45
2026-05-18T15:34:00Z,21.26,77.41
2026-05-18T15:35:00Z,24.78,74.58
2026-05-18T15:36:00Z,28.66,71.73
2026-05-18T15:37:00Z,28.70,71.77
2026-05-18T15:38:00Z,33.25,70.00
2026-05-18T15:39:00Z,30.44,71.66
2026-05-18T15:40:00Z,30.01,70.39
2026-05-18T15:41:00Z,26.75,72.48
2026-05-18T15:42:00Z,21.24,80.75
2026-05-18T15:43:00Z,20.74,79.92
2026-05-18T15:44:00Z,16.18,87.40
2026-05-18T15:45:00Z,6.49,93.96
2026-05-18T15:46:00Z,2.55,96.73
2026-05-18T15:47:00Z,2.00,97.98
2026-05-18T15:48:00Z,2.00,98.00
2026-05-18T15:49:00Z,4.57,96.81
2026-05-18T15:50:00Z,10.62,91.46
2026-05-18T15:51:00Z,17.22,83.33
2026-05-18T15:52:00Z,18.68,78.47
2026-05-18T15:53:00Z,4.68,91.90
2026-05-18T15:54:00Z,1.00,99.00
