# event_ticker=KXATPMATCH-26MAY12SINPEL
# final_score=6-2 6-3
# match_winner=Jannik Sinner
# fav_player=Jannik Sinner
# dog_player=Andrea Pellegrino
# kalshi_date=2026-05-12
timestamp,Jannik Sinner,Andrea Pellegrino
2026-05-12T01:19:00Z,97.00,
2026-05-12T01:25:00Z,97.00,
2026-05-12T01:27:00Z,97.00,
2026-05-12T01:28:00Z,97.00,
2026-05-12T01:31:00Z,97.00,4.00
2026-05-12T01:36:00Z,97.00,4.00
2026-05-12T01:42:00Z,97.00,4.00
2026-05-12T01:47:00Z,97.00,4.00
2026-05-12T01:48:00Z,97.00,4.00
2026-05-12T01:56:00Z,97.00,4.00
2026-05-12T01:57:00Z,97.00,4.09
2026-05-12T01:58:00Z,97.00,4.00
2026-05-12T02:03:00Z,97.00,4.00
2026-05-12T02:16:00Z,97.00,4.00
2026-05-12T02:31:00Z,97.00,3.00
2026-05-12T02:34:00Z,98.00,2.06
2026-05-12T02:43:00Z,98.00,3.00
2026-05-12T02:54:00Z,98.00,3.00
2026-05-12T02:56:00Z,98.00,3.00
2026-05-12T03:00:00Z,98.00,3.00
2026-05-12T03:03:00Z,98.00,3.00
2026-05-12T03:06:00Z,98.00,3.00
2026-05-12T03:11:00Z,98.00,3.00
2026-05-12T03:17:00Z,98.00,3.00
2026-05-12T03:28:00Z,98.00,3.00
2026-05-12T03:29:00Z,98.00,3.00
2026-05-12T03:31:00Z,98.00,3.00
2026-05-12T03:32:00Z,98.00,3.00
2026-05-12T03:34:00Z,98.00,3.00
2026-05-12T03:35:00Z,98.00,3.00
2026-05-12T03:36:00Z,98.00,3.00
2026-05-12T03:41:00Z,98.00,3.00
2026-05-12T03:46:00Z,98.00,3.00
2026-05-12T03:47:00Z,98.00,3.00
2026-05-12T03:53:00Z,98.00,3.00
2026-05-12T03:57:00Z,98.00,3.00
2026-05-12T04:01:00Z,98.00,3.00
2026-05-12T04:10:00Z,98.00,3.00
2026-05-12T04:11:00Z,98.00,3.00
2026-05-12T04:16:00Z,98.00,2.00
2026-05-12T04:17:00Z,98.00,3.00
2026-05-12T04:21:00Z,98.00,3.00
2026-05-12T04:23:00Z,98.00,3.00
2026-05-12T04:27:00Z,98.00,3.00
2026-05-12T04:33:00Z,98.00,3.00
2026-05-12T04:36:00Z,98.00,3.00
2026-05-12T04:40:00Z,98.00,3.00
2026-05-12T04:47:00Z,98.00,2.61
2026-05-12T04:50:00Z,98.00,3.00
2026-05-12T05:01:00Z,97.00,3.00
2026-05-12T05:03:00Z,97.00,3.00
2026-05-12T05:05:00Z,97.00,3.00
2026-05-12T05:19:00Z,97.00,3.00
2026-05-12T05:24:00Z,97.00,3.00
2026-05-12T05:25:00Z,98.00,3.00
2026-05-12T05:28:00Z,98.00,3.00
2026-05-12T05:29:00Z,98.00,3.00
2026-05-12T05:31:00Z,98.00,3.00
2026-05-12T05:32:00Z,98.00,3.00
2026-05-12T05:34:00Z,98.00,3.00
2026-05-12T05:35:00Z,98.00,3.00
2026-05-12T05:36:00Z,98.00,3.00
2026-05-12T05:37:00Z,98.00,3.00
2026-05-12T05:39:00Z,98.00,3.00
2026-05-12T05:40:00Z,98.00,3.00
2026-05-12T05:41:00Z,98.00,3.00
2026-05-12T05:42:00Z,97.00,3.00
2026-05-12T05:43:00Z,97.00,3.00
2026-05-12T05:46:00Z,97.00,3.00
2026-05-12T05:48:00Z,97.00,3.00
2026-05-12T05:50:00Z,97.00,3.00
2026-05-12T05:53:00Z,97.00,3.00
2026-05-12T05:57:00Z,97.00,3.00
2026-05-12T05:58:00Z,97.00,3.00
2026-05-12T06:02:00Z,97.00,3.00
