# event_ticker=KXATPMATCH-26APR15BORETC
# final_score=6-3 7-6(4)
# score_resolution=6-3 7-6
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-04-15
timestamp,Nuno Borges,Tomas Martin Etcheverry
2026-04-14T21:26:00Z,,72.00
2026-04-14T21:35:00Z,31.00,72.00
2026-04-14T22:17:00Z,31.00,72.00
2026-04-14T22:35:00Z,31.00,72.00
2026-04-14T22:48:00Z,31.00,72.93
2026-04-14T22:49:00Z,31.00,72.00
2026-04-14T22:52:00Z,31.00,72.00
2026-04-14T23:06:00Z,31.00,72.00
2026-04-14T23:28:00Z,31.00,72.00
2026-04-14T23:38:00Z,31.00,72.00
2026-04-14T23:55:00Z,31.00,72.00
2026-04-14T23:56:00Z,31.00,72.00
2026-04-14T23:57:00Z,31.00,73.36
2026-04-15T00:03:00Z,31.00,73.00
2026-04-15T00:14:00Z,30.00,73.00
2026-04-15T00:18:00Z,30.00,73.00
2026-04-15T00:23:00Z,30.00,73.00
2026-04-15T00:44:00Z,30.00,73.00
2026-04-15T00:51:00Z,30.00,73.00
2026-04-15T00:52:00Z,29.83,73.00
2026-04-15T01:06:00Z,27.00,73.92
2026-04-15T01:07:00Z,27.00,74.00
2026-04-15T01:27:00Z,27.00,74.00
2026-04-15T01:36:00Z,28.00,74.00
2026-04-15T01:40:00Z,28.00,74.00
2026-04-15T01:48:00Z,28.00,74.00
2026-04-15T01:52:00Z,28.00,72.00
2026-04-15T01:53:00Z,28.00,74.00
2026-04-15T02:10:00Z,28.00,74.00
2026-04-15T02:26:00Z,28.00,74.00
2026-04-15T02:27:00Z,28.00,74.00
2026-04-15T02:34:00Z,28.00,74.00
2026-04-15T02:40:00Z,28.00,74.00
2026-04-15T02:43:00Z,27.00,74.00
2026-04-15T02:54:00Z,27.00,74.00
2026-04-15T03:03:00Z,27.00,74.00
2026-04-15T03:04:00Z,26.97,74.00
2026-04-15T03:07:00Z,26.97,74.00
2026-04-15T03:22:00Z,26.97,74.00
2026-04-15T03:24:00Z,26.97,74.00
2026-04-15T03:41:00Z,26.97,74.00
2026-04-15T03:54:00Z,26.97,74.00
2026-04-15T04:02:00Z,26.97,74.75
2026-04-15T04:04:00Z,26.97,74.86
2026-04-15T04:08:00Z,26.97,75.00
2026-04-15T04:17:00Z,27.00,75.00
2026-04-15T04:21:00Z,27.00,75.00
2026-04-15T04:22:00Z,26.00,75.00
2026-04-15T04:32:00Z,26.00,75.00
2026-04-15T04:33:00Z,26.00,75.00
2026-04-15T04:36:00Z,26.00,75.00
2026-04-15T04:41:00Z,26.00,75.00
2026-04-15T04:42:00Z,26.00,75.00
2026-04-15T04:44:00Z,25.00,75.00
2026-04-15T04:49:00Z,25.00,75.00
2026-04-15T04:50:00Z,25.00,75.00
2026-04-15T04:52:00Z,25.00,75.00
2026-04-15T04:53:00Z,25.00,76.00
2026-04-15T04:54:00Z,25.00,76.00
2026-04-15T04:58:00Z,25.00,76.00
2026-04-15T04:59:00Z,26.00,76.00
2026-04-15T05:00:00Z,26.00,76.00
2026-04-15T05:02:00Z,26.00,76.00
2026-04-15T05:06:00Z,26.00,76.00
2026-04-15T05:07:00Z,26.00,76.00
2026-04-15T05:08:00Z,24.04,76.00
2026-04-15T05:09:00Z,24.04,76.00
2026-04-15T05:10:00Z,25.00,76.00
2026-04-15T05:16:00Z,25.00,76.00
2026-04-15T05:17:00Z,25.00,76.00
2026-04-15T05:20:00Z,25.00,76.00
2026-04-15T05:23:00Z,25.68,76.00
2026-04-15T05:24:00Z,25.68,76.00
2026-04-15T05:25:00Z,25.68,76.00
2026-04-15T05:27:00Z,25.68,76.00
2026-04-15T05:28:00Z,25.68,76.00
2026-04-15T05:32:00Z,25.68,76.00
2026-04-15T05:35:00Z,25.68,76.00
2026-04-15T05:36:00Z,25.68,76.00
2026-04-15T05:38:00Z,25.68,76.00
2026-04-15T05:41:00Z,25.68,76.00
2026-04-15T05:45:00Z,25.68,76.00
2026-04-15T05:47:00Z,26.00,76.00
2026-04-15T05:58:00Z,26.00,76.00
2026-04-15T05:59:00Z,25.00,76.00
2026-04-15T06:00:00Z,25.00,76.00
2026-04-15T06:01:00Z,25.00,75.00
2026-04-15T06:05:00Z,25.00,76.00
2026-04-15T06:06:00Z,25.00,76.00
2026-04-15T06:10:00Z,25.58,76.00
2026-04-15T06:12:00Z,26.00,76.00
2026-04-15T06:21:00Z,26.00,76.00
2026-04-15T06:22:00Z,26.00,76.00
2026-04-15T06:25:00Z,26.00,76.00
2026-04-15T06:29:00Z,26.00,76.00
2026-04-15T06:52:00Z,26.00,76.00
2026-04-15T06:59:00Z,26.00,76.00
2026-04-15T07:02:00Z,26.00,76.00
2026-04-15T07:03:00Z,25.00,76.00
2026-04-15T07:05:00Z,25.00,76.00
2026-04-15T07:06:00Z,25.00,76.00
2026-04-15T07:07:00Z,25.00,76.00
2026-04-15T07:10:00Z,25.00,76.00
2026-04-15T07:11:00Z,25.00,76.00
2026-04-15T07:12:00Z,25.00,75.00
2026-04-15T07:13:00Z,25.00,75.00
2026-04-15T07:14:00Z,25.00,76.00
2026-04-15T07:17:00Z,25.00,75.00
2026-04-15T07:18:00Z,26.00,75.00
2026-04-15T07:27:00Z,26.00,76.00
2026-04-15T07:29:00Z,26.00,76.00
2026-04-15T07:30:00Z,26.00,76.00
2026-04-15T07:32:00Z,26.00,76.00
2026-04-15T07:34:00Z,26.00,76.00
2026-04-15T07:48:00Z,26.00,76.00
2026-04-15T07:51:00Z,26.00,75.00
2026-04-15T07:53:00Z,26.00,75.00
2026-04-15T07:58:00Z,26.00,76.00
2026-04-15T08:00:00Z,26.00,76.00
2026-04-15T08:02:00Z,26.00,75.00
2026-04-15T08:09:00Z,26.00,76.00
2026-04-15T08:14:00Z,26.00,76.00
2026-04-15T08:25:00Z,26.00,76.00
2026-04-15T08:32:00Z,26.00,75.00
2026-04-15T08:33:00Z,26.00,74.00
2026-04-15T08:34:00Z,26.00,74.00
2026-04-15T08:35:00Z,26.00,74.00
2026-04-15T08:40:00Z,26.00,74.00
2026-04-15T08:42:00Z,26.00,75.00
2026-04-15T08:43:00Z,26.00,75.00
2026-04-15T08:44:00Z,26.00,75.00
2026-04-15T08:46:00Z,26.00,75.00
2026-04-15T08:47:00Z,26.00,75.00
2026-04-15T08:49:00Z,26.00,75.00
2026-04-15T08:56:00Z,26.00,75.00
2026-04-15T08:59:00Z,26.00,75.00
2026-04-15T09:02:00Z,26.00,76.00
2026-04-15T09:03:00Z,25.00,76.00
2026-04-15T09:04:00Z,25.00,76.00
2026-04-15T09:05:00Z,25.00,76.00
2026-04-15T09:06:00Z,25.00,76.00
2026-04-15T09:07:00Z,25.00,75.78
2026-04-15T09:08:00Z,25.00,75.78
2026-04-15T09:09:00Z,25.00,76.00
2026-04-15T09:10:00Z,23.00,80.19
2026-04-15T09:11:00Z,25.85,79.34
2026-04-15T09:12:00Z,25.56,75.27
2026-04-15T09:13:00Z,28.23,72.67
2026-04-15T09:14:00Z,28.92,73.00
2026-04-15T09:15:00Z,27.60,73.99
2026-04-15T09:16:00Z,27.55,73.72
2026-04-15T09:17:00Z,29.50,72.75
2026-04-15T09:18:00Z,27.32,74.00
2026-04-15T09:19:00Z,29.00,72.00
2026-04-15T09:20:00Z,30.64,71.00
2026-04-15T09:21:00Z,31.00,70.00
2026-04-15T09:22:00Z,31.00,70.00
2026-04-15T09:23:00Z,33.31,68.06
2026-04-15T09:24:00Z,32.47,67.99
2026-04-15T09:25:00Z,29.98,70.93
2026-04-15T09:26:00Z,32.61,70.47
2026-04-15T09:27:00Z,29.56,74.99
2026-04-15T09:28:00Z,27.03,73.09
2026-04-15T09:29:00Z,30.47,71.30
2026-04-15T09:30:00Z,32.00,70.00
2026-04-15T09:31:00Z,32.00,70.00
2026-04-15T09:32:00Z,34.21,67.05
2026-04-15T09:33:00Z,32.15,69.72
2026-04-15T09:34:00Z,30.10,71.61
2026-04-15T09:35:00Z,30.19,72.00
2026-04-15T09:36:00Z,31.23,71.95
2026-04-15T09:37:00Z,30.00,70.87
2026-04-15T09:38:00Z,30.00,70.10
2026-04-15T09:39:00Z,31.31,69.12
2026-04-15T09:40:00Z,29.20,72.61
2026-04-15T09:41:00Z,30.51,70.21
2026-04-15T09:42:00Z,22.89,75.99
2026-04-15T09:43:00Z,23.47,77.68
2026-04-15T09:44:00Z,25.73,74.53
2026-04-15T09:45:00Z,30.13,71.00
2026-04-15T09:46:00Z,33.00,69.10
2026-04-15T09:47:00Z,34.68,62.55
2026-04-15T09:48:00Z,42.54,59.42
2026-04-15T09:49:00Z,44.39,56.61
2026-04-15T09:50:00Z,43.16,65.13
2026-04-15T09:51:00Z,35.91,66.26
2026-04-15T09:52:00Z,47.03,55.95
2026-04-15T09:53:00Z,51.03,47.43
2026-04-15T09:54:00Z,57.14,46.85
2026-04-15T09:55:00Z,54.89,49.46
2026-04-15T09:56:00Z,52.74,48.48
2026-04-15T09:57:00Z,52.07,49.34
2026-04-15T09:58:00Z,48.15,52.55
2026-04-15T09:59:00Z,48.14,52.37
2026-04-15T10:00:00Z,52.09,48.25
2026-04-15T10:01:00Z,54.29,46.29
2026-04-15T10:02:00Z,56.49,44.64
2026-04-15T10:03:00Z,55.27,44.94
2026-04-15T10:04:00Z,56.13,44.96
2026-04-15T10:05:00Z,57.00,44.79
2026-04-15T10:06:00Z,54.21,46.07
2026-04-15T10:07:00Z,57.14,44.91
2026-04-15T10:08:00Z,63.12,38.21
2026-04-15T10:09:00Z,69.72,32.62
2026-04-15T10:10:00Z,70.94,29.59
2026-04-15T10:11:00Z,70.79,34.35
2026-04-15T10:12:00Z,61.52,41.29
2026-04-15T10:13:00Z,55.65,46.79
2026-04-15T10:14:00Z,53.28,47.98
2026-04-15T10:15:00Z,51.24,48.03
2026-04-15T10:16:00Z,54.55,44.70
2026-04-15T10:17:00Z,54.67,44.06
2026-04-15T10:18:00Z,55.18,45.96
2026-04-15T10:19:00Z,53.87,46.61
