# event_ticker=KXATPCHALLENGERMATCH-26APR14COMFER
# final_score=3-6 6-3 6-2
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Francisco Comesana
# kalshi_date=2026-04-14
timestamp,Frederico Ferreira Silva,Francisco Comesana
2026-04-14T00:24:00Z,23.00,
2026-04-14T00:51:00Z,23.00,76.00
2026-04-14T00:52:00Z,23.00,77.00
2026-04-14T00:53:00Z,23.00,77.00
2026-04-14T00:54:00Z,23.00,77.00
2026-04-14T01:04:00Z,23.00,77.00
2026-04-14T01:08:00Z,23.00,77.00
2026-04-14T01:40:00Z,23.00,77.00
2026-04-14T02:29:00Z,23.00,77.00
2026-04-14T03:33:00Z,23.00,77.00
2026-04-14T03:37:00Z,23.00,77.00
2026-04-14T03:45:00Z,23.00,77.00
2026-04-14T04:05:00Z,23.00,77.00
2026-04-14T04:20:00Z,24.00,77.00
2026-04-14T04:49:00Z,24.00,76.00
2026-04-14T05:06:00Z,24.00,77.00
2026-04-14T05:25:00Z,24.00,77.00
2026-04-14T05:26:00Z,24.00,77.00
2026-04-14T05:47:00Z,23.00,77.00
2026-04-14T06:02:00Z,24.00,77.00
2026-04-14T06:15:00Z,24.00,77.00
2026-04-14T06:23:00Z,24.00,77.00
2026-04-14T06:27:00Z,24.00,77.00
2026-04-14T06:38:00Z,24.00,77.00
2026-04-14T07:23:00Z,24.00,77.00
2026-04-14T09:23:00Z,24.00,77.00
2026-04-14T10:48:00Z,24.00,77.00
2026-04-14T10:59:00Z,24.00,77.00
2026-04-14T11:01:00Z,24.00,77.00
2026-04-14T11:21:00Z,25.00,77.00
2026-04-14T11:31:00Z,25.00,78.00
2026-04-14T11:48:00Z,25.00,78.00
2026-04-14T11:55:00Z,25.00,78.00
2026-04-14T11:57:00Z,25.00,78.00
2026-04-14T12:00:00Z,25.00,78.00
2026-04-14T12:02:00Z,25.00,78.00
2026-04-14T12:06:00Z,24.00,76.00
2026-04-14T12:08:00Z,24.00,78.00
2026-04-14T12:09:00Z,24.00,78.00
2026-04-14T12:10:00Z,24.00,78.00
2026-04-14T12:11:00Z,24.00,78.01
