# event_ticker=KXATPCHALLENGERMATCH-26MAY12DOSROD
# final_score=5-7 6-4 6-2
# score_resolution=7-5 4-6 2-6
# match_winner=Chris Rodesch
# fav_player=Stefan Dostanic
# dog_player=Chris Rodesch
# kalshi_date=2026-05-12
timestamp,Stefan Dostanic,Chris Rodesch
2026-05-13T02:06:00Z,,66.00
2026-05-13T02:44:00Z,36.00,66.00
2026-05-13T04:18:00Z,36.00,66.00
2026-05-13T04:33:00Z,36.00,66.00
2026-05-13T04:43:00Z,36.00,66.00
2026-05-13T05:11:00Z,36.00,66.00
2026-05-13T06:36:00Z,36.00,66.00
2026-05-13T07:59:00Z,36.00,66.00
2026-05-13T08:44:00Z,36.00,66.00
2026-05-13T09:33:00Z,36.00,66.00
2026-05-13T09:37:00Z,36.00,66.00
2026-05-13T09:38:00Z,36.00,66.00
2026-05-13T10:37:00Z,36.00,66.00
2026-05-13T10:39:00Z,36.00,66.00
2026-05-13T10:43:00Z,36.00,66.00
2026-05-13T10:44:00Z,36.00,66.00
2026-05-13T10:49:00Z,36.00,66.00
2026-05-13T10:50:00Z,36.00,66.00
2026-05-13T11:42:00Z,37.94,65.92
2026-05-13T11:43:00Z,38.07,65.92
2026-05-13T11:44:00Z,38.00,65.92
2026-05-13T11:45:00Z,40.00,66.00
2026-05-13T11:46:00Z,40.00,74.48
2026-05-13T11:49:00Z,40.00,74.48
2026-05-13T11:50:00Z,37.00,68.00
2026-05-13T11:51:00Z,39.00,69.27
2026-05-13T11:52:00Z,42.10,59.00
2026-05-13T11:53:00Z,35.57,67.34
2026-05-13T11:54:00Z,34.09,67.00
2026-05-13T11:55:00Z,30.54,68.17
2026-05-13T11:56:00Z,32.36,68.80
2026-05-13T11:57:00Z,31.45,72.55
2026-05-13T11:58:00Z,21.82,72.57
2026-05-13T11:59:00Z,18.93,82.00
2026-05-13T12:00:00Z,18.93,81.57
2026-05-13T12:01:00Z,23.75,80.06
2026-05-13T12:02:00Z,19.64,80.00
2026-05-13T12:03:00Z,22.77,77.68
2026-05-13T12:04:00Z,35.00,64.59
2026-05-13T12:05:00Z,32.15,67.22
2026-05-13T12:06:00Z,31.23,69.39
2026-05-13T12:07:00Z,32.32,67.65
2026-05-13T12:08:00Z,27.99,73.23
2026-05-13T12:09:00Z,21.00,80.15
2026-05-13T12:10:00Z,19.76,79.59
2026-05-13T12:11:00Z,20.00,82.31
2026-05-13T12:12:00Z,24.35,77.00
2026-05-13T12:13:00Z,30.93,74.15
2026-05-13T12:14:00Z,31.45,66.67
2026-05-13T12:15:00Z,31.00,71.07
2026-05-13T12:16:00Z,27.00,72.34
2026-05-13T12:17:00Z,34.88,66.06
2026-05-13T12:18:00Z,36.33,64.96
2026-05-13T12:19:00Z,38.97,59.92
2026-05-13T12:20:00Z,49.31,49.13
2026-05-13T12:21:00Z,53.65,46.15
2026-05-13T12:22:00Z,59.95,42.94
