# event_ticker=KXATPCHALLENGERMATCH-26FEB13PIEDOS
# final_score=7-6(4) 6-1
# score_resolution=7-6 6-1
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Olaf Pieczkowski
# kalshi_date=2026-02-13
timestamp,Stefan Dostanic,Olaf Pieczkowski
2026-02-13T05:27:00Z,,22.00
2026-02-13T05:32:00Z,,22.00
2026-02-13T05:37:00Z,,22.00
2026-02-13T05:42:00Z,,22.00
2026-02-13T05:48:00Z,,22.00
2026-02-13T05:58:00Z,,22.00
2026-02-13T06:02:00Z,,19.00
2026-02-13T06:03:00Z,,22.00
2026-02-13T06:08:00Z,,22.00
2026-02-13T06:13:00Z,,22.00
2026-02-13T06:15:00Z,81.00,22.00
2026-02-13T06:18:00Z,81.00,22.00
2026-02-13T06:22:00Z,81.00,22.00
2026-02-13T06:24:00Z,81.00,20.50
2026-02-13T06:29:00Z,81.00,22.00
2026-02-13T06:33:00Z,81.00,22.00
2026-02-13T06:34:00Z,81.00,22.00
2026-02-13T06:36:00Z,81.00,22.00
2026-02-13T06:39:00Z,81.00,22.00
2026-02-13T06:44:00Z,81.00,22.00
2026-02-13T06:45:00Z,81.00,22.00
2026-02-13T06:49:00Z,81.00,22.00
2026-02-13T06:54:00Z,81.00,22.00
2026-02-13T06:59:00Z,81.00,22.00
2026-02-13T07:04:00Z,81.00,22.00
2026-02-13T07:09:00Z,81.00,22.00
2026-02-13T07:12:00Z,81.00,22.00
2026-02-13T07:14:00Z,81.00,22.00
2026-02-13T07:19:00Z,81.00,22.00
2026-02-13T07:22:00Z,81.00,22.00
2026-02-13T07:24:00Z,81.00,22.00
2026-02-13T07:29:00Z,81.00,22.00
2026-02-13T07:35:00Z,81.00,22.00
2026-02-13T07:40:00Z,81.00,22.00
2026-02-13T07:45:00Z,81.00,22.00
2026-02-13T07:46:00Z,81.00,22.00
2026-02-13T07:50:00Z,81.00,22.00
2026-02-13T07:55:00Z,81.00,22.00
2026-02-13T08:00:00Z,81.00,22.00
2026-02-13T08:05:00Z,81.00,22.00
2026-02-13T08:10:00Z,81.00,22.00
2026-02-13T08:15:00Z,81.00,22.00
2026-02-13T08:20:00Z,81.00,22.00
2026-02-13T08:25:00Z,81.00,22.00
2026-02-13T08:36:00Z,81.00,22.00
2026-02-13T08:41:00Z,81.00,22.00
2026-02-13T08:46:00Z,81.00,22.00
2026-02-13T08:47:00Z,81.00,22.00
2026-02-13T08:51:00Z,81.00,22.00
2026-02-13T08:56:00Z,81.00,22.00
2026-02-13T09:07:00Z,81.00,21.00
2026-02-13T09:22:00Z,81.00,21.00
2026-02-13T09:27:00Z,81.00,21.00
2026-02-13T09:53:00Z,81.00,24.94
2026-02-13T10:12:00Z,77.00,24.94
2026-02-13T10:16:00Z,77.00,24.94
2026-02-13T11:12:00Z,77.00,24.00
2026-02-13T11:27:00Z,76.00,24.00
2026-02-13T11:54:00Z,76.90,24.00
2026-02-13T12:49:00Z,76.90,26.00
2026-02-13T13:03:00Z,76.90,26.00
