# event_ticker=KXATPCHALLENGERMATCH-26MAY26FELARN
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Kilian Feldbausch
# fav_player=Gilles Arnaud Bailly
# dog_player=Kilian Feldbausch
# kalshi_date=2026-05-26
timestamp,Kilian Feldbausch,Gilles Arnaud Bailly
2026-05-25T22:54:00Z,62.00,
2026-05-26T01:34:00Z,62.00,39.63
2026-05-26T02:05:00Z,62.00,39.72
2026-05-26T02:30:00Z,62.00,40.00
2026-05-26T03:29:00Z,62.00,39.00
2026-05-26T03:31:00Z,61.00,40.83
2026-05-26T04:12:00Z,61.00,40.00
2026-05-26T06:26:00Z,61.00,40.00
2026-05-26T06:31:00Z,61.00,40.00
2026-05-26T06:39:00Z,61.00,40.00
2026-05-26T07:10:00Z,61.00,40.00
2026-05-26T07:56:00Z,61.00,40.00
2026-05-26T07:59:00Z,61.00,40.00
2026-05-26T08:01:00Z,61.32,40.00
2026-05-26T08:08:00Z,61.32,40.00
2026-05-26T08:10:00Z,64.38,40.00
2026-05-26T08:11:00Z,64.03,33.34
2026-05-26T08:12:00Z,66.00,33.34
2026-05-26T08:13:00Z,66.09,32.00
2026-05-26T08:14:00Z,67.00,32.00
2026-05-26T08:15:00Z,69.71,32.00
2026-05-26T08:17:00Z,75.88,30.00
2026-05-26T08:19:00Z,80.00,21.00
2026-05-26T08:21:00Z,79.00,23.53
2026-05-26T08:22:00Z,77.00,23.00
2026-05-26T08:23:00Z,78.00,23.00
2026-05-26T08:24:00Z,80.00,25.00
2026-05-26T08:25:00Z,80.00,21.47
2026-05-26T08:26:00Z,82.00,20.00
2026-05-26T08:29:00Z,80.04,20.00
2026-05-26T08:30:00Z,82.00,17.00
2026-05-26T08:31:00Z,82.00,16.00
2026-05-26T08:32:00Z,84.00,16.71
2026-05-26T08:33:00Z,84.00,19.00
2026-05-26T08:35:00Z,80.92,21.00
2026-05-26T08:36:00Z,80.92,22.00
2026-05-26T08:37:00Z,80.92,23.00
2026-05-26T08:38:00Z,75.91,24.68
2026-05-26T08:39:00Z,72.56,28.08
2026-05-26T08:41:00Z,79.00,28.08
2026-05-26T08:42:00Z,79.00,24.00
2026-05-26T08:43:00Z,79.00,24.00
2026-05-26T08:44:00Z,79.00,24.00
2026-05-26T08:45:00Z,82.70,24.00
2026-05-26T08:48:00Z,83.00,18.00
2026-05-26T08:49:00Z,83.00,18.00
2026-05-26T08:50:00Z,83.00,18.00
2026-05-26T08:51:00Z,83.00,18.00
2026-05-26T08:53:00Z,83.00,18.00
2026-05-26T08:54:00Z,83.25,18.00
2026-05-26T08:55:00Z,85.04,16.89
2026-05-26T08:56:00Z,87.97,16.89
2026-05-26T08:57:00Z,86.00,13.00
2026-05-26T08:58:00Z,88.00,11.00
2026-05-26T08:59:00Z,87.00,13.00
2026-05-26T09:00:00Z,87.99,12.00
2026-05-26T09:01:00Z,87.19,12.00
2026-05-26T09:02:00Z,86.00,14.05
2026-05-26T09:03:00Z,89.00,10.00
2026-05-26T09:06:00Z,88.00,11.16
2026-05-26T09:07:00Z,88.00,12.00
2026-05-26T09:08:00Z,89.00,12.00
2026-05-26T09:09:00Z,92.18,5.70
2026-05-26T09:10:00Z,96.00,4.00
2026-05-26T09:11:00Z,97.00,5.00
2026-05-26T09:12:00Z,93.27,5.77
2026-05-26T09:13:00Z,90.00,9.46
2026-05-26T09:14:00Z,88.34,11.45
2026-05-26T09:15:00Z,89.02,12.38
2026-05-26T09:16:00Z,89.88,12.38
2026-05-26T09:17:00Z,89.88,5.70
2026-05-26T09:18:00Z,95.04,6.00
2026-05-26T09:19:00Z,96.00,6.00
2026-05-26T09:20:00Z,94.44,6.87
2026-05-26T09:21:00Z,96.74,6.00
2026-05-26T09:22:00Z,97.95,2.27
2026-05-26T09:23:00Z,98.09,1.50
2026-05-26T09:24:00Z,99.00,3.00
2026-05-26T09:25:00Z,99.00,3.00
2026-05-26T09:26:00Z,99.00,3.00
2026-05-26T09:27:00Z,99.00,1.02
2026-05-26T09:28:00Z,99.00,1.02
2026-05-26T09:29:00Z,99.00,1.02
2026-05-26T09:30:00Z,99.00,1.00
2026-05-26T09:31:00Z,99.00,1.00
