# event_ticker=KXATPCHALLENGERMATCH-26MAR11VANSCH
# final_score=6-3 6-3
# match_winner=Luca Van Assche
# fav_player=Luca Van Assche
# dog_player=Tristan Schoolkate
# kalshi_date=2026-03-11
timestamp,Luca Van Assche,Tristan Schoolkate
2026-03-11T12:47:00Z,,32.00
2026-03-11T12:54:00Z,69.00,31.00
2026-03-11T15:04:00Z,68.00,31.00
2026-03-11T15:13:00Z,68.00,31.00
2026-03-11T15:54:00Z,68.00,31.00
2026-03-11T16:17:00Z,68.00,32.00
2026-03-11T16:20:00Z,68.00,32.00
2026-03-11T16:48:00Z,69.00,32.00
2026-03-11T17:53:00Z,69.00,32.00
2026-03-11T18:05:00Z,69.00,31.00
2026-03-11T18:37:00Z,69.00,31.00
2026-03-11T18:56:00Z,69.00,31.00
2026-03-11T19:18:00Z,69.00,31.66
2026-03-11T19:58:00Z,69.00,31.66
2026-03-11T20:06:00Z,68.00,31.66
2026-03-11T20:38:00Z,69.00,31.66
2026-03-11T20:55:00Z,69.00,31.66
2026-03-11T21:09:00Z,69.00,31.66
2026-03-11T21:14:00Z,69.00,31.66
2026-03-11T21:28:00Z,69.00,31.66
2026-03-11T21:30:00Z,69.00,31.66
2026-03-11T21:49:00Z,69.00,31.66
2026-03-11T21:51:00Z,69.00,31.66
2026-03-11T22:18:00Z,69.00,31.66
2026-03-11T22:19:00Z,69.04,31.66
2026-03-11T22:23:00Z,71.99,31.66
2026-03-11T22:24:00Z,71.99,31.00
2026-03-11T22:26:00Z,71.00,31.00
2026-03-11T22:34:00Z,71.00,30.00
2026-03-11T22:45:00Z,71.00,30.00
2026-03-11T22:46:00Z,71.00,30.00
2026-03-11T22:47:00Z,71.00,30.00
2026-03-11T22:53:00Z,71.00,30.00
2026-03-11T22:59:00Z,71.00,30.00
2026-03-11T23:00:00Z,71.00,30.00
2026-03-11T23:03:00Z,70.58,31.00
2026-03-11T23:04:00Z,70.58,31.00
2026-03-11T23:06:00Z,70.58,31.00
2026-03-11T23:07:00Z,70.58,32.00
2026-03-11T23:08:00Z,67.00,33.00
2026-03-11T23:09:00Z,67.00,35.46
2026-03-11T23:10:00Z,64.00,36.00
2026-03-11T23:11:00Z,64.05,36.00
2026-03-11T23:13:00Z,70.00,36.00
2026-03-11T23:14:00Z,71.08,29.28
2026-03-11T23:15:00Z,69.27,30.81
2026-03-11T23:16:00Z,67.16,32.00
2026-03-11T23:17:00Z,67.16,29.66
2026-03-11T23:18:00Z,69.96,28.94
2026-03-11T23:19:00Z,71.00,31.97
2026-03-11T23:20:00Z,71.00,33.00
2026-03-11T23:21:00Z,71.00,33.00
2026-03-11T23:22:00Z,71.00,33.00
2026-03-11T23:23:00Z,69.00,33.00
2026-03-11T23:24:00Z,69.00,31.45
2026-03-11T23:25:00Z,69.96,30.29
2026-03-11T23:26:00Z,70.00,30.01
2026-03-11T23:27:00Z,70.00,32.00
2026-03-11T23:28:00Z,68.00,31.79
2026-03-11T23:29:00Z,69.00,31.79
2026-03-11T23:30:00Z,68.83,31.00
2026-03-11T23:32:00Z,68.00,32.00
2026-03-11T23:33:00Z,69.00,32.00
2026-03-11T23:34:00Z,68.12,32.55
2026-03-11T23:35:00Z,68.12,33.00
2026-03-11T23:36:00Z,69.00,33.00
2026-03-11T23:37:00Z,67.04,32.89
2026-03-11T23:38:00Z,67.04,33.00
2026-03-11T23:39:00Z,68.00,32.99
2026-03-11T23:41:00Z,68.00,33.00
2026-03-11T23:42:00Z,67.20,33.00
2026-03-11T23:43:00Z,68.00,32.00
2026-03-11T23:44:00Z,68.00,32.00
2026-03-11T23:45:00Z,67.00,33.00
2026-03-11T23:46:00Z,66.22,33.00
2026-03-11T23:47:00Z,66.22,33.00
2026-03-11T23:48:00Z,66.22,32.90
2026-03-11T23:49:00Z,69.00,32.16
2026-03-11T23:50:00Z,69.00,33.00
2026-03-11T23:51:00Z,69.00,33.00
2026-03-11T23:52:00Z,69.00,33.00
2026-03-11T23:53:00Z,69.00,33.00
2026-03-11T23:54:00Z,69.00,33.00
2026-03-11T23:55:00Z,69.00,33.00
2026-03-11T23:56:00Z,69.99,33.00
2026-03-11T23:57:00Z,70.00,33.00
2026-03-12T00:00:00Z,70.00,31.93
2026-03-12T00:01:00Z,70.00,30.20
2026-03-12T00:02:00Z,64.58,33.85
2026-03-12T00:03:00Z,68.03,32.84
2026-03-12T00:04:00Z,71.96,29.55
2026-03-12T00:05:00Z,70.00,31.24
2026-03-12T00:06:00Z,65.96,35.34
2026-03-12T00:07:00Z,65.00,36.00
2026-03-12T00:08:00Z,67.99,34.00
2026-03-12T00:09:00Z,63.02,34.19
2026-03-12T00:10:00Z,67.06,34.59
2026-03-12T00:11:00Z,68.00,32.99
2026-03-12T00:12:00Z,74.00,27.99
2026-03-12T00:13:00Z,77.76,27.06
2026-03-12T00:14:00Z,72.89,29.48
2026-03-12T00:15:00Z,79.75,26.00
2026-03-12T00:16:00Z,82.48,18.00
2026-03-12T00:17:00Z,83.00,15.58
2026-03-12T00:18:00Z,84.32,14.60
2026-03-12T00:19:00Z,83.70,18.35
2026-03-12T00:20:00Z,85.86,15.00
2026-03-12T00:21:00Z,87.87,12.23
2026-03-12T00:22:00Z,88.61,13.00
2026-03-12T00:23:00Z,89.48,12.20
2026-03-12T00:24:00Z,89.56,10.26
2026-03-12T00:25:00Z,90.43,9.93
2026-03-12T00:26:00Z,91.00,10.00
2026-03-12T00:27:00Z,89.64,10.85
2026-03-12T00:28:00Z,88.83,11.94
2026-03-12T00:29:00Z,84.35,16.30
2026-03-12T00:30:00Z,80.97,19.29
2026-03-12T00:31:00Z,85.35,18.92
2026-03-12T00:32:00Z,86.88,13.51
2026-03-12T00:33:00Z,90.18,13.80
2026-03-12T00:34:00Z,90.34,9.93
2026-03-12T00:35:00Z,92.70,9.00
2026-03-12T00:36:00Z,90.70,10.16
2026-03-12T00:37:00Z,91.00,9.00
2026-03-12T00:38:00Z,90.09,9.00
2026-03-12T00:39:00Z,91.08,10.00
2026-03-12T00:40:00Z,92.00,8.79
2026-03-12T00:41:00Z,92.00,7.97
2026-03-12T00:42:00Z,92.00,10.67
2026-03-12T00:43:00Z,89.24,11.41
2026-03-12T00:44:00Z,89.32,11.16
2026-03-12T00:45:00Z,91.54,10.00
2026-03-12T00:46:00Z,92.00,9.11
2026-03-12T00:47:00Z,90.94,10.00
2026-03-12T00:48:00Z,93.01,8.07
2026-03-12T00:49:00Z,90.06,12.10
2026-03-12T00:50:00Z,88.00,13.12
2026-03-12T00:51:00Z,88.71,11.79
2026-03-12T00:52:00Z,90.05,9.49
2026-03-12T00:53:00Z,91.02,9.93
2026-03-12T00:54:00Z,92.98,9.40
2026-03-12T00:55:00Z,89.79,12.64
2026-03-12T00:56:00Z,88.97,12.99
2026-03-12T00:57:00Z,94.28,6.90
