# event_ticker=KXATPCHALLENGERMATCH-26MAR03MALCHO
# final_score=7-6(3) 6-1
# score_resolution=7-6 6-1
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Mae Malige
# kalshi_date=2026-03-03
timestamp,Jan Choinski,Mae Malige
2026-03-03T02:00:00Z,68.00,
2026-03-03T02:32:00Z,68.00,
2026-03-03T02:40:00Z,68.00,
2026-03-03T03:50:00Z,68.00,34.00
2026-03-03T04:04:00Z,68.00,34.00
2026-03-03T04:25:00Z,68.91,34.00
2026-03-03T04:33:00Z,69.00,34.00
2026-03-03T05:44:00Z,68.51,34.00
2026-03-03T05:48:00Z,69.00,34.00
2026-03-03T05:52:00Z,69.00,34.00
2026-03-03T05:59:00Z,69.00,34.00
2026-03-03T06:06:00Z,69.00,34.00
2026-03-03T06:20:00Z,69.00,31.00
2026-03-03T06:27:00Z,69.00,31.00
2026-03-03T06:29:00Z,69.00,31.00
2026-03-03T06:47:00Z,68.00,31.00
2026-03-03T06:57:00Z,68.00,31.00
2026-03-03T07:04:00Z,68.00,31.00
2026-03-03T07:09:00Z,68.00,31.00
2026-03-03T07:26:00Z,68.00,31.00
2026-03-03T07:34:00Z,68.00,31.00
2026-03-03T08:24:00Z,68.00,31.00
2026-03-03T08:41:00Z,68.00,31.00
2026-03-03T09:04:00Z,68.00,31.00
2026-03-03T09:17:00Z,69.00,31.00
2026-03-03T09:21:00Z,69.00,34.00
2026-03-03T09:49:00Z,69.00,34.00
2026-03-03T11:23:00Z,68.00,34.00
2026-03-03T11:29:00Z,68.00,34.00
2026-03-03T11:37:00Z,68.00,34.00
2026-03-03T11:38:00Z,68.00,34.00
2026-03-03T11:41:00Z,68.59,34.00
2026-03-03T11:49:00Z,68.00,34.00
2026-03-03T11:50:00Z,68.00,34.00
2026-03-03T11:51:00Z,68.00,34.00
2026-03-03T11:54:00Z,68.49,34.00
2026-03-03T12:05:00Z,68.49,34.00
2026-03-03T12:24:00Z,69.00,34.00
2026-03-03T12:33:00Z,69.00,34.00
2026-03-03T12:39:00Z,69.00,34.00
2026-03-03T12:51:00Z,69.00,34.00
2026-03-03T12:55:00Z,69.00,34.00
2026-03-03T12:56:00Z,69.00,34.00
2026-03-03T13:00:00Z,69.00,34.00
2026-03-03T13:04:00Z,69.00,34.00
2026-03-03T13:05:00Z,69.00,34.00
2026-03-03T13:06:00Z,69.00,31.00
2026-03-03T13:11:00Z,69.00,31.00
2026-03-03T13:12:00Z,69.00,34.00
2026-03-03T13:13:00Z,69.00,34.00
2026-03-03T13:16:00Z,69.00,34.00
2026-03-03T13:17:00Z,69.09,30.91
2026-03-03T13:18:00Z,76.80,23.01
2026-03-03T13:19:00Z,79.00,23.31
2026-03-03T13:20:00Z,80.08,21.00
2026-03-03T13:21:00Z,82.18,18.26
2026-03-03T13:22:00Z,82.19,19.01
2026-03-03T13:23:00Z,81.76,18.98
2026-03-03T13:24:00Z,83.61,18.42
2026-03-03T13:25:00Z,81.00,21.67
2026-03-03T13:26:00Z,79.65,21.01
2026-03-03T13:27:00Z,83.13,19.17
2026-03-03T13:28:00Z,83.10,17.93
2026-03-03T13:29:00Z,81.00,20.92
2026-03-03T13:30:00Z,80.40,20.58
2026-03-03T13:31:00Z,75.12,28.09
2026-03-03T13:32:00Z,68.28,31.84
2026-03-03T13:33:00Z,72.89,28.44
2026-03-03T13:34:00Z,68.91,30.23
2026-03-03T13:35:00Z,62.21,37.11
2026-03-03T13:36:00Z,62.00,38.52
2026-03-03T13:37:00Z,61.01,39.94
2026-03-03T13:38:00Z,58.90,41.87
2026-03-03T13:39:00Z,63.98,38.59
2026-03-03T13:40:00Z,63.67,40.94
2026-03-03T13:41:00Z,64.74,37.02
2026-03-03T13:42:00Z,70.00,32.26
2026-03-03T13:43:00Z,65.61,34.52
2026-03-03T13:44:00Z,67.88,38.00
2026-03-03T13:45:00Z,61.00,39.45
2026-03-03T13:46:00Z,61.12,40.00
2026-03-03T13:47:00Z,59.45,41.33
2026-03-03T13:48:00Z,63.79,36.03
2026-03-03T13:49:00Z,59.99,40.44
2026-03-03T13:50:00Z,63.03,36.73
2026-03-03T13:51:00Z,66.93,38.35
2026-03-03T13:52:00Z,58.88,41.04
2026-03-03T13:53:00Z,56.36,42.86
2026-03-03T13:54:00Z,56.37,45.00
2026-03-03T13:55:00Z,57.05,45.00
2026-03-03T13:56:00Z,62.46,45.00
2026-03-03T13:57:00Z,69.00,34.70
2026-03-03T13:58:00Z,67.00,32.81
2026-03-03T13:59:00Z,62.36,35.00
2026-03-03T14:00:00Z,58.00,41.44
2026-03-03T14:01:00Z,57.30,42.87
2026-03-03T14:02:00Z,60.24,38.00
