# event_ticker=KXATPCHALLENGERMATCH-26MAR24GEOMAR
# final_score=6-3 2-6 6-3
# score_resolution=3-6 6-2 3-6
# match_winner=Ivan Marrero Curbelo
# fav_player=Benjamin Thomas George
# dog_player=Ivan Marrero Curbelo
# kalshi_date=2026-03-24
timestamp,Benjamin Thomas George,Ivan Marrero Curbelo
2026-03-24T11:29:00Z,,67.00
2026-03-24T12:03:00Z,34.00,67.00
2026-03-24T12:20:00Z,34.00,67.00
2026-03-24T12:38:00Z,33.00,69.90
2026-03-24T13:00:00Z,33.00,70.00
2026-03-24T14:26:00Z,33.00,70.00
2026-03-24T14:51:00Z,33.00,69.00
2026-03-24T15:08:00Z,33.00,69.00
2026-03-24T15:31:00Z,33.00,69.00
2026-03-24T15:44:00Z,33.00,68.62
2026-03-24T15:59:00Z,33.00,67.00
2026-03-24T16:02:00Z,33.00,68.00
2026-03-24T16:24:00Z,33.00,68.00
2026-03-24T16:52:00Z,33.00,68.00
2026-03-24T17:37:00Z,33.00,68.00
2026-03-24T17:49:00Z,33.00,67.00
2026-03-24T18:01:00Z,33.00,67.00
2026-03-24T18:48:00Z,32.00,67.00
2026-03-24T19:18:00Z,32.00,68.00
2026-03-24T19:23:00Z,32.00,68.00
2026-03-24T19:24:00Z,32.00,68.00
2026-03-24T19:30:00Z,32.00,68.00
2026-03-24T19:44:00Z,32.47,68.00
2026-03-24T19:51:00Z,32.47,70.00
2026-03-24T19:53:00Z,32.47,70.00
2026-03-24T20:10:00Z,30.00,69.00
2026-03-24T20:11:00Z,33.00,69.00
2026-03-24T20:14:00Z,33.00,69.00
2026-03-24T20:20:00Z,33.00,69.00
2026-03-24T20:32:00Z,33.00,69.00
2026-03-24T20:34:00Z,31.00,69.00
2026-03-24T20:35:00Z,32.00,69.00
2026-03-24T20:37:00Z,33.00,69.00
2026-03-24T20:39:00Z,33.00,69.00
2026-03-24T20:41:00Z,30.00,69.00
2026-03-24T20:42:00Z,30.38,70.18
2026-03-24T20:43:00Z,38.26,61.19
2026-03-24T20:44:00Z,33.24,70.00
2026-03-24T20:45:00Z,33.24,70.00
2026-03-24T20:46:00Z,28.95,70.00
2026-03-24T20:47:00Z,27.34,72.48
2026-03-24T20:48:00Z,26.00,74.00
2026-03-24T20:49:00Z,17.59,81.47
2026-03-24T20:50:00Z,21.15,80.00
2026-03-24T20:51:00Z,22.68,78.02
2026-03-24T20:52:00Z,20.06,78.00
2026-03-24T20:53:00Z,19.00,80.03
2026-03-24T20:54:00Z,21.96,80.19
2026-03-24T20:55:00Z,17.59,81.26
2026-03-24T20:56:00Z,16.95,84.00
2026-03-24T20:57:00Z,21.00,84.00
2026-03-24T20:58:00Z,21.99,79.00
2026-03-24T20:59:00Z,27.00,77.70
2026-03-24T21:00:00Z,24.08,75.47
2026-03-24T21:01:00Z,25.60,78.00
2026-03-24T21:02:00Z,24.06,75.80
2026-03-24T21:03:00Z,31.11,71.50
2026-03-24T21:04:00Z,33.00,68.00
2026-03-24T21:05:00Z,34.00,64.00
2026-03-24T21:06:00Z,31.00,69.00
2026-03-24T21:07:00Z,28.00,77.00
2026-03-24T21:08:00Z,22.52,77.87
2026-03-24T21:09:00Z,26.62,77.07
2026-03-24T21:10:00Z,23.33,78.12
2026-03-24T21:11:00Z,28.61,73.59
2026-03-24T21:12:00Z,35.41,67.98
2026-03-24T21:13:00Z,36.31,66.71
2026-03-24T21:14:00Z,38.32,65.13
2026-03-24T21:15:00Z,29.57,72.52
2026-03-24T21:16:00Z,24.34,77.53
2026-03-24T21:17:00Z,20.87,82.31
2026-03-24T21:18:00Z,17.11,82.96
2026-03-24T21:19:00Z,15.96,85.29
2026-03-24T21:20:00Z,19.15,83.53
2026-03-24T21:21:00Z,14.86,84.60
2026-03-24T21:22:00Z,15.00,85.34
2026-03-24T21:23:00Z,14.75,85.52
2026-03-24T21:24:00Z,14.22,86.06
2026-03-24T21:25:00Z,15.00,87.00
2026-03-24T21:26:00Z,14.32,88.00
2026-03-24T21:27:00Z,10.89,89.00
2026-03-24T21:28:00Z,7.29,91.29
2026-03-24T21:29:00Z,10.17,90.16
2026-03-24T21:30:00Z,7.45,90.84
2026-03-24T21:31:00Z,8.00,92.01
2026-03-24T21:32:00Z,8.33,90.04
2026-03-24T21:33:00Z,12.05,89.36
2026-03-24T21:34:00Z,15.42,85.35
2026-03-24T21:35:00Z,12.26,91.96
2026-03-24T21:36:00Z,8.65,90.54
2026-03-24T21:37:00Z,8.95,90.50
2026-03-24T21:38:00Z,13.03,85.85
2026-03-24T21:39:00Z,14.85,86.79
2026-03-24T21:40:00Z,13.98,88.75
2026-03-24T21:41:00Z,11.54,91.15
2026-03-24T21:42:00Z,12.99,90.91
2026-03-24T21:43:00Z,10.95,88.35
2026-03-24T21:44:00Z,18.13,85.16
2026-03-24T21:45:00Z,20.40,80.43
2026-03-24T21:46:00Z,20.89,80.84
2026-03-24T21:47:00Z,23.41,77.86
2026-03-24T21:48:00Z,18.32,80.86
2026-03-24T21:49:00Z,19.66,83.00
2026-03-24T21:50:00Z,24.04,76.19
2026-03-24T21:51:00Z,22.31,78.22
2026-03-24T21:52:00Z,25.30,75.29
2026-03-24T21:53:00Z,21.79,80.76
2026-03-24T21:54:00Z,17.12,82.86
2026-03-24T21:55:00Z,18.29,81.96
2026-03-24T21:56:00Z,21.13,78.65
2026-03-24T21:57:00Z,22.53,76.88
2026-03-24T21:58:00Z,22.85,77.70
2026-03-24T21:59:00Z,24.00,78.00
2026-03-24T22:00:00Z,23.15,78.65
2026-03-24T22:01:00Z,20.99,78.92
2026-03-24T22:02:00Z,25.90,73.57
2026-03-24T22:03:00Z,31.51,69.05
2026-03-24T22:04:00Z,35.55,62.78
2026-03-24T22:05:00Z,42.04,61.46
2026-03-24T22:06:00Z,48.13,56.44
2026-03-24T22:07:00Z,45.76,55.45
2026-03-24T22:08:00Z,47.51,55.78
2026-03-24T22:09:00Z,48.63,55.88
2026-03-24T22:10:00Z,43.76,56.68
2026-03-24T22:11:00Z,51.79,55.10
2026-03-24T22:12:00Z,49.33,54.68
2026-03-24T22:13:00Z,53.43,46.30
2026-03-24T22:14:00Z,56.42,49.47
2026-03-24T22:15:00Z,47.75,52.45
2026-03-24T22:16:00Z,49.90,51.78
2026-03-24T22:17:00Z,46.70,56.25
2026-03-24T22:18:00Z,45.15,56.31
2026-03-24T22:19:00Z,47.12,57.19
2026-03-24T22:20:00Z,45.94,56.27
2026-03-24T22:21:00Z,47.41,55.43
2026-03-24T22:22:00Z,50.00,51.50
2026-03-24T22:23:00Z,43.79,54.85
2026-03-24T22:24:00Z,33.96,66.58
2026-03-24T22:25:00Z,25.32,70.51
2026-03-24T22:26:00Z,26.40,73.82
2026-03-24T22:27:00Z,24.76,78.05
2026-03-24T22:28:00Z,22.68,78.68
2026-03-24T22:29:00Z,21.56,79.62
2026-03-24T22:30:00Z,25.13,76.73
2026-03-24T22:31:00Z,26.95,74.79
2026-03-24T22:32:00Z,23.10,79.94
2026-03-24T22:33:00Z,21.24,78.36
2026-03-24T22:34:00Z,27.54,72.75
2026-03-24T22:35:00Z,29.64,71.68
2026-03-24T22:36:00Z,37.46,66.02
2026-03-24T22:37:00Z,43.37,58.51
2026-03-24T22:38:00Z,48.85,51.72
2026-03-24T22:39:00Z,39.17,62.28
2026-03-24T22:40:00Z,41.75,61.14
2026-03-24T22:41:00Z,37.99,67.50
2026-03-24T22:42:00Z,31.92,68.27
2026-03-24T22:43:00Z,29.29,71.57
2026-03-24T22:44:00Z,27.86,77.16
2026-03-24T22:45:00Z,26.32,73.97
2026-03-24T22:46:00Z,26.32,76.65
2026-03-24T22:47:00Z,23.62,76.14
2026-03-24T22:48:00Z,17.30,79.47
2026-03-24T22:49:00Z,16.96,83.45
2026-03-24T22:50:00Z,19.30,82.34
2026-03-24T22:51:00Z,21.90,79.04
2026-03-24T22:52:00Z,24.40,75.78
2026-03-24T22:53:00Z,24.82,75.64
2026-03-24T22:54:00Z,19.17,81.51
2026-03-24T22:55:00Z,14.23,86.20
2026-03-24T22:56:00Z,9.36,90.92
2026-03-24T22:57:00Z,8.07,92.04
2026-03-24T22:58:00Z,4.90,95.31
2026-03-24T22:59:00Z,2.45,98.07
2026-03-24T23:00:00Z,1.21,98.52
2026-03-24T23:01:00Z,1.00,99.00
2026-03-24T23:02:00Z,1.00,99.00
