# event_ticker=KXATPMATCH-26JAN14MEDMEN
# final_score=6-1 3-6 6-3
# score_resolution=1-6 6-3 3-6
# match_winner=Jakub Mensik
# fav_player=Hamad Medjedovic
# dog_player=Jakub Mensik
# kalshi_date=2026-01-14
timestamp,Hamad Medjedovic,Jakub Mensik
2026-01-13T21:02:00Z,,58.00
2026-01-13T21:38:00Z,,56.00
2026-01-13T21:43:00Z,43.00,56.00
2026-01-13T22:00:00Z,43.00,57.00
2026-01-13T22:28:00Z,43.00,57.00
2026-01-13T23:32:00Z,43.00,55.00
2026-01-14T00:01:00Z,43.00,55.00
2026-01-14T00:34:00Z,43.00,55.00
2026-01-14T01:13:00Z,43.00,55.00
2026-01-14T01:26:00Z,43.00,55.00
2026-01-14T01:28:00Z,43.00,55.00
2026-01-14T01:29:00Z,45.00,55.00
2026-01-14T01:32:00Z,42.00,55.00
2026-01-14T01:34:00Z,42.00,55.00
2026-01-14T01:46:00Z,45.00,55.00
2026-01-14T01:48:00Z,45.00,55.00
2026-01-14T01:49:00Z,45.00,58.00
2026-01-14T02:01:00Z,45.00,58.00
2026-01-14T03:05:00Z,45.00,58.00
2026-01-14T03:26:00Z,45.00,58.00
2026-01-14T03:30:00Z,45.00,58.00
2026-01-14T03:42:00Z,45.00,58.00
2026-01-14T03:44:00Z,44.00,58.00
2026-01-14T03:45:00Z,44.00,58.00
2026-01-14T03:48:00Z,44.00,58.00
2026-01-14T03:49:00Z,44.00,56.65
2026-01-14T04:16:00Z,44.00,58.00
2026-01-14T04:19:00Z,44.00,58.00
2026-01-14T04:23:00Z,44.56,58.00
2026-01-14T04:24:00Z,44.56,56.00
2026-01-14T04:26:00Z,44.56,58.00
2026-01-14T04:31:00Z,44.56,58.00
2026-01-14T04:41:00Z,45.00,58.00
2026-01-14T04:45:00Z,45.00,58.00
2026-01-14T04:46:00Z,45.00,58.00
2026-01-14T04:49:00Z,44.83,58.00
2026-01-14T04:50:00Z,45.00,56.00
2026-01-14T04:51:00Z,45.00,58.00
2026-01-14T04:53:00Z,45.00,58.00
2026-01-14T04:54:00Z,45.00,58.00
2026-01-14T05:01:00Z,45.00,58.00
2026-01-14T05:06:00Z,45.00,58.00
2026-01-14T05:08:00Z,45.00,58.00
2026-01-14T05:17:00Z,45.00,58.00
2026-01-14T05:23:00Z,45.00,58.00
2026-01-14T05:30:00Z,45.00,58.00
2026-01-14T05:36:00Z,45.00,55.00
2026-01-14T05:44:00Z,45.00,58.00
2026-01-14T05:45:00Z,45.00,58.00
