# event_ticker=KXATPMATCH-25OCT13BLADUC
# final_score=6-3 6-4
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Ugo Blanchet
# kalshi_date=2025-10-13
timestamp,James Duckworth,Ugo Blanchet
2025-10-12T23:32:00Z,,51.00
2025-10-12T23:39:00Z,,51.74
2025-10-12T23:43:00Z,,52.00
2025-10-13T00:03:00Z,49.00,52.00
2025-10-13T00:04:00Z,49.00,51.00
2025-10-13T01:13:00Z,49.00,51.00
2025-10-13T01:17:00Z,49.00,52.00
2025-10-13T01:46:00Z,49.00,52.00
2025-10-13T01:48:00Z,50.00,50.08
2025-10-13T02:07:00Z,50.00,50.24
2025-10-13T02:13:00Z,50.00,51.00
2025-10-13T02:41:00Z,50.00,51.00
2025-10-13T02:47:00Z,50.00,51.00
2025-10-13T03:06:00Z,51.00,51.00
2025-10-13T03:10:00Z,51.00,51.00
2025-10-13T03:12:00Z,51.00,51.00
2025-10-13T03:21:00Z,51.00,51.00
2025-10-13T03:35:00Z,51.00,51.00
2025-10-13T03:44:00Z,51.00,51.00
2025-10-13T03:45:00Z,51.00,51.00
2025-10-13T03:51:00Z,50.76,51.00
2025-10-13T04:14:00Z,50.76,50.00
2025-10-13T04:20:00Z,50.76,50.00
2025-10-13T04:27:00Z,50.76,50.00
2025-10-13T04:30:00Z,50.76,50.22
2025-10-13T04:48:00Z,50.76,51.00
2025-10-13T04:51:00Z,48.93,51.05
2025-10-13T04:53:00Z,48.93,52.00
2025-10-13T04:54:00Z,48.93,52.00
2025-10-13T04:55:00Z,48.93,52.00
2025-10-13T04:56:00Z,48.93,52.00
2025-10-13T04:57:00Z,48.93,52.00
2025-10-13T05:00:00Z,48.93,53.00
2025-10-13T05:13:00Z,45.30,54.86
2025-10-13T05:14:00Z,45.72,53.64
2025-10-13T05:17:00Z,47.00,54.00
2025-10-13T05:18:00Z,47.00,54.00
2025-10-13T05:22:00Z,47.00,53.00
2025-10-13T05:23:00Z,47.00,53.00
2025-10-13T05:27:00Z,47.00,53.00
2025-10-13T05:43:00Z,47.00,53.00
2025-10-13T05:46:00Z,47.00,54.00
2025-10-13T05:48:00Z,47.00,54.00
2025-10-13T05:51:00Z,47.00,54.00
2025-10-13T05:52:00Z,47.00,54.00
2025-10-13T06:06:00Z,47.00,54.00
2025-10-13T06:08:00Z,47.00,54.00
2025-10-13T06:10:00Z,47.00,54.00
2025-10-13T06:11:00Z,47.00,54.78
2025-10-13T06:13:00Z,44.38,56.00
2025-10-13T06:14:00Z,45.00,56.00
2025-10-13T06:15:00Z,45.00,55.00
2025-10-13T06:23:00Z,45.00,55.00
2025-10-13T06:33:00Z,45.00,55.00
2025-10-13T06:52:00Z,45.00,55.00
2025-10-13T06:57:00Z,46.00,55.00
2025-10-13T07:02:00Z,45.00,55.00
2025-10-13T07:04:00Z,45.00,55.00
2025-10-13T07:13:00Z,45.00,56.00
2025-10-13T07:35:00Z,45.00,55.00
2025-10-13T07:36:00Z,45.00,56.00
2025-10-13T07:42:00Z,45.00,56.00
2025-10-13T07:54:00Z,46.00,56.00
2025-10-13T08:09:00Z,44.00,56.00
2025-10-13T08:13:00Z,44.00,56.00
2025-10-13T08:14:00Z,44.00,56.00
2025-10-13T08:16:00Z,43.13,56.70
2025-10-13T08:21:00Z,43.13,56.00
2025-10-13T08:26:00Z,43.13,57.00
2025-10-13T08:28:00Z,43.13,57.00
2025-10-13T08:30:00Z,43.13,57.00
2025-10-13T08:35:00Z,44.02,56.00
2025-10-13T08:37:00Z,44.02,56.00
2025-10-13T08:39:00Z,45.00,56.00
2025-10-13T08:42:00Z,45.00,56.00
2025-10-13T08:44:00Z,45.00,56.00
2025-10-13T08:45:00Z,45.00,56.00
2025-10-13T08:46:00Z,45.00,56.00
2025-10-13T08:47:00Z,45.00,56.00
2025-10-13T08:55:00Z,45.00,57.00
