# event_ticker=KXATPCHALLENGERMATCH-26APR07VILDLF
# final_score=4-6 6-3 6-1
# score_resolution=6-4 3-6 1-6
# match_winner=Gonzalo Villanueva
# fav_player=Santiago De la Fuente
# dog_player=Gonzalo Villanueva
# kalshi_date=2026-04-07
timestamp,Santiago De la Fuente,Gonzalo Villanueva
2026-04-07T02:04:00Z,38.00,68.00
2026-04-07T02:12:00Z,38.00,62.00
2026-04-07T02:42:00Z,38.00,67.00
2026-04-07T02:43:00Z,38.00,62.00
2026-04-07T02:45:00Z,38.00,67.00
2026-04-07T04:16:00Z,33.89,67.00
2026-04-07T04:22:00Z,34.00,67.00
2026-04-07T04:42:00Z,34.00,70.00
2026-04-07T05:13:00Z,30.00,70.00
2026-04-07T05:49:00Z,30.00,70.00
2026-04-07T06:34:00Z,30.00,70.00
2026-04-07T07:51:00Z,30.00,71.00
2026-04-07T08:10:00Z,30.00,71.85
2026-04-07T10:52:00Z,30.00,71.85
2026-04-07T11:19:00Z,30.00,71.00
2026-04-07T12:11:00Z,29.00,71.00
2026-04-07T12:41:00Z,29.00,71.18
2026-04-07T12:42:00Z,29.00,72.00
2026-04-07T12:43:00Z,29.00,71.00
2026-04-07T13:01:00Z,29.00,71.00
2026-04-07T13:13:00Z,29.00,71.60
2026-04-07T13:20:00Z,29.00,71.00
2026-04-07T13:30:00Z,29.00,71.00
2026-04-07T13:31:00Z,29.00,72.00
2026-04-07T13:40:00Z,29.00,72.00
2026-04-07T13:41:00Z,29.00,72.00
2026-04-07T13:43:00Z,30.05,68.04
2026-04-07T13:44:00Z,32.00,67.88
2026-04-07T13:45:00Z,35.00,67.88
2026-04-07T13:46:00Z,34.00,67.88
2026-04-07T13:47:00Z,29.22,72.21
2026-04-07T13:49:00Z,27.82,76.00
2026-04-07T13:50:00Z,29.77,76.00
2026-04-07T13:51:00Z,33.00,68.91
2026-04-07T13:52:00Z,33.00,68.00
2026-04-07T13:53:00Z,35.00,68.00
2026-04-07T13:55:00Z,36.77,66.08
2026-04-07T13:56:00Z,36.83,62.50
2026-04-07T13:57:00Z,35.00,62.50
2026-04-07T13:59:00Z,38.00,67.86
2026-04-07T14:00:00Z,38.00,64.00
2026-04-07T14:01:00Z,33.00,64.00
2026-04-07T14:02:00Z,33.00,71.60
2026-04-07T14:03:00Z,34.00,71.60
2026-04-07T14:04:00Z,32.12,71.60
2026-04-07T14:05:00Z,29.03,71.94
2026-04-07T14:06:00Z,18.36,78.57
2026-04-07T14:07:00Z,19.26,78.57
2026-04-07T14:08:00Z,19.78,83.00
2026-04-07T14:09:00Z,23.32,75.30
2026-04-07T14:10:00Z,31.47,70.00
2026-04-07T14:11:00Z,39.92,70.00
2026-04-07T14:12:00Z,39.49,61.00
2026-04-07T14:13:00Z,40.00,61.00
2026-04-07T14:14:00Z,42.01,58.75
2026-04-07T14:15:00Z,49.94,55.65
