# event_ticker=KXATPCHALLENGERMATCH-26MAY30KRUERH
# final_score=6-3 2-6 6-4
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Mathys Erhard
# kalshi_date=2026-05-30
timestamp,Martin Krumich,Mathys Erhard
2026-05-30T02:35:00Z,70.00,
2026-05-30T03:13:00Z,70.00,
2026-05-30T04:37:00Z,70.00,
2026-05-30T04:55:00Z,71.00,
2026-05-30T05:17:00Z,71.00,
2026-05-30T05:27:00Z,71.00,31.00
2026-05-30T06:29:00Z,70.00,31.00
2026-05-30T07:46:00Z,70.00,31.00
2026-05-30T09:00:00Z,70.00,31.00
2026-05-30T12:30:00Z,70.00,31.00
2026-05-30T12:44:00Z,70.00,32.00
2026-05-30T12:53:00Z,70.00,32.00
2026-05-30T13:13:00Z,69.00,32.00
2026-05-30T13:17:00Z,69.00,33.00
2026-05-30T13:19:00Z,70.00,33.00
2026-05-30T13:25:00Z,70.00,33.00
2026-05-30T13:30:00Z,70.00,33.00
2026-05-30T13:49:00Z,70.00,33.00
2026-05-30T13:54:00Z,69.00,33.00
2026-05-30T13:57:00Z,69.95,33.00
2026-05-30T14:11:00Z,69.95,30.00
2026-05-30T14:14:00Z,70.00,30.00
2026-05-30T14:19:00Z,70.00,30.00
2026-05-30T14:20:00Z,67.00,34.00
2026-05-30T14:21:00Z,68.00,36.33
2026-05-30T14:22:00Z,69.70,30.32
2026-05-30T14:23:00Z,71.21,30.48
2026-05-30T14:25:00Z,72.39,27.51
2026-05-30T14:27:00Z,76.00,27.51
2026-05-30T14:28:00Z,78.00,20.00
2026-05-30T14:29:00Z,79.99,19.43
2026-05-30T14:30:00Z,83.00,18.00
2026-05-30T14:31:00Z,84.00,18.00
2026-05-30T14:32:00Z,86.00,18.00
2026-05-30T14:33:00Z,86.00,18.00
2026-05-30T14:34:00Z,87.00,16.13
2026-05-30T14:35:00Z,88.00,17.98
2026-05-30T14:36:00Z,88.00,17.98
2026-05-30T14:37:00Z,85.80,18.00
2026-05-30T14:38:00Z,85.80,16.00
2026-05-30T14:40:00Z,84.12,16.00
2026-05-30T14:41:00Z,84.67,17.00
2026-05-30T14:42:00Z,84.00,17.83
2026-05-30T14:43:00Z,84.00,17.80
2026-05-30T14:44:00Z,84.00,15.56
2026-05-30T14:45:00Z,86.00,16.00
2026-05-30T14:46:00Z,85.00,16.41
2026-05-30T14:47:00Z,85.00,16.00
2026-05-30T14:48:00Z,83.00,16.00
2026-05-30T14:49:00Z,82.00,19.00
2026-05-30T14:50:00Z,84.12,18.00
2026-05-30T14:51:00Z,86.00,18.00
2026-05-30T14:52:00Z,86.00,15.00
2026-05-30T14:53:00Z,86.00,15.00
2026-05-30T14:54:00Z,86.00,18.00
2026-05-30T14:55:00Z,83.00,18.00
2026-05-30T14:56:00Z,84.50,17.83
2026-05-30T14:57:00Z,83.00,19.00
2026-05-30T14:58:00Z,86.00,19.00
2026-05-30T14:59:00Z,86.00,19.00
2026-05-30T15:00:00Z,86.87,19.00
2026-05-30T15:01:00Z,87.00,15.00
2026-05-30T15:02:00Z,88.13,15.00
2026-05-30T15:03:00Z,88.50,15.00
2026-05-30T15:05:00Z,86.08,14.40
2026-05-30T15:06:00Z,86.00,16.78
2026-05-30T15:07:00Z,83.63,16.78
2026-05-30T15:08:00Z,82.07,18.31
2026-05-30T15:09:00Z,83.10,18.00
2026-05-30T15:10:00Z,82.18,18.00
2026-05-30T15:11:00Z,82.00,19.00
2026-05-30T15:12:00Z,83.00,19.03
2026-05-30T15:13:00Z,85.71,13.86
2026-05-30T15:14:00Z,88.22,12.00
2026-05-30T15:15:00Z,88.63,11.10
2026-05-30T15:16:00Z,85.00,16.03
2026-05-30T15:17:00Z,85.00,17.94
2026-05-30T15:18:00Z,86.97,15.81
2026-05-30T15:19:00Z,84.80,17.73
2026-05-30T15:20:00Z,81.65,19.72
2026-05-30T15:21:00Z,82.00,20.00
2026-05-30T15:22:00Z,83.98,17.77
2026-05-30T15:23:00Z,82.14,18.83
2026-05-30T15:24:00Z,84.00,17.00
2026-05-30T15:25:00Z,86.22,17.00
2026-05-30T15:26:00Z,87.65,14.73
2026-05-30T15:27:00Z,90.75,10.79
2026-05-30T15:28:00Z,91.00,7.44
2026-05-30T15:29:00Z,90.77,11.04
2026-05-30T15:30:00Z,87.19,13.48
2026-05-30T15:31:00Z,84.82,14.15
2026-05-30T15:32:00Z,83.82,17.51
2026-05-30T15:33:00Z,83.82,17.13
2026-05-30T15:34:00Z,84.00,15.29
2026-05-30T15:35:00Z,84.00,16.39
2026-05-30T15:36:00Z,83.29,17.00
2026-05-30T15:37:00Z,83.00,21.84
2026-05-30T15:38:00Z,73.27,24.16
2026-05-30T15:39:00Z,69.98,29.36
2026-05-30T15:40:00Z,70.51,29.10
2026-05-30T15:41:00Z,68.10,31.94
2026-05-30T15:42:00Z,67.00,33.41
2026-05-30T15:43:00Z,66.00,34.00
2026-05-30T15:44:00Z,62.47,36.18
