# event_ticker=KXATPMATCH-25JUL15RINPAS
# final_score=6-1 7-5
# score_resolution=1-6 5-7
# match_winner=Francesco Passaro
# fav_player=Arthur Rinderknech
# dog_player=Francesco Passaro
# kalshi_date=2025-07-15
timestamp,Arthur Rinderknech,Francesco Passaro
2025-07-15T01:47:00Z,46.00,
2025-07-15T04:14:00Z,46.00,
2025-07-15T05:04:00Z,47.28,
2025-07-15T05:05:00Z,47.28,53.00
2025-07-15T05:07:00Z,47.28,53.00
2025-07-15T06:04:00Z,48.00,53.00
2025-07-15T12:01:00Z,22.94,79.00
2025-07-15T12:35:00Z,22.94,99.00
