# event_ticker=KXATPCHALLENGERMATCH-26FEB18ZANLA
# final_score=6-2 6-7(5) 6-4
# score_resolution=6-2 6-7 6-4
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Nicolas Zanellato
# kalshi_date=2026-02-18
timestamp,Juan Manuel La Serna,Nicolas Zanellato
2026-02-18T03:23:00Z,79.00,
2026-02-18T03:57:00Z,79.00,
2026-02-18T04:29:00Z,79.00,
2026-02-18T04:40:00Z,79.00,
2026-02-18T04:53:00Z,79.00,
2026-02-18T05:43:00Z,79.00,
2026-02-18T06:07:00Z,79.00,
2026-02-18T06:09:00Z,79.00,
2026-02-18T06:30:00Z,79.00,
2026-02-18T06:35:00Z,79.00,24.00
2026-02-18T08:12:00Z,80.00,24.00
2026-02-18T08:44:00Z,80.00,24.00
2026-02-18T08:57:00Z,79.00,24.00
2026-02-18T10:07:00Z,80.00,24.00
2026-02-18T10:48:00Z,80.00,24.00
2026-02-18T10:50:00Z,80.00,24.00
2026-02-18T10:51:00Z,80.00,24.00
2026-02-18T11:48:00Z,80.00,24.00
2026-02-18T12:08:00Z,80.00,24.00
2026-02-18T12:18:00Z,80.00,24.00
2026-02-18T12:51:00Z,80.00,24.00
2026-02-18T12:53:00Z,80.00,24.00
2026-02-18T13:02:00Z,80.00,24.00
2026-02-18T13:04:00Z,80.00,24.00
2026-02-18T13:10:00Z,80.00,23.86
2026-02-18T13:11:00Z,80.00,24.00
2026-02-18T13:12:00Z,80.00,24.00
2026-02-18T13:15:00Z,80.98,21.00
2026-02-18T13:17:00Z,81.00,21.00
2026-02-18T13:18:00Z,83.00,16.14
2026-02-18T13:19:00Z,88.00,13.00
2026-02-18T13:20:00Z,88.00,12.73
2026-02-18T13:21:00Z,89.45,11.08
2026-02-18T13:22:00Z,88.00,8.83
2026-02-18T13:23:00Z,88.00,12.00
2026-02-18T13:24:00Z,90.20,10.00
2026-02-18T13:26:00Z,90.20,8.00
2026-02-18T13:27:00Z,90.02,10.43
2026-02-18T13:28:00Z,90.02,10.00
2026-02-18T13:29:00Z,90.02,10.53
2026-02-18T13:30:00Z,92.00,10.00
2026-02-18T13:31:00Z,89.89,7.00
2026-02-18T13:32:00Z,91.00,8.00
2026-02-18T13:33:00Z,91.00,9.35
2026-02-18T13:34:00Z,91.00,9.00
2026-02-18T13:36:00Z,91.00,8.51
2026-02-18T13:37:00Z,92.00,9.00
2026-02-18T13:38:00Z,92.00,10.00
2026-02-18T13:39:00Z,89.03,11.98
2026-02-18T13:40:00Z,88.33,10.00
2026-02-18T13:41:00Z,88.33,11.00
2026-02-18T13:42:00Z,88.33,13.97
2026-02-18T13:43:00Z,88.33,18.75
2026-02-18T13:44:00Z,88.33,12.46
2026-02-18T13:45:00Z,91.00,13.00
