# event_ticker=KXATPCHALLENGERMATCH-26APR28SVAHUR
# final_score=6-2 7-6(8)
# score_resolution=2-6 6-7
# match_winner=Hubert Hurkacz
# fav_player=Zachary Svajda
# dog_player=Hubert Hurkacz
# kalshi_date=2026-04-28
timestamp,Zachary Svajda,Hubert Hurkacz
2026-04-28T05:28:00Z,19.00,
2026-04-28T06:03:00Z,19.00,83.00
2026-04-28T07:14:00Z,19.00,84.00
2026-04-28T07:17:00Z,19.00,84.00
2026-04-28T07:25:00Z,16.00,84.00
2026-04-28T07:49:00Z,17.00,84.00
2026-04-28T08:09:00Z,17.00,84.00
2026-04-28T11:37:00Z,17.00,85.00
2026-04-28T11:50:00Z,17.00,85.00
2026-04-28T12:21:00Z,17.00,85.00
2026-04-28T12:31:00Z,17.00,85.00
2026-04-28T12:44:00Z,16.00,85.00
2026-04-28T12:53:00Z,17.00,85.00
2026-04-28T12:56:00Z,16.00,85.00
2026-04-28T13:03:00Z,16.00,86.00
2026-04-28T13:19:00Z,16.00,86.00
2026-04-28T13:25:00Z,16.00,86.00
2026-04-28T13:32:00Z,16.00,86.00
2026-04-28T13:33:00Z,16.00,86.00
2026-04-28T13:35:00Z,15.00,86.00
2026-04-28T13:40:00Z,16.00,86.00
2026-04-28T13:45:00Z,16.00,86.00
2026-04-28T13:46:00Z,16.00,85.14
2026-04-28T13:57:00Z,16.00,85.00
2026-04-28T14:06:00Z,16.00,85.00
2026-04-28T14:13:00Z,16.00,86.00
2026-04-28T14:22:00Z,14.00,86.00
2026-04-28T14:27:00Z,16.00,86.00
2026-04-28T14:29:00Z,16.00,86.00
2026-04-28T14:30:00Z,16.00,86.00
2026-04-28T14:32:00Z,16.00,86.00
2026-04-28T14:39:00Z,16.00,86.00
2026-04-28T14:42:00Z,16.15,86.00
2026-04-28T14:43:00Z,16.00,86.00
2026-04-28T14:45:00Z,16.00,86.00
2026-04-28T14:54:00Z,14.00,86.00
2026-04-28T14:56:00Z,14.00,86.00
2026-04-28T15:01:00Z,16.00,86.00
2026-04-28T15:02:00Z,16.00,86.00
2026-04-28T15:06:00Z,14.00,86.00
2026-04-28T15:07:00Z,14.00,86.00
2026-04-28T15:10:00Z,16.00,86.00
2026-04-28T15:14:00Z,16.00,86.00
2026-04-28T15:22:00Z,16.00,86.00
2026-04-28T15:33:00Z,16.00,86.00
2026-04-28T15:34:00Z,16.95,86.00
2026-04-28T15:38:00Z,16.00,86.00
2026-04-28T15:39:00Z,16.70,86.00
2026-04-28T15:40:00Z,16.00,86.00
2026-04-28T15:43:00Z,16.00,86.00
2026-04-28T15:45:00Z,16.52,86.00
