# event_ticker=KXATPCHALLENGERMATCH-26MAR11ROMBRA
# final_score=6-7(5) 7-6(2) 6-4
# score_resolution=6-7 7-6 6-4
# match_winner=Filippo Romano
# fav_player=Filippo Romano
# dog_player=Patrick Brady
# kalshi_date=2026-03-11
timestamp,Filippo Romano,Patrick Brady
2026-03-12T01:56:00Z,,43.00
2026-03-12T01:58:00Z,,43.00
2026-03-12T02:18:00Z,60.00,43.00
2026-03-12T02:25:00Z,60.00,43.00
2026-03-12T02:27:00Z,60.00,43.00
2026-03-12T02:31:00Z,60.00,43.00
2026-03-12T03:17:00Z,59.00,43.00
2026-03-12T03:18:00Z,59.00,43.00
2026-03-12T03:43:00Z,59.00,43.00
2026-03-12T03:48:00Z,59.00,43.00
2026-03-12T04:08:00Z,59.00,43.00
2026-03-12T04:17:00Z,59.62,43.00
2026-03-12T04:25:00Z,59.62,42.00
2026-03-12T04:26:00Z,61.00,42.00
2026-03-12T04:47:00Z,60.00,42.00
2026-03-12T04:48:00Z,60.00,42.00
2026-03-12T05:19:00Z,59.05,42.00
2026-03-12T05:26:00Z,60.00,42.00
2026-03-12T05:29:00Z,60.20,42.00
2026-03-12T05:38:00Z,60.20,42.14
2026-03-12T05:46:00Z,61.00,42.14
2026-03-12T05:51:00Z,61.00,43.00
2026-03-12T05:57:00Z,61.00,43.00
2026-03-12T05:58:00Z,61.00,43.00
2026-03-12T06:02:00Z,61.00,43.00
2026-03-12T06:03:00Z,61.00,43.00
2026-03-12T06:13:00Z,61.00,43.00
2026-03-12T06:19:00Z,61.00,44.00
2026-03-12T06:23:00Z,61.00,44.00
2026-03-12T06:24:00Z,61.00,40.00
2026-03-12T06:26:00Z,61.00,43.00
2026-03-12T06:27:00Z,61.00,39.80
2026-03-12T06:31:00Z,61.00,39.80
2026-03-12T06:32:00Z,61.00,39.80
2026-03-12T06:33:00Z,61.00,39.80
2026-03-12T06:34:00Z,61.00,39.80
2026-03-12T06:36:00Z,61.00,39.80
2026-03-12T06:38:00Z,61.00,39.80
2026-03-12T06:40:00Z,61.00,39.80
2026-03-12T06:47:00Z,61.00,39.80
2026-03-12T06:49:00Z,61.00,42.78
