# event_ticker=KXATPCHALLENGERMATCH-26APR13LLAPER
# final_score=6-2 6-2
# match_winner=Pablo Llamas Ruiz
# fav_player=Pablo Llamas Ruiz
# dog_player=Tiago Pereira
# kalshi_date=2026-04-13
timestamp,Pablo Llamas Ruiz,Tiago Pereira
2026-04-14T03:52:00Z,87.00,
2026-04-14T04:19:00Z,87.00,15.00
2026-04-14T04:21:00Z,86.00,15.00
2026-04-14T05:34:00Z,86.77,15.00
2026-04-14T05:35:00Z,89.00,12.00
2026-04-14T05:36:00Z,89.00,11.00
2026-04-14T05:45:00Z,89.00,13.59
2026-04-14T06:03:00Z,89.00,14.60
2026-04-14T06:28:00Z,89.00,14.00
2026-04-14T07:40:00Z,89.00,14.00
2026-04-14T07:43:00Z,86.00,14.00
2026-04-14T07:46:00Z,89.00,14.00
2026-04-14T07:47:00Z,89.00,14.00
2026-04-14T09:25:00Z,89.00,14.00
2026-04-14T12:01:00Z,89.00,13.00
2026-04-14T12:02:00Z,89.00,13.00
2026-04-14T12:14:00Z,89.00,12.00
2026-04-14T12:16:00Z,89.00,13.00
2026-04-14T12:18:00Z,89.00,13.00
2026-04-14T12:25:00Z,89.00,12.00
2026-04-14T12:28:00Z,89.00,13.00
2026-04-14T12:52:00Z,89.00,13.00
2026-04-14T13:03:00Z,89.00,13.00
2026-04-14T13:21:00Z,89.00,13.00
2026-04-14T13:51:00Z,89.00,13.00
2026-04-14T13:54:00Z,90.94,13.00
2026-04-14T14:08:00Z,89.00,11.00
2026-04-14T14:11:00Z,89.00,11.00
2026-04-14T14:14:00Z,91.00,11.00
2026-04-14T14:20:00Z,91.00,9.00
2026-04-14T14:21:00Z,91.00,8.10
2026-04-14T14:29:00Z,91.80,8.10
2026-04-14T14:32:00Z,91.80,10.94
2026-04-14T14:34:00Z,91.00,10.94
2026-04-14T14:51:00Z,91.00,10.97
2026-04-14T14:52:00Z,91.00,11.00
2026-04-14T14:55:00Z,91.00,11.00
2026-04-14T15:01:00Z,91.00,11.00
2026-04-14T15:03:00Z,91.00,11.00
2026-04-14T15:05:00Z,91.00,11.00
2026-04-14T15:06:00Z,91.00,11.00
2026-04-14T15:07:00Z,91.00,13.60
2026-04-14T15:08:00Z,91.00,14.61
2026-04-14T15:09:00Z,91.00,14.00
2026-04-14T15:10:00Z,91.00,12.00
2026-04-14T15:11:00Z,88.50,12.07
2026-04-14T15:12:00Z,88.05,11.00
2026-04-14T15:13:00Z,88.05,11.00
2026-04-14T15:14:00Z,88.05,13.82
2026-04-14T15:15:00Z,86.94,13.89
2026-04-14T15:16:00Z,86.94,12.00
2026-04-14T15:17:00Z,86.94,14.71
2026-04-14T15:18:00Z,86.94,14.89
2026-04-14T15:19:00Z,86.00,14.00
2026-04-14T15:20:00Z,88.23,13.22
2026-04-14T15:21:00Z,88.23,12.99
2026-04-14T15:22:00Z,92.70,10.65
2026-04-14T15:23:00Z,93.00,8.85
2026-04-14T15:24:00Z,93.00,8.00
2026-04-14T15:25:00Z,93.00,7.73
2026-04-14T15:26:00Z,92.50,8.00
2026-04-14T15:27:00Z,93.00,8.05
2026-04-14T15:28:00Z,93.00,8.96
2026-04-14T15:29:00Z,92.00,9.00
2026-04-14T15:30:00Z,92.00,8.92
2026-04-14T15:31:00Z,92.00,9.00
2026-04-14T15:32:00Z,92.00,9.00
2026-04-14T15:33:00Z,92.91,6.95
2026-04-14T15:34:00Z,93.04,8.51
2026-04-14T15:35:00Z,94.33,5.90
2026-04-14T15:36:00Z,95.76,4.18
2026-04-14T15:37:00Z,97.00,4.44
2026-04-14T15:38:00Z,97.00,4.59
2026-04-14T15:39:00Z,97.15,4.00
2026-04-14T15:40:00Z,97.07,3.69
2026-04-14T15:41:00Z,98.73,2.30
2026-04-14T15:42:00Z,98.97,1.85
2026-04-14T15:43:00Z,97.38,2.00
2026-04-14T15:44:00Z,99.00,1.57
2026-04-14T15:45:00Z,99.00,1.55
2026-04-14T15:46:00Z,99.00,2.30
2026-04-14T15:47:00Z,97.00,3.00
2026-04-14T15:48:00Z,98.00,3.00
2026-04-14T15:49:00Z,98.05,2.89
2026-04-14T15:50:00Z,95.89,4.86
2026-04-14T15:51:00Z,96.43,3.52
2026-04-14T15:52:00Z,96.02,3.76
2026-04-14T15:53:00Z,97.26,4.17
2026-04-14T15:54:00Z,99.00,2.31
2026-04-14T15:55:00Z,99.00,1.40
2026-04-14T15:56:00Z,98.00,1.81
2026-04-14T15:57:00Z,98.00,1.86
2026-04-14T15:58:00Z,98.00,1.82
2026-04-14T15:59:00Z,99.00,1.50
2026-04-14T16:00:00Z,99.00,1.90
2026-04-14T16:01:00Z,99.00,1.70
2026-04-14T16:02:00Z,99.00,2.00
2026-04-14T16:03:00Z,98.09,2.11
2026-04-14T16:04:00Z,99.00,1.82
2026-04-14T16:05:00Z,99.00,1.76
2026-04-14T16:06:00Z,99.00,1.59
2026-04-14T16:07:00Z,99.00,1.00
2026-04-14T16:08:00Z,99.00,1.00
2026-04-14T16:09:00Z,99.00,1.00
2026-04-14T16:10:00Z,99.00,1.00
2026-04-14T16:11:00Z,99.00,1.00
2026-04-14T16:17:00Z,99.00,1.00
