# event_ticker=KXATPCHALLENGERMATCH-26MAY26JIAAGA
# final_score=2-6 6-2 6-3
# match_winner=Franco Agamenone
# fav_player=Franco Agamenone
# dog_player=Filip Cristian Jianu
# kalshi_date=2026-05-26
timestamp,Filip Cristian Jianu,Franco Agamenone
2026-05-25T20:05:00Z,56.20,
2026-05-25T22:24:00Z,58.00,
2026-05-25T23:06:00Z,58.00,
2026-05-25T23:14:00Z,58.00,
2026-05-25T23:18:00Z,58.00,
2026-05-25T23:22:00Z,58.00,43.00
2026-05-26T00:26:00Z,58.00,43.00
2026-05-26T00:34:00Z,58.00,43.00
2026-05-26T01:03:00Z,58.00,42.00
2026-05-26T02:06:00Z,58.00,42.00
2026-05-26T02:16:00Z,58.00,42.00
2026-05-26T02:21:00Z,58.00,42.00
2026-05-26T02:24:00Z,58.00,43.00
2026-05-26T02:25:00Z,58.00,43.00
2026-05-26T02:26:00Z,58.00,43.00
2026-05-26T02:27:00Z,58.00,43.00
2026-05-26T02:34:00Z,58.00,43.00
2026-05-26T02:39:00Z,58.00,43.00
2026-05-26T02:41:00Z,58.00,43.00
2026-05-26T02:42:00Z,58.00,42.00
2026-05-26T02:43:00Z,59.00,42.00
2026-05-26T02:44:00Z,59.00,42.00
2026-05-26T02:45:00Z,59.00,42.00
2026-05-26T02:47:00Z,59.00,42.00
2026-05-26T02:49:00Z,59.00,42.00
2026-05-26T02:51:00Z,59.00,42.00
2026-05-26T02:58:00Z,59.00,42.00
2026-05-26T02:59:00Z,59.00,42.00
2026-05-26T03:01:00Z,59.00,42.00
2026-05-26T03:02:00Z,59.00,42.00
2026-05-26T03:04:00Z,59.00,42.00
2026-05-26T03:07:00Z,59.00,42.00
2026-05-26T03:09:00Z,59.00,42.00
2026-05-26T03:10:00Z,59.00,42.00
2026-05-26T03:14:00Z,59.00,42.00
2026-05-26T03:15:00Z,59.00,42.00
2026-05-26T03:21:00Z,59.00,42.00
2026-05-26T03:24:00Z,59.00,42.00
2026-05-26T03:25:00Z,59.00,42.00
2026-05-26T03:27:00Z,59.00,42.00
2026-05-26T03:29:00Z,59.00,42.00
2026-05-26T03:33:00Z,59.00,42.00
2026-05-26T03:35:00Z,59.00,42.00
2026-05-26T03:36:00Z,59.00,42.00
2026-05-26T03:38:00Z,59.00,42.00
2026-05-26T03:41:00Z,59.00,42.00
2026-05-26T03:42:00Z,59.00,42.00
2026-05-26T03:43:00Z,59.00,42.00
2026-05-26T03:45:00Z,59.00,42.00
2026-05-26T03:48:00Z,59.00,42.00
2026-05-26T03:49:00Z,59.00,42.00
2026-05-26T03:52:00Z,59.00,42.00
2026-05-26T03:53:00Z,59.00,42.00
2026-05-26T03:54:00Z,59.00,42.00
2026-05-26T03:57:00Z,59.00,42.00
2026-05-26T03:58:00Z,59.00,42.00
2026-05-26T04:00:00Z,59.00,42.00
2026-05-26T04:01:00Z,59.00,42.00
2026-05-26T04:02:00Z,59.00,42.00
2026-05-26T04:03:00Z,59.00,42.00
2026-05-26T04:05:00Z,59.00,42.00
2026-05-26T04:06:00Z,59.00,42.00
2026-05-26T04:07:00Z,60.00,42.00
2026-05-26T04:09:00Z,60.00,42.00
2026-05-26T04:10:00Z,60.00,42.00
2026-05-26T04:11:00Z,60.00,42.00
