# event_ticker=KXATPCHALLENGERMATCH-26MAY29AGAALB
# final_score=7-5 7-6(2)
# score_resolution=5-7 6-7
# match_winner=Radu Albot
# fav_player=Franco Agamenone
# dog_player=Radu Albot
# kalshi_date=2026-05-29
timestamp,Franco Agamenone,Radu Albot
2026-05-28T20:23:00Z,,31.00
2026-05-28T20:38:00Z,,31.00
2026-05-28T21:12:00Z,73.00,30.00
2026-05-28T21:17:00Z,73.00,30.00
2026-05-28T21:18:00Z,73.00,30.00
2026-05-28T21:25:00Z,75.00,30.00
2026-05-28T22:02:00Z,75.00,26.00
2026-05-28T22:12:00Z,75.00,26.00
2026-05-28T22:13:00Z,75.00,26.00
2026-05-28T22:51:00Z,77.00,26.00
2026-05-28T22:55:00Z,77.00,26.00
2026-05-28T22:56:00Z,77.00,26.00
2026-05-28T23:01:00Z,77.00,26.00
2026-05-28T23:02:00Z,77.00,26.00
2026-05-28T23:09:00Z,77.00,26.00
2026-05-28T23:11:00Z,76.72,26.00
2026-05-28T23:25:00Z,77.00,26.00
2026-05-28T23:28:00Z,77.00,26.00
2026-05-28T23:35:00Z,77.00,27.00
2026-05-28T23:56:00Z,77.00,27.00
2026-05-29T00:01:00Z,77.00,27.00
2026-05-29T00:20:00Z,75.00,27.00
2026-05-29T00:56:00Z,75.00,27.00
2026-05-29T01:01:00Z,75.00,27.00
2026-05-29T01:10:00Z,75.00,26.00
2026-05-29T01:17:00Z,75.00,26.00
2026-05-29T01:24:00Z,75.00,26.00
2026-05-29T01:45:00Z,75.00,26.00
2026-05-29T01:49:00Z,75.00,26.00
2026-05-29T01:51:00Z,75.00,26.00
2026-05-29T02:00:00Z,75.00,26.00
2026-05-29T02:02:00Z,75.00,26.00
2026-05-29T02:09:00Z,75.00,26.00
2026-05-29T02:21:00Z,75.00,26.00
2026-05-29T02:22:00Z,75.00,26.00
2026-05-29T02:23:00Z,75.00,26.00
2026-05-29T02:28:00Z,75.00,26.00
2026-05-29T02:36:00Z,74.00,26.00
2026-05-29T02:47:00Z,74.00,26.00
2026-05-29T02:50:00Z,74.00,27.00
2026-05-29T02:51:00Z,74.00,27.00
2026-05-29T02:54:00Z,72.00,27.00
2026-05-29T02:57:00Z,72.00,29.00
2026-05-29T02:58:00Z,72.00,29.00
2026-05-29T03:01:00Z,72.00,29.00
2026-05-29T03:02:00Z,72.00,29.00
2026-05-29T03:06:00Z,72.00,29.00
2026-05-29T03:08:00Z,72.00,29.00
2026-05-29T03:12:00Z,72.00,29.00
2026-05-29T03:16:00Z,72.00,29.00
2026-05-29T03:17:00Z,72.00,29.00
2026-05-29T03:21:00Z,72.00,29.00
2026-05-29T03:22:00Z,72.00,29.00
2026-05-29T03:23:00Z,72.00,29.00
2026-05-29T03:27:00Z,72.00,29.00
2026-05-29T03:32:00Z,72.00,29.00
2026-05-29T03:34:00Z,72.00,29.00
2026-05-29T03:35:00Z,72.00,29.00
2026-05-29T03:36:00Z,72.00,29.00
2026-05-29T03:38:00Z,72.00,28.00
2026-05-29T03:41:00Z,72.00,28.00
2026-05-29T03:42:00Z,72.00,29.00
2026-05-29T03:45:00Z,72.00,29.00
2026-05-29T03:48:00Z,72.00,29.00
2026-05-29T03:52:00Z,72.00,29.00
2026-05-29T03:53:00Z,72.00,29.00
2026-05-29T03:54:00Z,72.00,29.00
2026-05-29T03:57:00Z,72.00,29.00
2026-05-29T03:59:00Z,72.00,29.00
2026-05-29T04:00:00Z,72.00,29.00
2026-05-29T04:01:00Z,72.00,29.00
2026-05-29T04:02:00Z,72.00,29.27
2026-05-29T04:03:00Z,72.00,29.00
2026-05-29T04:04:00Z,72.00,29.00
2026-05-29T04:05:00Z,72.00,29.00
2026-05-29T04:08:00Z,72.00,29.00
2026-05-29T04:09:00Z,72.00,29.00
2026-05-29T04:12:00Z,72.00,29.00
2026-05-29T04:13:00Z,72.00,29.00
2026-05-29T04:23:00Z,72.00,29.00
2026-05-29T04:24:00Z,72.00,29.00
2026-05-29T04:25:00Z,72.00,29.00
2026-05-29T04:26:00Z,72.00,29.00
2026-05-29T04:27:00Z,72.00,29.00
2026-05-29T04:28:00Z,72.00,29.00
2026-05-29T04:33:00Z,72.00,29.00
2026-05-29T04:35:00Z,72.00,29.00
2026-05-29T04:36:00Z,72.00,29.00
2026-05-29T04:37:00Z,72.00,29.00
2026-05-29T04:38:00Z,72.00,29.00
2026-05-29T04:40:00Z,72.00,29.00
2026-05-29T04:45:00Z,72.00,29.00
2026-05-29T04:46:00Z,72.00,29.00
2026-05-29T04:53:00Z,72.00,28.06
2026-05-29T04:54:00Z,72.00,28.06
2026-05-29T05:04:00Z,72.00,29.00
2026-05-29T05:11:00Z,72.00,29.00
2026-05-29T05:12:00Z,72.00,29.00
2026-05-29T05:15:00Z,72.00,29.00
2026-05-29T05:19:00Z,72.00,29.00
2026-05-29T05:25:00Z,72.00,29.00
2026-05-29T05:28:00Z,72.00,29.00
2026-05-29T05:29:00Z,72.00,29.00
2026-05-29T05:31:00Z,72.00,29.00
2026-05-29T05:32:00Z,72.00,29.00
2026-05-29T05:41:00Z,72.00,29.00
2026-05-29T05:43:00Z,72.00,29.00
2026-05-29T05:45:00Z,72.00,29.00
2026-05-29T05:46:00Z,72.00,29.00
2026-05-29T05:48:00Z,72.00,29.00
2026-05-29T05:50:00Z,72.00,29.00
2026-05-29T05:51:00Z,72.00,29.00
2026-05-29T05:56:00Z,72.00,29.00
2026-05-29T06:00:00Z,72.00,29.00
2026-05-29T06:01:00Z,72.00,29.00
2026-05-29T06:02:00Z,72.00,29.00
2026-05-29T06:03:00Z,72.00,29.00
2026-05-29T06:10:00Z,72.00,29.00
2026-05-29T06:16:00Z,72.00,29.00
2026-05-29T06:20:00Z,72.00,29.00
2026-05-29T06:21:00Z,72.00,29.00
2026-05-29T06:24:00Z,72.00,29.00
2026-05-29T06:25:00Z,72.00,29.00
2026-05-29T06:27:00Z,72.00,29.00
2026-05-29T06:28:00Z,72.00,29.00
2026-05-29T06:30:00Z,72.00,29.00
2026-05-29T06:42:00Z,72.00,29.00
2026-05-29T06:45:00Z,72.00,29.00
2026-05-29T06:47:00Z,72.00,29.00
2026-05-29T06:52:00Z,72.00,29.00
2026-05-29T06:58:00Z,72.00,29.00
2026-05-29T06:59:00Z,72.00,29.00
2026-05-29T07:00:00Z,72.00,29.00
2026-05-29T07:03:00Z,72.00,29.00
2026-05-29T07:06:00Z,72.00,29.00
2026-05-29T07:10:00Z,72.00,29.00
2026-05-29T07:19:00Z,72.00,29.00
2026-05-29T07:20:00Z,72.00,29.00
2026-05-29T07:23:00Z,72.00,29.00
2026-05-29T07:24:00Z,72.00,29.00
2026-05-29T07:28:00Z,70.13,29.00
2026-05-29T07:31:00Z,70.13,30.00
2026-05-29T07:35:00Z,71.00,30.00
2026-05-29T07:37:00Z,71.00,30.00
2026-05-29T07:39:00Z,71.00,30.00
2026-05-29T07:40:00Z,71.00,30.00
2026-05-29T07:41:00Z,71.00,30.00
2026-05-29T07:43:00Z,71.00,30.00
2026-05-29T07:45:00Z,71.00,30.00
2026-05-29T07:48:00Z,71.00,30.00
2026-05-29T07:54:00Z,71.00,30.00
2026-05-29T07:57:00Z,71.00,30.00
2026-05-29T07:59:00Z,71.00,30.00
2026-05-29T08:00:00Z,71.00,30.00
2026-05-29T08:02:00Z,72.00,30.00
2026-05-29T08:05:00Z,72.00,31.97
2026-05-29T08:07:00Z,72.00,32.00
2026-05-29T08:10:00Z,71.00,32.00
2026-05-29T08:12:00Z,71.00,31.78
2026-05-29T08:13:00Z,71.00,30.29
2026-05-29T08:14:00Z,75.79,24.00
2026-05-29T08:15:00Z,74.99,24.71
2026-05-29T08:16:00Z,77.54,26.20
2026-05-29T08:17:00Z,78.00,23.00
2026-05-29T08:18:00Z,79.58,21.01
2026-05-29T08:19:00Z,79.00,22.00
2026-05-29T08:20:00Z,79.00,26.18
2026-05-29T08:21:00Z,75.68,25.58
2026-05-29T08:22:00Z,79.96,19.98
2026-05-29T08:23:00Z,77.22,22.00
2026-05-29T08:24:00Z,76.00,22.80
2026-05-29T08:25:00Z,78.35,22.06
2026-05-29T08:26:00Z,76.67,22.51
2026-05-29T08:27:00Z,76.00,24.48
2026-05-29T08:28:00Z,76.00,24.88
2026-05-29T08:29:00Z,71.18,28.15
2026-05-29T08:30:00Z,76.97,28.00
2026-05-29T08:31:00Z,74.03,25.00
2026-05-29T08:32:00Z,79.94,23.09
2026-05-29T08:33:00Z,80.00,20.52
2026-05-29T08:34:00Z,80.98,20.00
2026-05-29T08:35:00Z,82.00,16.72
2026-05-29T08:36:00Z,84.00,17.00
2026-05-29T08:37:00Z,84.00,17.00
2026-05-29T08:38:00Z,82.93,18.01
2026-05-29T08:39:00Z,85.00,17.95
2026-05-29T08:40:00Z,85.32,17.95
2026-05-29T08:41:00Z,88.00,12.09
2026-05-29T08:42:00Z,89.00,12.00
2026-05-29T08:43:00Z,88.67,11.05
2026-05-29T08:44:00Z,88.67,12.99
2026-05-29T08:45:00Z,85.02,13.06
2026-05-29T08:46:00Z,85.02,15.79
2026-05-29T08:47:00Z,82.00,17.87
2026-05-29T08:48:00Z,82.00,19.98
2026-05-29T08:49:00Z,82.00,20.00
2026-05-29T08:50:00Z,80.91,20.00
2026-05-29T08:51:00Z,78.23,21.81
2026-05-29T08:52:00Z,75.70,25.55
2026-05-29T08:53:00Z,74.63,27.51
2026-05-29T08:54:00Z,79.63,19.97
2026-05-29T08:55:00Z,83.00,15.66
2026-05-29T08:56:00Z,85.00,16.00
2026-05-29T08:57:00Z,82.99,19.26
2026-05-29T08:58:00Z,84.82,18.00
2026-05-29T08:59:00Z,83.71,15.73
2026-05-29T09:00:00Z,82.00,19.00
2026-05-29T09:01:00Z,82.00,19.00
2026-05-29T09:02:00Z,82.07,19.92
2026-05-29T09:03:00Z,73.11,30.23
2026-05-29T09:04:00Z,69.77,30.86
2026-05-29T09:05:00Z,74.39,25.00
2026-05-29T09:06:00Z,80.00,20.99
2026-05-29T09:07:00Z,76.00,26.98
2026-05-29T09:08:00Z,64.67,36.50
2026-05-29T09:09:00Z,62.12,40.43
2026-05-29T09:10:00Z,61.04,39.19
2026-05-29T09:11:00Z,66.96,37.23
2026-05-29T09:12:00Z,59.30,40.82
2026-05-29T09:13:00Z,60.00,45.36
2026-05-29T09:14:00Z,58.55,42.59
2026-05-29T09:15:00Z,58.55,39.42
2026-05-29T09:16:00Z,40.64,52.83
2026-05-29T09:17:00Z,40.71,59.07
2026-05-29T09:18:00Z,41.00,60.00
2026-05-29T09:19:00Z,40.00,60.00
2026-05-29T09:20:00Z,40.67,59.01
2026-05-29T09:21:00Z,41.00,60.00
2026-05-29T09:22:00Z,40.14,60.40
2026-05-29T09:23:00Z,36.98,58.46
2026-05-29T09:24:00Z,30.72,67.82
2026-05-29T09:25:00Z,30.74,70.02
2026-05-29T09:26:00Z,33.85,67.73
2026-05-29T09:27:00Z,37.87,64.12
2026-05-29T09:28:00Z,36.77,65.00
2026-05-29T09:29:00Z,41.61,61.32
2026-05-29T09:30:00Z,40.57,62.09
2026-05-29T09:31:00Z,37.10,64.62
2026-05-29T09:32:00Z,37.19,65.00
2026-05-29T09:33:00Z,32.61,66.32
2026-05-29T09:34:00Z,32.00,69.00
2026-05-29T09:35:00Z,32.69,68.91
2026-05-29T09:36:00Z,33.04,66.09
2026-05-29T09:37:00Z,32.17,72.46
2026-05-29T09:38:00Z,27.19,69.50
2026-05-29T09:39:00Z,36.79,65.46
2026-05-29T09:40:00Z,39.00,61.00
2026-05-29T09:41:00Z,34.70,64.71
2026-05-29T09:42:00Z,32.07,68.39
2026-05-29T09:43:00Z,31.38,68.72
2026-05-29T09:44:00Z,31.38,69.00
2026-05-29T09:45:00Z,36.29,64.89
2026-05-29T09:46:00Z,37.99,64.66
2026-05-29T09:47:00Z,39.22,62.00
2026-05-29T09:48:00Z,42.48,58.73
2026-05-29T09:49:00Z,37.59,63.76
2026-05-29T09:50:00Z,31.02,68.88
2026-05-29T09:51:00Z,31.00,70.00
2026-05-29T09:52:00Z,36.19,61.00
2026-05-29T09:53:00Z,41.00,60.09
2026-05-29T09:54:00Z,36.59,64.55
2026-05-29T09:55:00Z,28.51,70.60
2026-05-29T09:56:00Z,29.00,71.38
2026-05-29T09:57:00Z,27.28,74.94
2026-05-29T09:58:00Z,25.34,77.97
2026-05-29T09:59:00Z,30.24,67.81
2026-05-29T10:00:00Z,30.22,70.92
2026-05-29T10:01:00Z,27.69,73.78
2026-05-29T10:02:00Z,37.83,62.01
2026-05-29T10:03:00Z,40.23,62.35
2026-05-29T10:04:00Z,49.64,48.10
2026-05-29T10:05:00Z,55.88,44.33
2026-05-29T10:06:00Z,55.85,46.46
2026-05-29T10:07:00Z,59.97,41.00
2026-05-29T10:08:00Z,61.54,39.80
2026-05-29T10:09:00Z,57.44,44.27
2026-05-29T10:10:00Z,53.61,46.89
2026-05-29T10:11:00Z,41.07,55.88
2026-05-29T10:12:00Z,36.25,68.50
2026-05-29T10:13:00Z,28.53,71.96
2026-05-29T10:14:00Z,16.15,85.96
2026-05-29T10:15:00Z,17.29,84.20
2026-05-29T10:16:00Z,7.11,95.27
2026-05-29T10:17:00Z,1.70,98.80
2026-05-29T10:18:00Z,1.00,99.00
2026-05-29T10:20:00Z,1.00,99.00
2026-05-29T10:21:00Z,1.00,99.00
2026-05-29T10:23:00Z,1.00,99.00
