# event_ticker=KXATPMATCH-25SEP25RUBCOB
# final_score=7-6(3) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Andrey Rublev
# dog_player=Flavio Cobolli
# kalshi_date=2025-09-25
timestamp,Andrey Rublev,Flavio Cobolli
2025-09-25T17:36:00Z,,33.00
2025-09-25T18:27:00Z,69.00,33.00
2025-09-25T18:34:00Z,69.00,33.00
2025-09-25T18:54:00Z,69.00,33.00
2025-09-25T19:00:00Z,69.00,31.00
2025-09-25T19:02:00Z,70.00,31.00
2025-09-25T19:05:00Z,70.00,31.00
2025-09-25T20:00:00Z,70.00,31.00
2025-09-25T20:34:00Z,70.00,31.00
2025-09-25T20:54:00Z,70.00,31.00
2025-09-25T21:58:00Z,68.00,31.00
2025-09-25T22:06:00Z,68.00,33.00
2025-09-25T22:11:00Z,68.00,33.00
2025-09-25T22:12:00Z,68.00,33.00
2025-09-25T22:17:00Z,67.00,33.00
2025-09-25T22:34:00Z,67.00,33.00
2025-09-25T22:35:00Z,67.00,33.00
2025-09-25T22:53:00Z,67.00,33.00
2025-09-25T23:09:00Z,67.00,33.00
2025-09-25T23:23:00Z,69.00,33.00
2025-09-25T23:25:00Z,69.00,32.52
2025-09-25T23:32:00Z,68.00,32.52
2025-09-25T23:50:00Z,68.00,32.52
2025-09-26T00:02:00Z,68.00,32.52
2025-09-26T00:11:00Z,68.00,32.52
2025-09-26T00:31:00Z,68.00,33.00
2025-09-26T00:38:00Z,69.00,33.00
2025-09-26T00:54:00Z,69.00,32.83
2025-09-26T01:00:00Z,69.00,33.00
2025-09-26T01:01:00Z,69.00,33.00
2025-09-26T01:11:00Z,69.00,32.00
2025-09-26T01:33:00Z,69.00,32.00
2025-09-26T01:39:00Z,70.00,32.00
2025-09-26T01:45:00Z,70.00,31.00
2025-09-26T01:46:00Z,70.00,31.00
2025-09-26T01:47:00Z,70.00,32.00
2025-09-26T01:48:00Z,69.00,32.00
2025-09-26T01:57:00Z,70.00,32.00
2025-09-26T01:58:00Z,70.00,32.00
2025-09-26T01:59:00Z,70.00,32.00
2025-09-26T02:05:00Z,70.00,32.00
2025-09-26T02:07:00Z,69.95,31.00
2025-09-26T02:11:00Z,70.00,30.00
2025-09-26T02:12:00Z,71.00,30.00
2025-09-26T02:14:00Z,71.00,30.00
2025-09-26T02:16:00Z,71.00,30.00
2025-09-26T02:18:00Z,71.00,30.00
2025-09-26T02:21:00Z,71.00,31.00
2025-09-26T02:44:00Z,71.00,30.00
2025-09-26T02:47:00Z,71.00,31.00
2025-09-26T02:48:00Z,71.00,31.00
2025-09-26T02:49:00Z,71.00,31.04
2025-09-26T02:54:00Z,70.00,31.00
2025-09-26T02:57:00Z,70.00,31.00
2025-09-26T02:59:00Z,70.00,31.00
2025-09-26T03:03:00Z,71.00,31.00
2025-09-26T03:09:00Z,71.00,31.00
2025-09-26T03:10:00Z,71.00,31.00
2025-09-26T03:12:00Z,70.36,31.00
2025-09-26T03:14:00Z,70.36,31.00
2025-09-26T03:15:00Z,72.00,32.29
2025-09-26T03:17:00Z,72.00,28.79
2025-09-26T03:18:00Z,76.22,27.00
2025-09-26T03:19:00Z,75.27,25.00
2025-09-26T03:20:00Z,76.52,29.80
2025-09-26T03:21:00Z,81.03,25.86
2025-09-26T03:22:00Z,83.25,25.86
2025-09-26T03:23:00Z,85.93,16.60
2025-09-26T03:24:00Z,86.06,14.00
2025-09-26T03:25:00Z,87.34,14.00
2025-09-26T03:26:00Z,86.92,16.39
2025-09-26T03:27:00Z,84.05,16.00
2025-09-26T03:28:00Z,86.00,16.00
2025-09-26T03:29:00Z,85.75,15.37
2025-09-26T03:30:00Z,88.30,14.00
2025-09-26T03:31:00Z,89.00,12.14
2025-09-26T03:32:00Z,88.15,11.96
2025-09-26T03:33:00Z,90.69,10.00
2025-09-26T03:34:00Z,90.45,12.00
2025-09-26T03:35:00Z,88.00,12.06
2025-09-26T03:36:00Z,88.00,12.58
2025-09-26T03:37:00Z,88.00,12.13
2025-09-26T03:38:00Z,90.00,12.00
