# event_ticker=KXATPCHALLENGERMATCH-26MAR11CECKOP
# final_score=4-6 6-3 6-4
# match_winner=Marco Cecchinato
# fav_player=Marco Cecchinato
# dog_player=Sandro Kopp
# kalshi_date=2026-03-11
timestamp,Marco Cecchinato,Sandro Kopp
2026-03-11T03:26:00Z,65.00,
2026-03-11T03:27:00Z,65.00,
2026-03-11T03:29:00Z,65.00,34.00
2026-03-11T04:04:00Z,65.00,37.00
2026-03-11T05:04:00Z,66.00,37.00
2026-03-11T05:05:00Z,66.00,37.00
2026-03-11T05:19:00Z,66.00,34.00
2026-03-11T06:07:00Z,66.00,34.00
2026-03-11T06:08:00Z,66.00,35.00
2026-03-11T07:11:00Z,66.00,35.00
2026-03-11T07:30:00Z,66.83,35.00
2026-03-11T07:51:00Z,66.83,35.00
2026-03-11T08:29:00Z,67.00,35.00
2026-03-11T09:04:00Z,67.00,35.00
2026-03-11T09:08:00Z,66.00,35.00
2026-03-11T09:34:00Z,67.00,35.00
2026-03-11T10:11:00Z,67.00,35.00
2026-03-11T10:33:00Z,67.00,35.00
2026-03-11T10:54:00Z,68.00,35.00
2026-03-11T10:55:00Z,65.29,33.00
2026-03-11T10:57:00Z,68.00,32.00
2026-03-11T11:06:00Z,68.00,32.00
2026-03-11T11:08:00Z,68.00,36.00
2026-03-11T11:10:00Z,68.00,36.00
2026-03-11T11:11:00Z,68.00,36.00
2026-03-11T11:15:00Z,67.00,36.00
2026-03-11T11:17:00Z,68.22,36.00
2026-03-11T11:18:00Z,68.00,35.00
2026-03-11T11:19:00Z,68.00,35.00
2026-03-11T11:20:00Z,70.00,33.00
2026-03-11T11:21:00Z,71.00,33.00
2026-03-11T11:22:00Z,71.00,31.00
2026-03-11T11:23:00Z,71.90,31.00
2026-03-11T11:24:00Z,70.84,30.13
2026-03-11T11:25:00Z,66.56,35.62
2026-03-11T11:26:00Z,60.61,43.19
2026-03-11T11:27:00Z,57.82,46.42
2026-03-11T11:28:00Z,58.86,44.32
2026-03-11T11:29:00Z,48.75,53.12
2026-03-11T11:30:00Z,47.00,56.82
2026-03-11T11:31:00Z,44.30,57.82
2026-03-11T11:32:00Z,42.40,59.61
2026-03-11T11:33:00Z,42.00,60.00
2026-03-11T11:34:00Z,41.81,56.74
2026-03-11T11:35:00Z,44.92,55.75
2026-03-11T11:36:00Z,45.00,56.00
2026-03-11T11:37:00Z,47.65,52.92
2026-03-11T11:38:00Z,49.90,48.63
2026-03-11T11:39:00Z,51.40,53.28
2026-03-11T11:40:00Z,43.74,56.14
2026-03-11T11:41:00Z,44.17,56.31
2026-03-11T11:42:00Z,42.72,58.28
2026-03-11T11:43:00Z,42.16,59.00
2026-03-11T11:44:00Z,40.14,60.83
