# event_ticker=KXATPMATCH-25JUL15COMTRU
# final_score=6-3 6-4
# match_winner=Francisco Comesana
# fav_player=Francisco Comesana
# dog_player=Marco Trungelliti
# kalshi_date=2025-07-15
timestamp,Francisco Comesana,Marco Trungelliti
2025-07-15T01:42:00Z,61.00,
2025-07-15T01:45:00Z,58.00,
2025-07-15T02:06:00Z,61.00,
2025-07-15T03:11:00Z,61.00,
2025-07-15T04:28:00Z,61.00,
2025-07-15T04:46:00Z,62.00,
2025-07-15T04:56:00Z,62.00,
2025-07-15T05:01:00Z,62.00,40.00
2025-07-15T05:05:00Z,62.00,40.00
2025-07-15T05:10:00Z,62.00,40.00
2025-07-15T05:35:00Z,61.00,40.00
2025-07-15T05:36:00Z,61.00,40.00
2025-07-15T05:44:00Z,61.00,40.00
2025-07-15T06:18:00Z,61.00,40.30
2025-07-15T06:36:00Z,61.00,40.00
2025-07-15T06:43:00Z,62.00,40.00
2025-07-15T06:57:00Z,62.00,40.00
2025-07-15T12:01:00Z,63.00,27.00
2025-07-15T12:03:00Z,79.00,27.00
2025-07-15T12:58:00Z,98.86,27.00
2025-07-15T13:00:00Z,99.00,27.00
